"Id","Name","Full Name","Title","Alias","Allegiance","Royal House","Culture","Reference"
"Addam-Velaryon","Addam Velaryon","","Ser","Addam Velaryon;Addam of Hull","House Velaryon;House Targaryen;Blacks","","Valyrian","mentioned"
"Aegon-I-Targaryen","Aegon I Targaryen","Aegon Targaryen the First of His Name","","Aegon I Targaryen;Aegon the Conqueror;Aegon the Dragon;Aegon the Dragonlord;King of All Westeros;Shield of His People;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm;Lord of Dragonstone","House Targaryen","House Targaryen","","mentioned"
"Aegon-II-Targaryen","Aegon II Targaryen","Aegon Targaryen the Second of His Name","","Aegon II Targaryen;Aegon the Elder;Aegon the Usurper;;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-III-Targaryen","Aegon III Targaryen","Aegon Targaryen the Third of His Name","","Aegon III Targaryen;Aegon the Younger;Aegon the Dragonbane;Aegon the Unlucky;The Broken King;;;;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","Valyrian","mentioned"
"Aemma-Arryn","Aemma Arryn","","Queen","","House Arryn;House Targaryen","","","mentioned"
"Aemon-Targaryen-(son-of-Jaehaerys-I)","Aemon Targaryen (son of Jaehaerys I)","","Prince;Prince of Dragonstone","","House Targaryen","","Valyrian","mentioned"
"Aemond-Targaryen","Aemond Targaryen","","Prince;Protector of the Realm;Prince Regent","Aemond Targaryen;Aemond One-Eye Aemond the Kinslayer","House Targaryen;Greens","","Valyrian","mentioned"
"Alicent-Hightower","Alicent Hightower","","Lady;Queen;Dowager Queen","","House Hightower;House Targaryen;Greens","","","mentioned"
"Alyn-Velaryon","Alyn Velaryon","","Lord of the Tides;Master of Driftmark;Admiral;Master of ships","Alyn Velaryon;Alyn of Hull;The Oakenfist;Lord Oakenfist","House Velaryon;House Targaryen;Blacks","","Valyrian","mentioned"
"Arryk-Cargyll","Arryk Cargyll","","Ser","","House Cargyll;Kingsguard;Greens","","","mentioned"
"Baela-Targaryen","Baela Targaryen","","Lady","","House Targaryen;House Velaryon;Blacks","","Valyrian","mentioned"
"Clarent-Crakehall","Clarent Crakehall","","Ser","","House Crakehall;Greens","","","mentioned"
"Corlys-Velaryon","Corlys Velaryon","","Lord of the Tides;Master of Driftmark;Hand of the Queen;Lord Regent;Master of ships","Corlys Velaryon;The Sea Snake","House Velaryon;Blacks;Greens","","Valyrian","mentioned"
"Cregan-Stark","Cregan Stark","","Lord of Winterfell;Warden of the North;Hand of the King","Cregan Stark;The Old Man of the North","House Stark;Blacks","","Northmen","mentioned"
"Criston-Cole","Criston Cole","","Ser;Lord Commander of the Kingsguard;Hand of the King","Criston Cole;Criston the Kingmaker","House Cole;Rhaenyra Targaryen (formerly)Kingsguard;Greens","","Stormlands","mentioned"
"Daemon-Targaryen","Daemon Targaryen","","Prince;Commander of the City Watch;Master of coin;Master of laws;King of the Stepstones and the Narrow Sea;Protector of the Realm","Daemon Targaryen;Prince of the City;Lord Flea Bottom;The Rogue Prince","House Targaryen;Blacks","","Valyrian","mentioned"
"Darla-Deddings","Darla Deddings","","Lady","","House Deddings","","","mentioned"
"Erryk-Cargyll","Erryk Cargyll","","Ser","","House Cargyll;Kingsguard;Queensguard;Blacks","","","mentioned"
"Eustace-(Dance-of-the-Dragons)","Eustace (Dance of the Dragons)","","Septon","","Faith of the Seven","","","mentioned"
"Gwayne-Hightower","Gwayne Hightower","","Ser","","House Hightower;City Watch of King's Landing;Greens","","","mentioned"
"Gyldayn","Gyldayn","","Archmaester","","The Citadel","","","mentioned"
"Harwin-Strong","Harwin Strong","","Ser;Captain","Harwin Strong;Breakbones;Brokenbones","House Strong;City Watch of King's Landing;Rhaenyra Targaryen;Blacks","","","mentioned"
"Helaena-Targaryen","Helaena Targaryen","","Queen","","House Targaryen;Greens","","","mentioned"
"Hugh-Hammer","Hugh Hammer","","Ser;Lord of Bitterbridge","Hugh Hammer;Hard Hugh;The Betrayer;Lord Hammer","Blacks;Greens","","","mentioned"
"Hunnimore","Hunnimore","","Maester","","","","","mentioned"
"Jaehaera-Targaryen","Jaehaera Targaryen","","Princess;Queen","","House Targaryen;Greens","","Valyrian","mentioned"
"Jaehaerys-I-Targaryen","Jaehaerys I Targaryen","Jaehaerys Targaryen the First of His Name","","Jaehaerys I Targaryen;The Conciliator;The Wise;The Old King;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Jaehaerys-Targaryen-(son-of-Aegon-II)","Jaehaerys Targaryen (son of Aegon II)","","Prince","","House Targaryen;Greens","","","mentioned"
"Jason-Lannister","Jason Lannister","","Ser;Lord of Casterly Rock;Shield of Lannisport;Warden of the West","","House Lannister;Greens","","","mentioned"
"Jasper-Wylde","Jasper Wylde","","Lord of the Rain House;Master of laws","Jasper Wylde;Ironrod","House Wylde;Greens","","","mentioned"
"Jeyne-Arryn","Jeyne Arryn","","Lady of the Eyrie;Defender of the Vale;Warden of the East;Lady Regent","Jeyne Arryn;The Maiden of the Vale","House Arryn;Blacks","","The Vale","mentioned"
"Laena-Velaryon","Laena Velaryon","","","","House Velaryon;House Targaryen;The blacks","","Valyrian","mentioned"
"Laenor-Velaryon","Laenor Velaryon","","Ser","","House Velaryon;House Targaryen","","Valyrian","mentioned"
"Larys-Strong","Larys Strong","","Lord of Harrenhal;Master of whisperers","Larys Strong;Larys Clubfoot","House Strong;Greens","","","appears"
"Lorent-Marbrand","Lorent Marbrand","","Ser;Lord Commander of the Queensguard","","House Marbrand;Kingsguard;Queensguard;Blacks","","Westerman","mentioned"
"Lyman-Beesbury","Lyman Beesbury","","Lord;Master of coin","","House Beesbury;Blacks","","","mentioned"
"Lyonel-Bentley","Lyonel Bentley","","Ser","","Queensguard;Blacks","","","mentioned"
"Maegor-I-Targaryen","Maegor I Targaryen","Maegor Targaryen the First of His Name","","Maegor I Targaryen;Maegor the Cruel;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm;Hand of the King;Ser","House Targaryen","House Targaryen","","mentioned"
"Maelor-Targaryen","Maelor Targaryen","","Prince","","House Targaryen;Greens","","","mentioned"
"Mushroom","Mushroom","","","Mushroom;Mushroom","House Targaryen","","","mentioned"
"Mysaria","Mysaria","","Mistress of whisperers","Mysaria;Misery; the White Worm;Lady Misery","","","Lysene","mentioned"
"Nettles","Nettles","","","Nettles;Netty","Blacks","","","mentioned"
