Adrack-Humble,Adrack-Humble,,,,,,,,,,,,,,,
Aegon-Frey-(son-of-Stevron),Jinglebell-Frey,Jinglebell,Aegon-Frey,,,,,,,,,,,,,
Aegon-I-Targaryen,Aegon-I,Aegon-the-Conqueror,Aegon-the-Dragon,Aegon-the-Dragonlord,Aegon-Dragonlord,King-Aegon-I,Aegon-I-Targaryen,first-Aegon,,,,,,,,
Aegon-II-Targaryen,Aegon-II,Aegon-the-Usurper,,,,,,,,,,,,,,
Aegon-III-Targaryen,Aegon-III,Aegon-the-Dragonbane,King-Aegon-the-Third,third-Aegon,,,,,,,,,,,,
Aegon-IV-Targaryen,Aegon-IV,Aegon-the-Unworthy,Aegon-the-Fourth,king-Unworthy,King-Aegon-IV,,,,,,,,,,,
Aegon-Targaryen-(son-of-Rhaegar),Prince-Aegon,Young-Griff,Prince-Aegon-Targaryen,prince-Aegon,,,,,,,,,,,,
Aegon-V-Targaryen,Aegon-V,Aegon-the-Unlikely,Aegon-the-Fortunate,King-Aegon-V,fifth-Aegon,Egg,,,,,,,,,,
Aegor-Rivers,Ser-Aegor-Rivers,Aegor-Rivers,Bittersteel,Aegor,,,,,,,,,,,,
Aemon-Steelsong,Aemon-Steelsong,prince-Aemon,,,,,,,,,,,,,,
Aemon-Targaryen-(Dragonknight),Prince-Aemon-the-Dragonknight,Dragonknight,Aemon-the-Dragonknight,,,,,,,,,,,,,
Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen,Maester-Aemon,Aemon,,,,,,,,,,,,,
Aemond-Targaryen,Aemond-Targaryen,Prince-Aemond-Targaryen,Prince-Aemond,,,,,,,,,,,,,
Aenys-Frey,Ser-Aenys-Frey,Aenys-Frey,Ser-Aenys,Aenys,,,,,,,,,,,,
Aerion-Targaryen,Aerion-the-Monstrous,Aerion-Brightflame,Prince-Aerion,Aerion-Targaryen,Aerion,,,,,,,,,,,
Aeron-Greyjoy,Aeron-Damphair,Damphair,Aeron-Greyjoy,Aeron,,,,,,,,,,,,
Aerys-II-Targaryen,Aerys-Targaryen,Mad-King-Aerys,Prince-Aerys,King-Aerys,Mad-Aerys,Mad-King,Aerys,king-Aerys,,,,,,,,
Aggar,Aggar,,,,,,,,,,,,,,,
Aggo,Aggo,,,,,,,,,,,,,,,
Alannys-Harlaw,Alannys-Harlaw,Lady-Alannys,Alannys,,,,,,,,,,,,,
Alester-Florent,Lord-Alester-Florent,Alester-Florent,Lord-Florent,Lord-Alester,Alester,Lord-of-Brightwater,,,,,,,,,,
Alf,Alf,Alf-of-Runnymudd,,,,,,,,,,,,,,
Alfyn,Alfyn,Alfyn-Crowkiller,Crowkiller,,,,,,,,,,,,,
Alios-Qhaedar,Alios-Qhaedar,Alios,,,,,,,,,,,,,,
Alliser-Thorne,Ser-Alliser-Thorne,Alliser-Thorne,Ser-Alliser,Alliser,,,,,,,,,,,,
Alyn-Ambrose,Alyn-Ambrose,,,,,,,,,,,,,,,
Alynne-Connington,Alynne-Connington,Alynne,,,,,,,,,,,,,,
Alys-Karstark,Alys-Karstark,Lady-Alys,Alys,,,,,,,,,,,,,
Alysane-Mormont,Aly-Mormont,Aly,Alysane-Mormont,Alysane-of-House-Mormont,She-Bear,Alysane,,,,,,,,,,
Amory-Lorch,Amory-Lorch,Lorch,Amory,,,,,,,,,,,,,
Anders-Yronwood,Anders-Yronwood,Lord-Anders-Yronwood,Lord-Yronwood,,,,,,,,,,,,,
Archibald-Yronwood,Ser-Archibald-Yronwood,Archibald-Yronwood,Ser-Archibald,Archibald,Greenguts,the-big-man,,,,,,,,,,
Areo-Hotah,Areo-Hotah,Hotah,Areo,,,,,,,,,,,,,
Arianne-Martell,Princess-Arianne,Arianne-Martell,Arianne,princess-Arianne,,,,,,,,,,,,
Armond-Connington,Armond-Connington,Lord-Armond-Connington,,,,,,,,,,,,,,
Arnolf-Karstark,Arnolf-Karstark,Lord-of-Karhold,Lord-Arnolf,Arnolf,castellan-of-Karhold,,,,,,,,,,,
Arron,Arron,,,,,,,,,,,,,,,
Arstan,Arstan-Whitebeard,Whitebeard,Arstan,,,,,,,,,,,,,
Arthor-Karstark,Arthor-Karstark,Arthor,,,,,,,,,,,,,,
Arthur-Dayne,Arthur-Dayne,Sword-of-the-Morning,,,,,,,,,,,,,,
Artos-Flint,Artos-Flint,,,,,,,,,,,,,,,
Artos-Stark,Artos-Stark,Artos-the-Implacable,,,,,,,,,,,,,,
Arya-Stark,Cat-of-the-Canals,Arya-Underfoot,Arya-Horseface,Arya-Stark,Lady-Arya,Arya,Arry,Cat,Salty,Squab,Weasel,Arya-of-House-Stark,blind-girl,Blind-Beth,Beth,
Arys-Oakheart,Ser-Arys-Oakheart,Arys-Oakheart,Ser-Arys,Arys,,,,,,,,,,,,
Ash,Ash,,,,,,,,,,,,,,,
Asha-Greyjoy,Asha-Greyjoy,Lady-Asha,Asha,queen-Asha,,,,,,,,,,,,
Ashara-Dayne,Ashara-Dayne,Ashara,,,,,,,,,,,,,,
Aurane-Waters,Aurane-Waters,Bastard-of-Driftmark,,,,,,,,,,,,,,
Axell-Florent,Ser-Axell-Florent,Axell-Florent,Ser-Axell,Axell,,,,,,,,,,,,
Azor-Ahai,Azor-Ahai,,,,,,,,,,,,,,,
Azzak,Azzak,,,,,,,,,,,,,,,
Baelor-Blacktyde,Baelor-Blacktyde,Lord-Baelor,,,,,,,,,,,,,,
Baelor-I-Targaryen,Baelor-the-Befuddled,Baelor-the-Blessed,Baelor-the-Beloved,Blessed-Baelor,King-Baelor,Baelor,,,,,,,,,,
Balon-Botley,Balon-Botley,,,,,,,,,,,,,,,
Balon-Greyjoy,Balon-Greyjoy,Lord-Balon,,,,,,,,,,,,,,
Balon-Swann,Balon-Swann,Ser-Balon,,,,,,,,,,,,,,
Baqq,Baqq,,,,,,,,,,,,,,,
Barba-Bracken,Barba-Bracken,Barba,,,,,,,,,,,,,,
Barbrey-Dustin,Lady-Barbrey-Dustin,Lady-of-Barrowton,Barbrey-Dustin,Lady-Barbrey,Lady-Dustin,Barbrey,,,,,,,,,,
Barra,Barra,,,,,,,,,,,,,,,
Barristan-Selmy,Ser-Barristan-Selmy,Barristan-the-Bold,Barristan-the-Old,Ser-Grandfather,Barristan-Selmy,Ser-Barristan,Barristan,Old-Ser,,,,,,,,
Barsena,Barsena-Blackhair,Blackhair,Barsena,,,,,,,,,,,,,
Barth,Septon-Barth,Barth,,,,,,,,,,,,,,
Bartimus,Ser-Bartimus,Bartimus,,,,,,,,,,,,,,
Beans,Beans,,,,,,,,,,,,,,,
Bearded-Ben,Bearded-Ben,,,,,,,,,,,,,,,
Beastmaster,Beastmaster,,,,,,,,,,,,,,,
Bedwyck,Bedwyck,Giant,,,,,,,,,,,,,,
Belaquo,Belaquo-Bonebreaker,Bonebreaker,Belaquo,,,,,,,,,,,,,
Belicho,Triarch-Belicho,,,,,,,,,,,,,,,
Belicho-Staegone,Belicho-Staegone,,,,,,,,,,,,,,,
Belwas,Strong-Belwas,Belwas,eunuch-Belwas,,,,,,,,,,,,,
Ben,Ben,Big-Belly-Ben,,,,,,,,,,,,,,
Ben-Blackwood,Ben-Blackwood,,,,,,,,,,,,,,,
Ben-Bones,Ben-Bones,,,,,,,,,,,,,,,
Ben-Plumm,Brown-Ben-Plumm,Ben-Plumm,Brown-Ben,,,,,,,,,,,,,
Benerro,Benerro,,,,,,,,,,,,,,,
Benethon-Scales,Benethon-Scales,Ser-Benethon-Scales,Ser-Benethon,,,,,,,,,,,,,
Benjen-Stark,Benjen-Stark,Benjen,,,,,,,,,,,,,,
Benjicot-Branch,Benjicot-Branch,Branch,,,,,,,,,,,,,,
Beric-Dondarrion,Lord-Beric-Dondarrion,Beric-Dondarrion,Lord-Beric,Lord-Dondarrion,Dondarrion,Beric,,,,,,,,,,
Beron-(sarjeant),Beron-(sarjeant),,,,,,,,,,,,,,,
Beron-Blacktyde,Blind-Beron-Blacktyde,,,,,,,,,,,,,,,
Beron-Stark,Lord-Beron-Stark,Beron-Stark,,,,,,,,,,,,,,
Bethany-Blackwood,Bethany-Blackwood,Bethany,,,,,,,,,,,,,,
Bhakaz,Bhakaz,,,,,,,,,,,,,,,
Black-Balaq,Black-Balaq,Balaq,,,,,,,,,,,,,,
Black-Fist,Black-Fist,,,,,,,,,,,,,,,
Black-Gerrold,Black-Gerrold,,,,,,,,,,,,,,,
Black-Knife,Black-Knife,,,,,,,,,,,,,,,
Blind-Doss,Blind-Doss,,,,,,,,,,,,,,,
Bloodbeard,Bloodbeard,,,,,,,,,,,,,,,
Blue-Bard,Blue-Bard,Wat-blue-bard,,,,,,,,,,,,,,
Bokkoko,Bokkoko,,,,,,,,,,,,,,,
Books,Books,,,,,,,,,,,,,,,
