Book,Page,Chapter No,Chapter Name,POV,Character,Title,Forename,Surname,Old Surname,Alias,Regnal No,Gender,Status
A Game of Thrones,1,0,Prologue,Will,Gared,,Gared,,,,,M,D
A Game of Thrones,1,0,Prologue,Will,Ser Waymar Royce,Ser,Waymar,Royce,,,,M,D
A Game of Thrones,1,0,Prologue,Will,Will,,Will,,,,,M,D
A Game of Thrones,11,1,Bran I,Bran Stark,Brandon Stark; Bran,,Brandon,Stark,,Bran,,M,A
A Game of Thrones,11,1,Bran I,Bran Stark,King Mance Rayder; King-Beyond-the-Wall,King,Mance,Rayder,,King-Beyond-the-Wall,,M,A
A Game of Thrones,11,1,Bran I,Bran Stark,Nan; Old Nan,,Nan,,,Old Nan,,F,A
A Game of Thrones,11,1,Bran I,Bran Stark,Robb Stark,,Robb,Stark,,,,M,D
A Game of Thrones,11,1,Bran I,Bran Stark,Jon Snow,,Jon,Snow,,,,M,U
A Game of Thrones,12,1,Bran I,Bran Stark,Lord Eddard Stark,Lord,Eddard,Stark,,,,M,D
A Game of Thrones,12,1,Bran I,Bran Stark,Theon Greyjoy,,Theon,Greyjoy,,,,M,A
A Game of Thrones,12,1,Bran I,Bran Stark,King Robert Baratheon,King,Robert,Baratheon,,,,M,D
A Game of Thrones,14,1,Bran I,Bran Stark,Jory Cassel,,Jory,Cassel,,,,M,D
A Game of Thrones,16,1,Bran I,Bran Stark,Hullen,,Hullen,,,,,M,D
A Game of Thrones,16,1,Bran I,Bran Stark,Harwin,,Harwin,,,,,M,A
A Game of Thrones,17,1,Bran I,Bran Stark,Ser Rodrik Cassel,Ser,Rodrik,Cassel,,,,M,D
A Game of Thrones,17,1,Bran I,Bran Stark,Rickon Stark,,Rickon,Stark,,,,M,A
A Game of Thrones,18,1,Bran I,Bran Stark,Desmond,,Desmond,,,,,M,D
A Game of Thrones,19,2,Catelyn I,Catelyn Tully,Lady Catelyn Stark (Tully),Lady,Catelyn,Stark,Tully,,,F,D
A Game of Thrones,20,2,Catelyn I,Catelyn Tully,Brandon Stark; The Builder,,Brandon,Stark,,The Builder,,M,D
A Game of Thrones,20,2,Catelyn I,Catelyn Tully,Arya Stark,,Arya,Stark,,,,F,A
A Game of Thrones,21,2,Catelyn I,Catelyn Tully,Sansa Stark,,Sansa,Stark,,,,F,A
A Game of Thrones,22,2,Catelyn I,Catelyn Tully,Maester Luwin,Maester,Luwin,,,,,M,D
A Game of Thrones,22,2,Catelyn I,Catelyn Tully,Lord Jon Arryn,Lord,Jon,Arryn,,,,M,D
A Game of Thrones,22,2,Catelyn I,Catelyn Tully,King Aerys II Targaryen; The Mad King,King,Aerys,Targaryen,,The Mad King,II,M,D
A Game of Thrones,22,2,Catelyn I,Catelyn Tully,Lord Hoster Tully,Lord,Hoster,Tully,,,,M,D
A Game of Thrones,22,2,Catelyn I,Catelyn Tully,Grand Maester Pycelle,Grand Maester,Pycelle,,,,,M,D
A Game of Thrones,23,2,Catelyn I,Catelyn Tully,Ser Brynden Tully; Blackfish,Ser,Brynden,Tully,,Blackfish,,M,A
A Game of Thrones,23,2,Catelyn I,Catelyn Tully,Benjen Stark,,Benjen,Stark,,,,M,U
