Aegon-Targaryen,Aegon Targaryen,A Game of Thrones,798,73,Appendix,N/A,Prince Aegon Targaryen; Son of Rhaegar Targaryen,Prince,Aegon,Targaryen,,Son of Rhaegar Targaryen,,M,U
Aegon-Targaryen,Aegon Targaryen,A Game of Thrones,800,73,Appendix,N/A,King Aegon II Targaryen; The Usurper,King,Aegon,Targaryen,,The Usurper,II,M,D
Aenys-Targaryen,Aenys Targaryen,A Game of Thrones,799,73,Appendix,N/A,Aenys Targaryen,,Aenys,Targaryen,,,,M,D
Aeron-Greyjoy,Aeron Greyjoy,A Game of Thrones,796,73,Appendix,N/A,Aeron Greyjoy; Damphair,,Aeron,Greyjoy,,Damphair,,M,U
Aerys-Targaryen,Aerys Targaryen,A Game of Thrones,800,73,Appendix,N/A,King Aerys I Targaryen,King,Aerys,Targaryen,,,I,M,D
Alannys-Greyjoy,Alannys Greyjoy,A Game of Thrones,796,73,Appendix,N/A,Lady Alannys Greyjoy (Harlaw),Lady,Alannys,Greyjoy,Harlaw,,,F,A
Arwyn-Oakheart,Arwyn Oakheart,A Game of Thrones,794,73,Appendix,N/A,Lady Arwyn Oakheart,Lady,Arwyn,Oakheart,,,,F,A
Asha-Greyjoy,Asha Greyjoy,A Game of Thrones,796,73,Appendix,N/A,Asha Greyjoy,,Asha,Greyjoy,,,,F,A
Cleos-Frey,Cleos Frey,A Game of Thrones,787,73,Appendix,N/A,Ser Cleos Frey,Ser,Cleos,Frey,,,,M,D
Daeron-Targaryen,Daeron Targaryen,A Game of Thrones,797,73,Appendix,N/A,King Daeron II Targaryen; The Good,King,Daeron,Targaryen,,The Good,II,M,D
Daeron-Targaryen,Daeron Targaryen,A Game of Thrones,800,73,Appendix,N/A,King Daeron I Targaryen; The Young Dragon/The Boy King,King,Daeron,Targaryen,,The Young Dragon/The Boy King,I,M,D
Daven-Lannister,Daven Lannister,A Game of Thrones,788,73,Appendix,N/A,Ser Daven Lannister,Ser,Daven,Lannister,,,,M,A
Desmond-Grell,Desmond Grell,A Game of Thrones,791,73,Appendix,N/A,Ser Desmond Grell,Ser,Desmond,Grell,,,,M,A
Edric-Dayne,Edric Dayne,A Game of Thrones,798,73,Appendix,N/A,Lord Edric Dayne; Ned,Lord,Edric,Dayne,,Ned,,M,U
Euron-Greyjoy,Euron Greyjoy,A Game of Thrones,796,73,Appendix,N/A,Euron Greyjoy; Crow's Eye,,Euron,Greyjoy,,Crow's Eye,,M,A
Garlan-Tyrell,Garlan Tyrell,A Game of Thrones,793,73,Appendix,N/A,Ser Garlan Tyrell; The Gallant,Ser,Garlan,Tyrell,,The Gallant,,M,A
Genna-Frey,Genna Frey,A Game of Thrones,787,73,Appendix,N/A,Genna Frey (Lannister),,Genna,Frey,Lannister,,,F,A
Harlen-Tyrell,Harlen Tyrell,A Game of Thrones,793,73,Appendix,N/A,Lord Harlen Tyrell,Lord,Harlen,Tyrell,,,,M,D
Jaehaerys-Targaryen,Jaehaerys Targaryen,A Game of Thrones,799,73,Appendix,N/A,King Jaehaerys I Targaryen; The Old King/The Conciliator,King,Jaehaerys,Targaryen,,The Old King/The Conciliator,I,M,D
