A Clash of Kings (Appendix),Aegon-Frey-(son-of-Stevron),Aegon Frey,Aegon Frey; Jinglebell,,Aegon,Frey,,Jinglebell
A Clash of Kings (Appendix),Aegon-Frey-(son-of-Aenys),Aegon Frey,Aegon Frey; Son of Aenys; Bloodborn,,Aegon,Frey,,Son of Aenys; Bloodborn
A Clash of Kings (Appendix),Aemon-Estermont,Aemon Estermont,Ser Aemon Estermont,Ser,Aemon,Estermont,,
A Clash of Kings (Appendix),Aemon-Rivers,Aemon Rivers,Ser Aemon Rivers,Ser,Aemon,Rivers,,
A Clash of Kings (Appendix),Aladale-Wynch,Aladale Wynch,Ser Aladale Wynch,Ser,Aladale,Wynch,,
A Clash of Kings (Appendix),Alekyne-Florent,Alekyne Florent,Alekyne Florent,,Alekyne,Florent,,
A Clash of Kings (Appendix),Alesander-Frey,Alesander Frey,Alesander Frey,,Alesander,Frey,,
A Clash of Kings (Appendix),Alester-Norcross,Alester Norcross,Alester Norcross,,Alester,Norcross,,
A Clash of Kings (Appendix),Alyn-Estermont,Alyn Estermont,Ser Alyn Estermont,Ser,Alyn,Estermont,,
A Clash of Kings (Appendix),Alyn-Frey,Alyn Frey,Alyn Frey,,Alyn,Frey,,
A Clash of Kings (Appendix),Alyn-Haigh,Alyn Haigh,Alyn Haigh,,Alyn,Haigh,,
A Clash of Kings (Appendix),Alys-Frey,Alys Frey,Alys Frey,,Alys,Frey,,
A Clash of Kings (Appendix),Alyssa-Blackwood,Alyssa Frey,Lady Alyssa Frey (Blackwood),Lady,Alyssa,Frey,Blackwood,
A Clash of Kings (Appendix),Alyx-Frey,Alyx Frey,Alyx Frey,,Alyx,Frey,,
A Clash of Kings (Appendix),Amarei-Crakehall,Amarei Frey,Lady Amarei Frey (Crakehall),Lady,Amarei,Frey,Crakehall,
A Clash of Kings (Appendix),Amerei-Frey,Amerei Frey,Amerei Frey; Gatehouse Ami,,Amerei,Frey,,Gatehouse Ami
A Clash of Kings (Appendix),Andrew-Estermont,Andrew Estermont,Ser Andrew Estermont,Ser,Andrew,Estermont,,
A Clash of Kings (Appendix),Androw-Frey,Androw Frey,Androw Frey,,Androw,Frey,,
A Clash of Kings (Appendix),Annara-Farring,Annara Frey,Lady Annara Frey (Farring),Lady,Annara,Frey,Farring,
A Clash of Kings (Appendix),Arwood-Frey,Arwood Frey,Ser Arwood Frey,Ser,Arwood,Frey,,
A Clash of Kings (Appendix),Arwyn-Frey,Arwyn Frey,Arwyn Frey,,Arwyn,Frey,,
A Clash of Kings (Appendix),Baelor-Blacktyde,Baelor Blacktyde,Lord Baelor Blacktyde,Lord,Baelor,Blacktyde,,
A Clash of Kings (Appendix),Bellena-Hawick,Bellena Frey,Bellena Frey (Hawick),,Bellena,Frey,Hawick,
A Clash of Kings (Appendix),Benfrey-Frey,Benfrey Frey,Ser Benfrey Frey,Ser,Benfrey,Frey,,
A Clash of Kings (Appendix),Beony-Frey,Beony Frey,Beony Frey (Beesbury),,Beony,Frey,Beesbury,
A Clash of Kings (Appendix),Berena-Hornwood,Berena Tallhart,Berena Tallhart (Hornwood),,Berena,Tallhart,Hornwood,
A Clash of Kings (Appendix),Bethany-Rosby,Bethany Frey,Lady Bethany Frey (Rosby),Lady,Bethany,Frey,Rosby,
A Clash of Kings (Appendix),Betharios-of-Braavos,Betharios Frey,Betharios Frey; Of Braavos,,Betharios,Frey,,Of Braavos
A Clash of Kings (Appendix),Bradamar-Frey,Bradamar Frey,Bradamar Frey,,Bradamar,Frey,,
A Clash of Kings (Appendix),Brandon-Tallhart,Brandon Tallhart,Brandon Tallhart,,Brandon,Tallhart,,
A Clash of Kings (Appendix),Bryan-Frey,Bryan Frey,Bryan Frey,,Bryan,Frey,,
A Clash of Kings (Appendix),Butterbumps,Butterbumps,Butterbumps,,Butterbumps,,,
A Clash of Kings (Appendix),Carolei-Waynwood,Carolei Frey,Carolei Frey (Waynwood),,Carolei,Frey,Waynwood,
A Clash of Kings (Appendix),Cersei-Frey,Cersei Frey,Cersei Frey; Little Bee,,Cersei,Frey,,Little Bee
A Clash of Kings (Appendix),Colin-Florent,Colin Florent,Ser Colin Florent,Ser,Colin,Florent,,
A Clash of Kings (Appendix),Colmar-Frey,Colmar Frey,Colmar Frey,,Colmar,Frey,,
A Clash of Kings (Appendix),Corenna-Swann,Corenna Frey,Lady Corenna Frey (Swann),Lady,Corenna,Frey,Swann,
A Clash of Kings (Appendix),Cynthea-Frey,Cynthea Frey,Cynthea Frey,,Cynthea,Frey,,
A Clash of Kings (Appendix),Cyrenna-Swann,Cyrenna Frey,Lady Cyrenna Frey (Swann),Lady,Cyrenna,Frey,Swann,
A Clash of Kings (Appendix),Dafyn-Vance,Dafyn Vance,Ser Dafyn Vance,Ser,Dafyn,Vance,,
A Clash of Kings (Appendix),Damon-Paege,Damon Paege,Ser Damon Paege,Ser,Damon,Paege,,
A Clash of Kings (Appendix),Damon-Vypren,Damon Vypren,Ser Damon Vypren,Ser,Damon,Vypren,,
A Clash of Kings (Appendix),Deana-Frey,Deana Frey,Deana Frey (Hardyng),,Deana,Frey,Hardyng,
A Clash of Kings (Appendix),Della-Frey,Della Frey,Della Frey; Deaf Della,,Della,Frey,,Deaf Della
A Clash of Kings (Appendix),Dickon-Frey,Dickon Frey,Dickon Frey,,Dickon,Frey,,
A Clash of Kings (Appendix),Donnel-Haigh,Donnel Haigh,Ser Donnel Haigh,Ser,Donnel,Haigh,,
A Clash of Kings (Appendix),Donnel-Swann,Donnel Swann,Ser Donnel Swann,Ser,Donnel,Swann,,
A Clash of Kings (Appendix),Donnor-Saltcliffe,Donnor Saltcliffe,Lord Donnor Saltcliffe,Lord,Donnor,Saltcliffe,,
A Clash of Kings (Appendix),Eddara-Tallhart,Eddara Tallhart,Eddara Tallhart,,Eddara,Tallhart,,
A Clash of Kings (Appendix),Edwyn-Frey,Edwyn Frey,Edwyn Frey,,Edwyn,Frey,,
A Clash of Kings (Appendix),Elron,Elron,Elron,,Elron,,,
A Clash of Kings (Appendix),Elyana-Wylde,Elyana Wylde,Elyana Wylde (Vypren),,Elyana,Wylde,Vypren,
A Clash of Kings (Appendix),Emberlei-Frey,Emberlei Frey,Emberlei Frey,,Emberlei,Frey,,
A Clash of Kings (Appendix),Erena-Glover,Erena Glover,Erena Glover,,Erena,Glover,,
A Clash of Kings (Appendix),Gawen-Glover,Gawen Glover,Gawen Glover,,Gawen,Glover,,
A Clash of Kings (Appendix),Geremy-Frey,Geremy Frey,Ser Geremy Frey,Ser,Geremy,Frey,,
A Clash of Kings (Appendix),Halmon-Paege,Halmon Paege,Ser Halmon Paege,Ser,Halmon,Paege,,
A Clash of Kings (Appendix),Hosman-Norcross,Hosman Norcross,Ser Hosman Norcross,Ser,Hosman,Norcross,,
A Clash of Kings (Appendix),Hoster-Frey,Hoster Frey,Hoster Frey,,Hoster,Frey,,
A Clash of Kings (Appendix),Igon-Vyrwel,Igon Vyrwel,Captain Igon Vyrwel,Captain,Igon,Vyrwel,,
A Clash of Kings (Appendix),Janyce-Frey,Janyce Frey,Janyce Frey (Hunter),,Janyce,Frey,Hunter,
A Clash of Kings (Appendix),Jeyne-Frey,Jeyne Frey,Lady Jeyne Frey (Lydden),Lady,Jeyne,Frey,Lydden,
A Clash of Kings (Appendix),Jeyne-Frey,Jeyne Frey,Jeyne Frey (Beesbury); Wife of Stevron,,Jeyne,Frey,Beesbury,Wife of Stevron
A Clash of Kings (Appendix),Jeyne-Goodbrook,Jeyne Goodbrook,Jeyne Goodbrook,,Jeyne,Goodbrook,,
A Clash of Kings (Appendix),Jeyne-Rivers,Jeyne Rivers,Jeyne Rivers,,Jeyne,Rivers,,
A Clash of Kings (Appendix),Jon-Brax,Jon Brax,Jon Brax,,Jon,Brax,,
A Clash of Kings (Appendix),Jon-Wylde,Jon Wylde,Jon Wylde,,Jon,Wylde,,
A Clash of Kings (Appendix),Jonos-Frey,Jonos Frey,Jonos Frey,,Jonos,Frey,,
A Clash of Kings (Appendix),Joyeuse-Frey,Joyeuse Frey,Lady Joyeuse Frey (Erenford),Lady,Joyeuse,Frey,Erenford,
A Clash of Kings (Appendix),Jurne,Jurne ,Maester Jurne,Maester,Jurne,,,
A Clash of Kings (Appendix),Jyanna-Frey,Jyanna Frey,Jyanna Frey,,Jyanna,Frey,,
A Clash of Kings (Appendix),Kyra-Goodbrook,Kyra Goodbrook,Kyra Goodbrook (Frey),,Kyra,Goodbrook,Frey,
A Clash of Kings (Appendix),Leonella-Frey,Leonella Frey,Leonella Frey (Lefford),,Leonella,Frey,Lefford,
A Clash of Kings (Appendix),Leslyn-Haigh,Leslyn Haigh,Ser Leslyn Haigh,Ser,Leslyn,Haigh,,
A Clash of Kings (Appendix),Lomas-Estermont,Lomas Estermont,Ser Lomas Estermont,Ser,Lomas,Estermont,,
A Clash of Kings (Appendix),Lothar-Frey,Lothar Frey,Lothar Frey; Lame Lothar,,Lothar,Frey,,Lame Lothar
A Clash of Kings (Appendix),Luceon,Luceon,Septon Luceon (Frey),Septon,Luceon,,Frey,
A Clash of Kings (Appendix),Lucias-Vypren,Lucias Vypren,Lucias Vypren,,Lucias,Vypren,,
A Clash of Kings (Appendix),Lyman-Darry,Lyman Darry,Lyman Darry,,Lyman,Darry,,
A Clash of Kings (Appendix),Lythene-Vypren,Lythene Vypren,Lady Lythene Vypren (Frey),Lady,Lythene,Vypren,Frey,
A Clash of Kings (Appendix),Maegelle-Vance,Maegelle Vance,Maegelle Vance (Frey),,Maegelle,Vance,Frey,
A Clash of Kings (Appendix),Malwyn-Frey,Malwyn Frey,Malwyn Frey,,Malwyn,Frey,,
A Clash of Kings (Appendix),Marianne-Vance,Marianne Vance,Marianne Vance,,Marianne,Vance,,
A Clash of Kings (Appendix),Marissa-Frey,Marissa Frey,Marissa Frey,,Marissa,Frey,,
A Clash of Kings (Appendix),Mariya-Frey,Mariya Frey,Lady Mariya Frey (Darry),Lady,Mariya,Frey,Darry,
A Clash of Kings (Appendix),Marsella-Frey,Marsella Frey,Marsella Frey (Waynwood),,Marsella,Frey,Waynwood,
A Clash of Kings (Appendix),Marwyn-Belmore,Marwyn Belmore,Ser Marwyn Belmore,Ser,Marwyn,Belmore,,
A Clash of Kings (Appendix),Mathis-Frey,Mathis Frey,Mathis Frey,,Mathis,Frey,,
A Clash of Kings (Appendix),Melara-Florent,Melara Florent,Lady Melara Florent (Crane),Lady,Melara,Florent,Crane,
A Clash of Kings (Appendix),Meldred-Merlyn,Meldred Merlyn,Lord Meldred Merlyn; The Merlyn,Lord,Meldred,Merlyn,,The Merlyn
A Clash of Kings (Appendix),Melesa-Frey,Melesa Frey,Melesa Frey (Crakehall),,Melesa,Frey,Crakehall,
A Clash of Kings (Appendix),Melessa-Tarly,Melessa Tarly,Lady Melessa Tarly (Florent),Lady,Melessa,Tarly,Florent,
A Clash of Kings (Appendix),Mellara-Rivers,Mellara Rivers,Mellara Rivers,,Mellara,Rivers,,
A Clash of Kings (Appendix),Melwys,Melwys,Maester Melwys (Rivers),Maester,Melwys,,Rivers,
A Clash of Kings (Appendix),Merianne-Frey,Merianne Frey,Merianne Frey; Merry,,Merianne,Frey,,Merry
A Clash of Kings (Appendix),Merrell-Florent,Merrell Florent,Merrell Florent,,Merrell,Florent,,
A Clash of Kings (Appendix),Morya-Brax,Morya Brax,Lady Morya Brax (Frey),Lady,Morya,Brax,Frey,
A Clash of Kings (Appendix),Mylenda-Frey,Mylenda Frey,Mylenda Frey (Caron),,Mylenda,Frey,Caron,
A Clash of Kings (Appendix),Myranda-Royce,Myranda Royce,Myranda Royce; Randa,,Myranda,Royce,,Randa
A Clash of Kings (Appendix),Norne-Goodbrother,Norne Goodbrother,Lord Norne Goodbrother,Lord,Norne,Goodbrother,,
A Clash of Kings (Appendix),Omer,Omer,Maester Omer,Maester,Omer,,,
A Clash of Kings (Appendix),Oro-Tendyris,Oro Tendyris,Oro Tendyris,,Oro,Tendyris,,
A Clash of Kings (Appendix),Osmund-Frey,Osmund Frey,Osmund Frey,,Osmund,Frey,,
A Clash of Kings (Appendix),Pate,Pate,Ser Pate; Of the Blue Fork; Of Sevenstreams,Ser,Pate,,,Of the Blue Fork; Of Sevenstreams
A Clash of Kings (Appendix),Patrek-Vance,Patrek Vance,Patrek Vance,,Patrek,Vance,,
A Clash of Kings (Appendix),Perra-Frey,Perra Frey,Lady Perra Frey (Royce),Lady,Perra,Frey,Royce,
