Cressen,Cressen,A Clash of Kings,1,0,Prologue,Maester Cressen,Maester Cressen,Maester,Cressen,,,,,M,D
Pylos,Pylos,A Clash of Kings,1,0,Prologue,Maester Cressen,Maester Pylos,Maester,Pylos,,,,,M,A
Patchface,Patchface,A Clash of Kings,2,0,Prologue,Maester Cressen,Patchface,,Patchface,,,,,M,A
Dalla,Dalla,A Clash of Kings,4,0,Prologue,Maester Cressen,Dalla,,Dalla,,,,,F,A
Matrice,Matrice,A Clash of Kings,4,0,Prologue,Maester Cressen,Matrice,,Matrice,,,,,F,A
Jommy,Jommy,A Clash of Kings,6,0,Prologue,Maester Cressen,Jommy,,Jommy,,,,,M,U
Steffon-Baratheon,Steffon Baratheon,A Clash of Kings,6,0,Prologue,Maester Cressen,Lord Steffon Baratheon,Lord,Steffon,Baratheon,,,,M,D
Davos-Seaworth,Davos Seaworth,A Clash of Kings,7,0,Prologue,Maester Cressen,"Ser Davos Seaworth, The Onion Knight",Ser,Davos,Seaworth,,The Onion Knight,,M,A
Harbert,Harbert,A Clash of Kings,7,0,Prologue,Maester Cressen,Ser Harbert,Ser,Harbert,,,,,M,D
Gulian-Swann,Gulian Swann,A Clash of Kings,9,0,Prologue,Maester Cressen,Lord Gulian Swann,Lord,Gulian,Swann,,,,M,A
Morosh,Morosh,A Clash of Kings,14,0,Prologue,Maester Cressen,"Morosh, The Myrman",,Morosh,,,The Myrman,,M,A
Salladhor-Saan,Salladhor Saan,A Clash of Kings,14,0,Prologue,Maester Cressen,Salladhor Saan,,Salladhor,Saan,,,,M,A
Melisandre,Melisandre,A Clash of Kings,17,0,Prologue,Maester Cressen,"Melisandre, Of Asshai/Melony",,Melisandre,,,Of Asshai/Melony,,F,A
Ardrian-Celtigar,Ardrian Celtigar,A Clash of Kings,22,0,Prologue,Maester Cressen,Lord Ardrian Celtigar,Lord,Ardrian,Celtigar,,,,M,A
Axell-Florent,Axell Florent,A Clash of Kings,22,0,Prologue,Maester Cressen,Ser Axell Florent,Ser,Axell,Florent,,,,M,A
Duram-Bar-Emmon,Duram Bar Emmon,A Clash of Kings,22,0,Prologue,Maester Cressen,Lord Duram Bar Emmon,Lord,Duram,Bar Emmon,,,,M,A
Guncer-Sunglass,Guncer Sunglass,A Clash of Kings,22,0,Prologue,Maester Cressen,Lord Guncer Sunglass,Lord,Guncer,Sunglass,,,,M,D
Monford-Velaryon,Monford Velaryon,A Clash of Kings,22,0,Prologue,Maester Cressen,Lord Monford Velaryon,Lord,Monford,Velaryon,,,,M,D
Lommy,Lommy,A Clash of Kings,27,1,Arya I,Arya Stark,"Lommy, Greenhands",,Lommy,,,Greenhands,,M,D
Hot-Pie,Hot Pie,A Clash of Kings,28,1,Arya I,Arya Stark,Hot Pie,,Hot Pie,,,,,M,A
