Addam-Marbrand,Ser-Addam-Marbrand,Addam-Marbrand,Ser-Addam,Addam,,,,,,,,
Aegon-I,Aegon-I,Aegon-the-Conqueror,Aegon-the-Dragon,Aegon-the-Dragonlord,Aegon-Dragonlord,,,,,,,
Aegon-II,Aegon-II,Aegon-the-Usurper,,,,,,,,,,
Aegon-III,Aegon-III,Aegon-the-Dragonbane,,,,,,,,,,
Aegon-IV,Aegon-IV,Aegon-the-Unworthy,king-Unworthy,,,,,,,,,
Aegon-V,Aegon-V,Aegon-the-Unlikely,Aegon-the-Fortunate,,,,,,,,,
Aemon-Targaryen,Aemon-Targaryen,Maester-Aemon,Aemon,,,,,,,,,
Aemon-the-Dragonknight,Prince-Aemon-the-Dragonknight,Aemon-the-Dragonknight,Dragonknight,Prince-Aemon,,,,,,,,
Aenys-Frey,Ser-Aenys-Frey,Aenys-Frey,Ser-Aenys,Aenys,,,,,,,,
Aerion-Brightflame,Aerion-Brightflame,Aerion-Brightfire,Prince-Aerion,Brightflame,Brightfire,Aerion,,,,,,
Aerys-Targaryen,Aerys-Targaryen,Aerys-the-Mad,King-Aerys,King-Scab,Mad-King,Aerys,king-Areys,,,,,
Aggo,Aggo,,,,,,,,,,,
Alayne-Stone,Alayne-Stone,Alayne,,,,,,,,,,
Alerie,Lady-Tyrell,Lady-Alerie,Alerie,,,,,,,,,
Alester-Florent,Lord-Alester-Florent,Alester-Florent,Lord-Florent,Lord-Alester,Alester,Lord-of-Brightwater,,,,,,
Alliser-Thorne,Ser-Alliser-Thorne,Alliser-Thorne,Ser-Alliser,Alliser,,,,,,,,
Alysanne,Queen Alysanne,Alysanne,queen-Alysanne,,,,,,,,,
Red-Alyn,Red-Alyn-of-the-Rosewood,Red-Alyn,,,,,,,,,,
Alyn-of-Winterfell,Alyn-of-Winterfell,Alyn,,,,,,,,,,
Alyn-Connington,Pale-Griffin,Alyn-Connington,,,,,,,,,,
Alyx-Frey,Alyx-Frey,Alyx,,,,,,,,,,
Amory-Lorch,Ser-Amory-Lorch,Amory-Lorch,Ser-Amory,Amory,,,,,,,,
Andrew-Estermont,Ser-Andrew-Estermont,Andrew-Estermont,Ser-Andrew,Andrew,,,,,,,,
Anguy,Anguy-the-Archer,Archer,Anguy,,,,,,,,,
Ardrian-Celtigar,Ardrian-Celtigar,Lord-Celtigar,Celtigar,Ardrian,,,,,,,,
Arron-Qorgyle,Ser-Arron-Qorgyle,Arron-Qorgyle,Arron,,,,,,,,,
Arstan,Arstan-Whitebeard,Whitebeard,Arstan,,,,,,,,,
Arthur-Dayne,Ser-Arthur-Dayne-of-the-Kingsguard,Sword-of-the-Morning,Ser-Arthur-Dayne,Arthur-Dayne,Ser-Arthur,Arthur,,,,,,
Arya-Stark,Arya-Underfoot,Arya-Stark,Underfoot,Squab,Arya,Arry,,,,,,
Ashara-Dayne,Lady-Ashara-Dayne,Ashara-Dayne,Lady-Ashara,Ashara,,,,,,,,
Axell-Florent,Ser-Axell-Florent,Axell-Florent,Ser-Axell,Axell,,,,,,,,
Baelor-Hightower,Baelor-Brightsmile,Baelor-Breakwind,Baelor-Hightower,Brightsmile,Breakwind,,,,,,,
Baelor-the-Blessed,King-Baelor-the-Blessed,Baelor-the-Blessed,King-Baelor,Baelor,,,,,,,,
Ballabar,Maester-Ballabar,Ballabar,,,,,,,,,,
Balon-Greyjoy,Balon-Greyjoy,King-Balon,Lord-Balon,,,,,,,,,
Balon-Swann,Ser-Balon-Swann,Balon-Swann,Ser-Balon,,,,,,,,,
Bannen,Bannen,,,,,,,,,,,
Barristan-Selmy,Ser-Barristan-Selmy,Barristan-the-Bold,Barristan-Selmy,Ser-Barristan,Barristan,Lord-Commander-of-the-Kingsguard-Barristan,,,,,,
Belwas,Strong-Belwas,Belwas,eunuch-Belwas,,,,,,,,,
Ben-Plumm,Ben-Plumm,Brown-Ben,,,,,,,,,,
Benfrey,Ser-Benfrey,Benfrey,,,,,,,,,,
Benjen-Stark,Benjen-Stark,Ben-Stark,Benjen,,,,,,,,,
Beric-Dondarrion,Lord-Beric-Dondarrion,Beric-Dondarrion,Lord-Beric,Beric,,,,,,,,
Boros-Blount,Ser-Boros-Blount,Boros-Blount,Ser-Boros,Boros,,,,,,,,
Bowen-Marsh,Bowen-Marsh,Bowen,Marsh,,,,,,,,,
Bran,Bran-the-Broken,Prince-Bran,Bran,,,,,,,,,
Brandon-Stark,Brandon-Stark,Brandon,,,,,,,,,,
Brandon-the-Builder,Brandon-the-Builder,,,,,,,,,,,
Brienne,Brienne-of-Tarth,Lady-Brienne,Ser-Brienne,Brienne,,,,,,,,
Bronn,Ser-Bronn-of-the-Blackwater,Ser-Bronn,Bronn,,,,,,,,,
Brynden-Tully,Ser-Brynden-Blackfish,Brynden-Blackfish,Ser-Brynden-Tully,Brynden-Tully,Ser-Brynden,Blackfish,Brynden,,,,,
Butterbumps,Butterbumps,,,,,,,,,,,
Byam,Ser-Byam,Byam,,,,,,,,,,
Cafferen,Lord-Cafferen,Cafferen,,,,,,,,,,
Catelyn-Stark,Lady-Catelyn-Stark,Catelyn-Stark,Lady-Catelyn,Lady-Stark,Catelyn,Cat,,,,,,
Cellador,Septon-Cellador,Cellador,,,,,,,,,,
