Source,Target,Weight,Type
"Eddard","Jon",80.0,undirected
"Eddard","Tyrion",22.0,undirected
"Eddard","Brandon",31.0,undirected
"Eddard","Catelyn",71.0,undirected
"Eddard","Daenerys",6.0,undirected
"Eddard","Robert",215.0,undirected
"Eddard","Arya",44.0,undirected
"Eddard","Robb",23.0,undirected
"Eddard","Sansa",40.0,undirected
"Eddard","Joffrey",28.0,undirected
"Eddard","Tywin",19.0,undirected
"Eddard","Jaime",28.0,undirected
"Eddard","Petyr",75.0,undirected
"Eddard","Rodrik",9.0,undirected
"Eddard","Samwell",4.0,undirected
"Eddard","Renly",42.0,undirected
"Eddard","Lysa",12.0,undirected
"Eddard","Varys",61.0,undirected
"Eddard","Cersei",27.0,undirected
"Eddard","Pycelle",39.0,undirected
"Eddard","Barristan",27.0,undirected
"Eddard","Sandor",12.0,undirected
"Eddard","Gregor",14.0,undirected
"Eddard","Benjen",4.0,undirected
"Eddard","Stannis",20.0,undirected
"Eddard","Theon",5.0,undirected
"Eddard","Jeor",6.0,undirected
"Eddard","Jory",44.0,undirected
"Eddard","Syrio",10.0,undirected
"Eddard","Loras",12.0,undirected
"Eddard","Rickon",6.0,undirected
"Eddard","Janos",11.0,undirected
"Eddard","Rhaegar",14.0,undirected
"Eddard","Aerys",14.0,undirected
"Eddard","Aegon",4.0,undirected
"Eddard","Ilyn",6.0,undirected
"Eddard","Boros",4.0,undirected
"Eddard","Lyanna",27.0,undirected
"Eddard","Vayon",12.0,undirected
"Eddard","Balon",5.0,undirected
"Eddard","Harwin",4.0,undirected
"Eddard","Torrhen",7.0,undirected
"Jon","Tyrion",66.0,undirected
"Jon","Brandon",92.0,undirected
"Jon","Catelyn",23.0,undirected
"Jon","Robert",27.0,undirected
"Jon","Arya",51.0,undirected
"Jon","Robb",73.0,undirected
"Jon","Sansa",8.0,undirected
"Jon","Joffrey",13.0,undirected
"Jon","Jaime",7.0,undirected
"Jon","Rodrik",6.0,undirected
"Jon","Samwell",101.0,undirected
"Jon","Lysa",7.0,undirected
"Jon","Pycelle",5.0,undirected
"Jon","Benjen",61.0,undirected
"Jon","Stannis",14.0,undirected
"Jon","Theon",8.0,undirected
"Jon","Jeor",83.0,undirected
"Jon","Alliser",46.0,undirected
"Jon","Jory",7.0,undirected
"Jon","Aemon",33.0,undirected
"Jon","Hodor",5.0,undirected
"Jon","Rickon",16.0,undirected
"Jon","Pyp",52.0,undirected
"Jon","Grenn",39.0,undirected
"Jon","Jaremy",6.0,undirected
"Jon","Yoren",13.0,undirected
"Jon","Halder",31.0,undirected
"Jon","Bowen",8.0,undirected
"Jon","Tommen",4.0,undirected
"Jon","Chett",7.0,undirected
"Jon","Dareon",9.0,undirected
"Jon","Rast",11.0,undirected
"Tyrion","Brandon",24.0,undirected
"Tyrion","Catelyn",41.0,undirected
"Tyrion","Robert",16.0,undirected
"Tyrion","Robb",5.0,undirected
"Tyrion","Sansa",5.0,undirected
"Tyrion","Joffrey",11.0,undirected
"Tyrion","Tywin",46.0,undirected
"Tyrion","Jaime",43.0,undirected
"Tyrion","Petyr",11.0,undirected
"Tyrion","Rodrik",7.0,undirected
"Tyrion","Renly",7.0,undirected
"Tyrion","Lysa",27.0,undirected
"Tyrion","Varys",4.0,undirected
"Tyrion","Cersei",16.0,undirected
"Tyrion","Sandor",5.0,undirected
"Tyrion","Gregor",7.0,undirected
"Tyrion","Benjen",8.0,undirected
"Tyrion","Bronn",65.0,undirected
"Tyrion","Jeor",19.0,undirected
"Tyrion","Alliser",8.0,undirected
"Tyrion","Aemon",4.0,undirected
"Tyrion","Vardis",13.0,undirected
"Tyrion","Kevan",17.0,undirected
"Tyrion","Yoren",9.0,undirected
"Tyrion","Tommen",6.0,undirected
"Tyrion","Willis",5.0,undirected
"Tyrion","Marillion",9.0,undirected
"Tyrion","Chiggen",4.0,undirected
"Tyrion","Jyck",10.0,undirected
"Tyrion","Morrec",9.0,undirected
"Brandon","Catelyn",34.0,undirected
"Brandon","Robert",13.0,undirected
"Brandon","Arya",25.0,undirected
"Brandon","Robb",145.0,undirected
"Brandon","Sansa",13.0,undirected
"Brandon","Jaime",5.0,undirected
"Brandon","Petyr",24.0,undirected
"Brandon","Rodrik",13.0,undirected
"Brandon","Renly",4.0,undirected
"Brandon","Benjen",7.0,undirected
"Brandon","Theon",24.0,undirected
"Brandon","Jeor",8.0,undirected
"Brandon","Jory",17.0,undirected
"Brandon","Nan",27.0,undirected
"Brandon","Hodor",55.0,undirected
"Brandon","Rickon",43.0,undirected
"Brandon","Aerys",13.0,undirected
"Brandon","Rickard",8.0,undirected
"Brandon","Lyanna",8.0,undirected
"Brandon","Tommen",6.0,undirected
"Brandon","Hallis",5.0,undirected
"Brandon","Hullen",6.0,undirected
"Brandon","Hal",5.0,undirected
"Brandon","Stiv",6.0,undirected
"Catelyn","Robert",15.0,undirected
"Catelyn","Arya",9.0,undirected
"Catelyn","Robb",58.0,undirected
"Catelyn","Sansa",11.0,undirected
"Catelyn","Joffrey",4.0,undirected
"Catelyn","Tywin",9.0,undirected
"Catelyn","Jaime",11.0,undirected
"Catelyn","Petyr",27.0,undirected
"Catelyn","Rodrik",32.0,undirected
"Catelyn","Lysa",44.0,undirected
"Catelyn","Varys",8.0,undirected
"Catelyn","Bronn",8.0,undirected
"Catelyn","Theon",9.0,undirected
"Catelyn","Brynden",20.0,undirected
"Catelyn","Walder",10.0,undirected
"Catelyn","Vardis",7.0,undirected
"Catelyn","Edmure",10.0,undirected
"Catelyn","Hoster",10.0,undirected
"Catelyn","Greatjon",5.0,undirected
"Catelyn","Marillion",7.0,undirected
"Catelyn","Stevron",5.0,undirected
"Catelyn","Hal",5.0,undirected
"Daenerys","Robert",9.0,undirected
"Daenerys","Mirri",111.0,undirected
"Daenerys","Drogo",105.0,undirected
"Daenerys","Jorah",81.0,undirected
