Source,Target,Weight,Type
"Eddard S","Jon S",74.0,undirected
"Eddard S","Jon A",33.0,undirected
"Eddard S","Tyrion L",23.0,undirected
"Eddard S","Brandon S",28.0,undirected
"Eddard S","Daenerys T",5.0,undirected
"Eddard S","Catelyn S",70.0,undirected
"Eddard S","Arya S",38.0,undirected
"Eddard S","Robert B",198.0,undirected
"Eddard S","Sansa S",39.0,undirected
"Eddard S","Robb S",22.0,undirected
"Eddard S","Joffrey B",25.0,undirected
"Eddard S","Petyr B",83.0,undirected
"Eddard S","Jaime L",27.0,undirected
"Eddard S","Tywin L",19.0,undirected
"Eddard S","Luwin",16.0,undirected
"Eddard S","Lysa A",14.0,undirected
"Eddard S","Varys",58.0,undirected
"Eddard S","Rodrik C",7.0,undirected
"Eddard S","Cersei L",28.0,undirected
"Eddard S","Renly B",38.0,undirected
"Eddard S","Septa M",9.0,undirected
"Eddard S","Pycelle",38.0,undirected
"Eddard S","Sandor C",13.0,undirected
"Eddard S","Jory C",39.0,undirected
"Eddard S","Gregor C",13.0,undirected
"Eddard S","Stannis B",18.0,undirected
"Eddard S","Benjen S",4.0,undirected
"Eddard S","Theon G",5.0,undirected
"Eddard S","Barristan S",25.0,undirected
"Eddard S","Rickon S",5.0,undirected
"Eddard S","Syrio F",7.0,undirected
"Eddard S","Loras T",14.0,undirected
"Eddard S","Rhaegar T",13.0,undirected
"Eddard S","Tom",16.0,undirected
"Eddard S","Aerys T",13.0,undirected
"Eddard S","Lyanna",21.0,undirected
"Eddard S","Janos S",6.0,undirected
"Eddard S","Ilyn P",6.0,undirected
"Eddard S","Boros B",4.0,undirected
"Eddard S","Alyn",11.0,undirected
"Eddard S","Desmond",5.0,undirected
"Eddard S","Vayon P",12.0,undirected
"Eddard S","Harwin",4.0,undirected
"Eddard S","Tobho M",6.0,undirected
"Eddard S","High S",4.0,undirected
"Eddard S","Cayn",7.0,undirected
"Eddard S","Torrhen K",7.0,undirected
"Eddard S","Hugh",4.0,undirected
"Eddard S","Daryn H",4.0,undirected
"Jon S","Jon A",62.0,undirected
"Jon S","Tyrion L",46.0,undirected
"Jon S","Brandon S",71.0,undirected
"Jon S","Catelyn S",30.0,undirected
"Jon S","Arya S",45.0,undirected
"Jon S","Robert B",27.0,undirected
"Jon S","Sansa S",8.0,undirected
"Jon S","Robb S",62.0,undirected
"Jon S","Joffrey B",11.0,undirected
"Jon S","Jaime L",6.0,undirected
"Jon S","Luwin",12.0,undirected
"Jon S","Lysa A",8.0,undirected
"Jon S","Samwell T",87.0,undirected
"Jon S","Rodrik C",6.0,undirected
"Jon S","Septa M",4.0,undirected
"Jon S","Pycelle",6.0,undirected
"Jon S","Jory C",6.0,undirected
"Jon S","Stannis B",12.0,undirected
"Jon S","Benjen S",48.0,undirected
"Jon S","Theon G",7.0,undirected
"Jon S","Jeor M",33.0,undirected
"Jon S","Rickon S",12.0,undirected
"Jon S","Pyp",47.0,undirected
"Jon S","Alliser T",35.0,undirected
"Jon S","Aemon T",28.0,undirected
"Jon S","Grenn",36.0,undirected
"Jon S","Yoren",7.0,undirected
"Jon S","Halder",27.0,undirected
"Jon S","Jaremy R",6.0,undirected
"Jon S","Tommen",4.0,undirected
"Jon S","Chett",6.0,undirected
"Jon S","Bowen M",7.0,undirected
"Jon S","Donal N",9.0,undirected
"Jon S","Dareon",7.0,undirected
"Jon S","Hobb",8.0,undirected
"Jon A","Tyrion L",4.0,undirected
"Jon A","Brandon S",6.0,undirected
"Jon A","Catelyn S",11.0,undirected
"Jon A","Robert B",14.0,undirected
"Jon A","Petyr B",5.0,undirected
"Jon A","Jaime L",6.0,undirected
"Jon A","Lysa A",10.0,undirected
"Jon A","Pycelle",9.0,undirected
"Jon A","Stannis B",11.0,undirected
"Tyrion L","Brandon S",19.0,undirected
"Tyrion L","Catelyn S",50.0,undirected
"Tyrion L","Robert A",5.0,undirected
"Tyrion L","Robert B",16.0,undirected
"Tyrion L","Sansa S",4.0,undirected
"Tyrion L","Robb S",5.0,undirected
"Tyrion L","Joffrey B",10.0,undirected
"Tyrion L","Petyr B",11.0,undirected
"Tyrion L","Jaime L",40.0,undirected
"Tyrion L","Tywin L",44.0,undirected
"Tyrion L","Luwin",4.0,undirected
