Aerys T Encounters:
Aerys T (Mad), Robert B (Robert Baratheon), 44281, "had become a second father to him and his fellow ward; Robert Baratheon. When the Mad"
Jon A (LordoftheEyrie), Aerys T (Aerys), 44350, "ward; Robert Baratheon. When the Mad King Aerys II Targaryen had demanded their heads; the LordoftheEyrie"
Aerys T (Mad), Brandon S (Brandon), 79716, "his children.  Brandon had been twenty when he died; strangled by order of the Mad"
Catelyn S (Catelyn), Aerys T (Aerys Targaryen), 79788, "the Mad King Aerys Targaryen only a few short days before he was to wed Catelyn"
Aerys T (Aerys), Arthur D (Sword of the Morning), 123768, "of Ser Arthur Dayne; the Sword of the Morning; deadliest of the seven knights of Aerys"
Aerys T (Aerys), Robert B (Robert), 211000, "was the king's master of whisperers. He served Robert now as he had once served Aerys"
Aerys T (Aerys), Varys (master of whisperers), 211000, "was the king's master of whisperers. He served Robert now as he had once served Aerys"
Eddard S (Ned), Aerys T (Aerys Targaryen), 211015, "king's master of whisperers. He served Robert now as he had once served Aerys Targaryen. Ned"
Lysa A (Lysa), Aerys T (Aerys Targaryen), 211069, "as he had once served Aerys Targaryen. Ned unrolled the paper with trepidation; thinking of Lysa"
Aerys T (Aerys), Robert B (the king), 213774, "children � it would be vile � unspeakable �"  "Unspeakable?" the king roared. "What Aerys"
Brandon S (Brandon), Aerys T (Aerys), 213802, "vile � unspeakable �"  "Unspeakable?" the king roared. "What Aerys did to your brother Brandon"
Eddard S (Ned), Aerys T (Aerys Targaryen), 217920, "fortune and honor all bound to mine."  "As they were bound to Aerys Targaryen's;" Ned"
Robert B (Robert), Aerys T (Aerys), 218320, "opened that king's throat with a sword."  "Seven hells; someone had to kill Aerys!" Robert"
Jaime L (Jaime), Aerys T (Aerys), 218397, "Aerys!" Robert said; reining his mount to a sudden halt beside an ancient barrow. "If Jaime"
Aerys T (Aerys), Rhaegar T (Rhaegar), 218895, "into my hands. The remnants of Rhaegar's army fled back to King's Landing. We followed. Aerys"
Tywin L (Tywin), Aerys T (Aerys Targaryen), 219655, "royalists. Aerys Targaryen must have thought that his gods had answered his prayers when Lord Tywin"
Aerys T (Aerys), Eddard S (Ned), 221026, "for what I found when I rode into the throne room that day;" Ned said. "Aerys"
Aerys T (Aerys), Barristan S (Lord Commander of the Kingsguard), 279701, "Lord Commander of the Kingsguard;" she said; "and councillor to Robert our king and to Aerys"
Aerys T (Aerys), Robert B (Robert), 279701, "Lord Commander of the Kingsguard;" she said; "and councillor to Robert our king and to Aerys"
Aerys T (Aerys), Sansa S (Sansa), 281623, "gave his uncle a look of pure loathing; then took Sansa's hands in his own. "Aerys"
Aerys T (Aerys), Jaime L (Jaime), 285522, "imaginary warhammer to show her how it was done. "Then my uncle Jaime killed old Aerys"
Sansa S (Sansa), Aerys T (Aerys), 285574, "my uncle Jaime killed old Aerys; and my father was king. What's that sound?"  Sansa"
Aerys T (Aerys), Eddard S (Ned), 372172, "the Faith. The High Septon haggles worse than a Dornish fishmonger."  Ned was aghast. "Aerys"
Aerys T (Aerys), High S (High Septon), 372172, "the Faith. The High Septon haggles worse than a Dornish fishmonger."  Ned was aghast. "Aerys"
Petyr B (Littlefinger), Aerys T (Aerys Targaryen), 372263, ""Aerys Targaryen left a treasury flowing with gold. How could you let this happen?"  Littlefinger"
Aerys T (Aerys), Bran S (Bran), 385771, "thinking of the boy Mycah; of JonArryn's sudden death; of Bran's fall; of old mad Aerys"
Aerys T (Aerys), Jon A (JonArryn), 385771, "thinking of the boy Mycah; of JonArryn's sudden death; of Bran's fall; of old mad Aerys"
Aerys T (Aerys), Mycah (Mycah), 385771, "thinking of the boy Mycah; of JonArryn's sudden death; of Bran's fall; of old mad Aerys"
Aerys T (Mad), Brandon S (Brandon), 461483, "ago; and sometimes she confused him with his uncle Brandon; who was killed by the Mad"
Bran S (Bran), Aerys T (Mad King), 461500, "she confused him with his uncle Brandon; who was killed by the Mad King before Bran"
Aerys T (Aerys), Pycelle (Pycelle), 487272, "been Grand Maester of the Seven Kingdoms;" Pycelle replied. "Under our good King Robert; and Aerys"
Aerys T (Aerys), Robert B (Robert), 487272, "been Grand Maester of the Seven Kingdoms;" Pycelle replied. "Under our good King Robert; and Aerys"
Jaehaerys (Jaehaerys), Aerys T (Aerys Targaryen), 487319, "Pycelle replied. "Under our good King Robert; and Aerys Targaryen before him; and his father Jaehaerys"
Aerys T (Aerys), Eddard S (Ned), 602147, " Robert slapped Ned on the back. "Ah; say that I'm a better king than Aerys"
Aerys T (Aerys), Robert B (Robert), 602147, " Robert slapped Ned on the back. "Ah; say that I'm a better king than Aerys"
Eddard S (Ned), Aerys T (Aerys), 602212, "than Aerys and be done with it. You never could lie for love nor honor; Ned"
Aerys T (Aerys), Robert B (Robert), 688530, "yet he could not keep silent. "Robert; I ask you; what did we rise against Aerys"
Robert B (Robert), Aerys T (Aerys), 689624, "realm; not the ruler. Once I counseled King Aerys as loyally as I counsel King Robert"
Aerys T (Aerys), Eddard S (Eddard), 750181, "and urged his stallion forward. "Show me your steel; Lord Eddard. I'll butcher you like Aerys"
Jaime L (Kingslayer), Aerys T (Aerys), 768411, "Aerys had been murdered by one of them; the handsome boy they now called the Kingslayer"
