Benjen S Encounters:
Luwin (Maester Luwin), Benjen S (Ben), 46579, ""Yes; of course;" he agreed. "Ben will want to be here. I shall tell Maester Luwin"
Robert B (Robert), Benjen S (Benjen), 85948, "was. Benjen says�"  "No doubt I will hear what your brother says soon enough;" Robert"
Theon G (Theon), Benjen S (Benjen Stark), 96680, "enter were his uncle; Benjen Stark of the Night's Watch; and his father's ward; young Theon"
Benjen S (Benjen), Theon G (Theon Greyjoy), 96696, "his uncle; Benjen Stark of the Night's Watch; and his father's ward; young Theon Greyjoy. Benjen"
Jon S (Jon), Benjen S (Benjen), 96705, "Benjen Stark of the Night's Watch; and his father's ward; young Theon Greyjoy. Benjen gave Jon"
Theon G (Theon), Benjen S (Benjen), 96739, "father's ward; young Theon Greyjoy. Benjen gave Jon a warm smile as he went by. Theon"
Benjen S (Ben), Jon S (Jon), 98703, "a familiar voice asked close at hand.  Jon looked up happily as his uncle Ben"
Jon S (Jon), Benjen S (Ben), 98759, "his uncle Ben put a hand on his head and ruffled his hair much as Jon"
Jon S (Jon), Benjen S (Benjen Stark), 99019, "Benjen Stark straddled the bench with long legs and took the wine cup out of Jon"
Benjen S (Ben), Jon S (Jon), 99135, "taste. "Nothing so sweet. How many cups have you had; Jon?"  Jon smiled.  Ben"
Jon S (Jon), Benjen S (Benjen Stark), 100047, "are still direwolves beyond the Wall. We hear them on our rangings." Benjen Stark gave Jon"
Benjen S (Benjen), Robert B (the king), 101154, "king down to the crypts this afternoon. The queen didn't want him to go."  Benjen"
Jon S (Jon), Benjen S (Benjen), 101163, "to the crypts this afternoon. The queen didn't want him to go."  Benjen gave Jon"
Jon S (Jon), Benjen S (Benjen), 101670, "Uncle Benjen studied his face carefully. "The Wall is a hard place for a boy; Jon"
Benjen S (Benjen), Luwin (Maester Luwin), 101856, "and Maester Luwin says bastards grow up faster than other children."  "That's true enough;" Benjen"
Jon S (Jon), Benjen S (Benjen), 101909, " "That's true enough;" Benjen said with a downward twist of his mouth. He took Jon"
Benjen S (Benjen), Jon S (Jon), 103359, "said. "I am ready to swear your oath."  "You are a boy of fourteen;" Benjen"
Benjen S (Benjen), Jon S (Jon), 103560, "care about that!" Jon said hotly.  "You might; if you knew what it meant;" Benjen"
Benjen S (Benjen), Jon S (Jon), 103718, "the price; son."  Jon felt anger rise inside him. "I'm not your son!"  Benjen"
Jon S (Jon), Benjen S (Benjen Stark), 103774, "your son!"  Benjen Stark stood up. "More's the pity." He put a hand on Jon"
Benjen S (Benjen), Luwin (Maester Luwin), 126112, "Maester Luwin cut in. "Another solution presents itself;" he said; his voice quiet. "Your brother Benjen"
Jon S (Jon), Benjen S (Benjen), 126133, "solution presents itself;" he said; his voice quiet. "Your brother Benjen came to me about Jon"
Jon S (Jon), Benjen S (Benjen Stark), 126473, "the maester just then. His was the perfect solution. Benjen Stark was a Sworn Brother. Jon"
Benjen S (Ben), Luwin (Maester Luwin), 127401, "said to Maester Luwin. "I suppose it is for the best. I will speak to Ben"
Jon S (Jon), Benjen S (Ben), 127428, "it is for the best. I will speak to Ben."  "When shall we tell Jon"
Benjen S (Benjen), Robb S (Robb), 142926, "with his father; so Robb had been allowed to join the hunters as well. Uncle Benjen"
Jory C (Jory), Benjen S (Benjen), 142932, "his father; so Robb had been allowed to join the hunters as well. Uncle Benjen; Jory"
Theon G (Theon), Benjen S (Benjen), 142939, "father; so Robb had been allowed to join the hunters as well. Uncle Benjen; Jory; Theon"
Rodrik C (Ser Rodrik), Benjen S (Benjen), 142959, "had been allowed to join the hunters as well. Uncle Benjen; Jory; Theon Greyjoy; Ser Rodrik"
Cersei L (the queen), Benjen S (Benjen), 142979, "join the hunters as well. Uncle Benjen; Jory; Theon Greyjoy; Ser Rodrik; and even the queen"
Benjen S (Ben), Bran S (Bran), 143438, "angry at everyone these days. Bran did not know why. He was going with Uncle Ben"
Benjen S (Benjen), Tyrion L (Tyrion), 172650, "echoed. "What about you? Gods; don't tell me you are staying here?"  Tyrion shrugged. "Benjen"
Benjen S (Benjen), Bran S (Bran), 177757, "had not had time to name.  "I have to go now;" Jon said. "Uncle Benjen"
Benjen S (Benjen), Jon S (Jon), 177757, "had not had time to name.  "I have to go now;" Jon said. "Uncle Benjen"
Jon S (Jon), Benjen S (Benjen), 179774, "Grey Wind was at his side.  "Uncle Benjen is looking for you;" he told Jon"
Benjen S (Benjen), Bran S (Bran), 180751, "of Bran."  "I will." They broke apart and looked at each other awkwardly. "Uncle Benjen"
Robb S (Robb), Benjen S (Benjen), 180803, "other awkwardly. "Uncle Benjen said to send you to the stables if I saw you;" Robb"
Arya S (Arya), Benjen S (Ben), 184764, "on the Wall emptying chamber pots if I keep Uncle Ben waiting any longer."  Arya"
Benjen S (Benjen), Tyrion L (Tyrion), 224392, "knights and freeriders turned south; taking the tumult with them; while Tyrion turned north with Benjen"
Benjen S (Benjen), Tyrion L (Tyrion), 225534, "black brier that seemed older and darker than any Tyrion had ever seen. "The wolfswood;" Benjen"
Benjen S (Benjen), Tyrion L (Tyrion), 225960, "counting the wolf. Tyrion traveled with two of his own men; as befit a Lannister. Benjen"
Luwin (Maester Luwin), Benjen S (Benjen Stark), 226692, "direwolf; twenty horses; and a cage of ravens given over to Benjen Stark by Maester Luwin"
Benjen S (Benjen), Morrec (Morrec), 242040, "handed him the ladle. Tyrion tasted and handed it back. "More pepper;" he said.  Benjen"
Benjen S (Benjen), Tyrion L (Tyrion), 242040, "handed him the ladle. Tyrion tasted and handed it back. "More pepper;" he said.  Benjen"
Jon S (Jon), Benjen S (Benjen Stark), 242118, " Benjen Stark emerged from the shelter he shared with his nephew. "There you are. Jon"
Jeor M (Commander Mormont), Benjen S (First Ranger), 339880, "person. He was First Ranger; and he spent his days and nights with Lord Commander Mormont"
Aemon T (Aemon), Benjen S (First Ranger), 339898, "First Ranger; and he spent his days and nights with Lord Commander Mormont and Maester Aemon"
Benjen S (Benjen), Alliser T (Alliser Thorne), 340065, "charge of Ser Alliser Thorne.  Three days after their arrival; Jon had heard that Benjen"
Benjen S (Benjen), Jon S (Jon), 340065, "charge of Ser Alliser Thorne.  Three days after their arrival; Jon had heard that Benjen"
Alliser T (Ser Alliser), Benjen S (Benjen Stark), 340635, " Benjen Stark frowned. "A boy you are; and a boy you'll remain until Ser Alliser"
Benjen S (Ben), Tyrion L (Tyrion Lannister), 341458, "that Tyrion Lannister told him on the kingsroad; and in his mind's eye he saw Ben"
Jon S (Jon), Benjen S (Benjen Stark), 351015, " The largest structure ever built by the hands of man; Benjen Stark had told Jon"
Benjen S (Benjen), Jon S (Jon), 354139, "other side; don't you?"  "It's nothing special;" Jon said. He wanted to ride with Benjen"
Mance R (Mance), Benjen S (Benjen Stark), 354231, "Stark on his rangings; deep into the mysteries of the haunted forest; wanted to fight Mance"
Benjen S (Benjen), Jon S (Jon), 357045, "long away."  Jon remembered the wish he'd wished in his anger; the vision of Benjen"
Tyrion L (dwarf), Benjen S (Benjen Stark), 357107, "the vision of Benjen Stark dead in the snow; and he looked away quickly. The dwarf"
Benjen S (Benjen), Jon A (Lord Arryn), 357398, ""They were looking for Ser Waymar Royce; his father is bannerman to Lord Arryn. Uncle Benjen"
Benjen S (Benjen), Waymar R (Waymar Royce), 357398, ""They were looking for Ser Waymar Royce; his father is bannerman to Lord Arryn. Uncle Benjen"
Yohn R (Yohn), Benjen S (Benjen Stark), 396242, "old man warmed his hands before the fire. "I sent Benjen Stark to search after Yohn"
Benjen S (Benjen), Bran S (Bran), 478029, "laugh that Bran did not understand. But when Robb asked for news of their uncle Benjen"
Benjen S (Benjen), Robb S (Robb), 478029, "laugh that Bran did not understand. But when Robb asked for news of their uncle Benjen"
Bran S (Bran), Benjen S (Benjen), 478091, "news of their uncle Benjen; the black brothers grew ominously quiet.  "What is it?" Bran"
Yoren (Yoren), Benjen S (Benjen), 478105, "uncle Benjen; the black brothers grew ominously quiet.  "What is it?" Bran asked.  Yoren"
Yoren (Yoren), Benjen S (Benjen Stark), 479037, "the haunted forest better than Benjen Stark. He'll find his way back."  "Well;" said Yoren"
Benjen S (Benjen), Arya S (Arya), 514635, "sometimes it's Robb instead; or my little sister Arya; or my uncle." The thought of Benjen"
Benjen S (Benjen), Robb S (Robb), 514635, "sometimes it's Robb instead; or my little sister Arya; or my uncle." The thought of Benjen"
Jeor M (Old Bear), Benjen S (Benjen Stark), 514697, "uncle." The thought of Benjen Stark saddened him; his uncle was still missing. The Old Bear"
Samwell T (Sam), Benjen S (Ben Stark), 515086, "all trace of Ben Stark vanished.  "Do you ever find anyone in your dream?" Sam"
Jon S (Jon), Benjen S (Ben Stark), 515098, "Ben Stark vanished.  "Do you ever find anyone in your dream?" Sam asked.  Jon"
Eddard S (Hand), Benjen S (Benjen Stark), 524698, "Stark again; to tell him.      EDDARD   "It's the Hand"
Benjen S (Benjen), Yoren (Yoren), 682739, "a faint smile that softened his words. "I beg your forgiveness; Yoren. Did my brother Benjen"
Benjen S (Benjen), Jon S (Jon), 683957, "to the spot. "Nothing bad's happened to Jon; has it?" she asked Yoren. "Or Uncle Benjen"
Benjen S (Benjen), Yoren (Yoren), 683957, "to the spot. "Nothing bad's happened to Jon; has it?" she asked Yoren. "Or Uncle Benjen"
Jon S (Snow), Benjen S (Benjen), 684002, "she asked Yoren. "Or Uncle Benjen?"  "Well; as to Stark; I can't say. The Snow"
Benjen S (Benjen), Jeor M (Lord Commander of the Night), 781255, "Lord Commander of the Night's Watch; the bird that came back brought word that Uncle Benjen"
Benjen S (Benjen), Jon S (Jon), 786636, "the way back to Winterfell. Will we ever see Jon again?"  "We saw Uncle Benjen"
Robert B (the king), Benjen S (Benjen), 786650, "to Winterfell. Will we ever see Jon again?"  "We saw Uncle Benjen when the king"
Robb S (Robb), Benjen S (Benjen), 786671, "ever see Jon again?"  "We saw Uncle Benjen when the king came to visit;" Robb"
Jon S (Jon), Benjen S (Benjen), 786689, "again?"  "We saw Uncle Benjen when the king came to visit;" Robb pointed out. "Jon"
Benjen S (Benjen), Mance R (Mance), 791624, "nothing dead; but alive � gods be damned; think what Mance would give to have Benjen"
Mance R (Mance), Benjen S (Benjen Stark), 791663, "damned; think what Mance would give to have Benjen Stark's own blood to hostage!"  "Mance"
Jon S (Jon), Benjen S (First Ranger), 872122, "a smile. "You will be First Ranger someday; just as your uncle was."  "Is;" Jon"
Benjen S (Benjen), Jon S (Jon), 872165, "someday; just as your uncle was."  "Is;" Jon corrected. He would not accept that Benjen"
Halder (Halder), Benjen S (Benjen Stark), 872214, "corrected. He would not accept that Benjen Stark was dead. Before he could say more; Halder"
Jon S (Jon), Benjen S (First Ranger), 875206, "as he realized what he had almost said.  "Benjen Stark is still First Ranger;" Jon"
