Catelyn S Encounters:
Catelyn S (Catelyn), Eddard S (Ned), 40481, "she came. "Ned;" she called softly.  He lifted his head to look at her. "Catelyn"
Catelyn S (Catelyn), Bran S (Bran), 41763, "sake. You would have been proud of Bran."  "I am always proud of Bran;" Catelyn"
Eddard S (Ned), Catelyn S (Catelyn), 42996, "King-beyond-the-Wall for good and all."  "Beyond the Wall?" The thought made Catelyn shudder.  Ned"
Mance R (Mance), Catelyn S (Catelyn), 43030, "the Wall?" The thought made Catelyn shudder.  Ned saw the dread on her face. "Mance"
Catelyn S (Catelyn), Jon A (JonArryn), 45544, "the Vale; does he not? JonArryn named him Knight of the Gate; I'd heard."  Catelyn"
Brynden T (Brynden), Catelyn S (Catelyn), 45561, "does he not? JonArryn named him Knight of the Gate; I'd heard."  Catelyn nodded. "Brynden"
Catelyn S (Catelyn), Lysa A (Lysa), 45862, "him; and Lysa should not be alone in her grief."  "Would that I could;" Catelyn"
Catelyn S (Catelyn), Robert B (Robert), 46140, "eyes. "Robert is coming here?" When she nodded; a smile broke across his face.  Catelyn"
Catelyn S (Catelyn), Cersei L (the queen), 47195, " Ned grimaced at that. There was small love between him and the queen's family; Catelyn"
Catelyn S (Catelyn), Eddard S (Ned), 47195, " Ned grimaced at that. There was small love between him and the queen's family; Catelyn"
Robert B (Robert), Catelyn S (Catelyn), 47257, "and the queen's family; Catelyn knew. The Lannisters of Casterly Rock had come late to Robert"
Catelyn S (Catelyn), Cersei L (the queen), 73944, "castle gate. Ned knelt in the snow to kiss the queen's ring; while Robert embraced Catelyn"
Catelyn S (Catelyn), Eddard S (Ned), 73944, "castle gate. Ned knelt in the snow to kiss the queen's ring; while Robert embraced Catelyn"
Catelyn S (Catelyn), Robert B (Robert), 73944, "castle gate. Ned knelt in the snow to kiss the queen's ring; while Robert embraced Catelyn"
Catelyn S (Catelyn), Aerys T (Aerys Targaryen), 79788, "the Mad King Aerys Targaryen only a few short days before he was to wed Catelyn"
Catelyn S (Catelyn), Eddard S (Ned), 83353, "long-dead Stark. "I loved that old man."  "We both did." Ned paused a moment. "Catelyn"
Lysa A (Lysa), Catelyn S (Catelyn), 83389, " "We both did." Ned paused a moment. "Catelyn fears for her sister. How does Lysa"
Robert B (Robert), Catelyn S (Catelyn), 83414, "paused a moment. "Catelyn fears for her sister. How does Lysa bear her grief?"  Robert"
Catelyn S (Catelyn), Eddard S (Ned), 84617, "him as ward; if you wish;" Ned said. "Lysa should consent to that. She and Catelyn"
Catelyn S (Catelyn), Lysa A (Lysa), 84617, "him as ward; if you wish;" Ned said. "Lysa should consent to that. She and Catelyn"
Eddard S (Ned), Catelyn S (Catelyn), 91097, "of course; tell Catelyn; sleep on it if you must." The king reached down; clasped Ned"
Robert B (the king), Catelyn S (Lady Stark), 92591, "with the royal children; beneath the raised platform where Lord and Lady Stark hosted the king"
Catelyn S (Lady Stark), Jon S (Jon), 93786, "Jon could see through her smile.  Next had come King Robert himself; with Lady Stark"
Catelyn S (Lady Stark), Robert B (Robert), 93786, "Jon could see through her smile.  Next had come King Robert himself; with Lady Stark"
Jon S (Jon), Catelyn S (Lady Stark), 93841, "Robert himself; with Lady Stark on his arm. The king was a great disappointment to Jon"
Catelyn S (Lady Stark), Jon S (Jon), 100182, "with your brothers?"  "Most times;" Jon answered in a flat voice. "But tonight Lady Stark"
Sansa S (Sansa), Catelyn S (Catelyn), 112154, "Wall to the mountains of Dorne. What is so wrong with that?"  "Gods; Catelyn; Sansa"
Eddard S (Ned), Catelyn S (Catelyn), 112175, "of Dorne. What is so wrong with that?"  "Gods; Catelyn; Sansa is only eleven;" Ned"
Joffrey B (Joffrey), Catelyn S (Catelyn), 112194, "is so wrong with that?"  "Gods; Catelyn; Sansa is only eleven;" Ned said. "And Joffrey"
Brandon S (Brandon), Catelyn S (Catelyn), 112659, "never asked for this cup to pass to me."  "Perhaps not;" Catelyn said; "but Brandon"
Eddard S (Eddard), Catelyn S (Catelyn), 112947, "or perhaps the sentries on the wall.  Catelyn softened then; to see his pain. Eddard"
Brandon S (Brandon), Catelyn S (Catelyn), 112980, "wall.  Catelyn softened then; to see his pain. Eddard Stark had married her in Brandon"
Catelyn S (Catelyn), Eddard S (Ned), 113570, "Send him in."  Ned crossed to the wardrobe and slipped on a heavy robe. Catelyn"
Luwin (Maester Luwin), Catelyn S (Catelyn), 114249, "the children. With all he kept hidden in his sleeves; Catelyn was surprised that Maester Luwin"
Catelyn S (Catelyn), Eddard S (Ned), 114997, "are without equal."  Ned frowned. He had little patience for this sort of thing; Catelyn"
Catelyn S (Catelyn), Eddard S (Ned), 116196, "began to retreat.  "Stay;" Ned commanded him. His voice was grave. He looked at Catelyn"
Catelyn S (Catelyn), Lysa A (Lysa), 116461, "forgotten. In the blue wax was the moon-and-falcon seal of House Arryn. "It's from Lysa." Catelyn"
Catelyn S (Catelyn), Eddard S (Ned), 116634, "message; Ned. I can feel it."  Ned frowned; his face darkening. "Open it."  Catelyn"
Luwin (Maester Luwin), Catelyn S (Catelyn), 116937, "it?"  "Yes;" Catelyn admitted.  "Then tell us."  "Perhaps I should withdraw;" Maester Luwin"
Catelyn S (Catelyn), Luwin (Maester Luwin), 116958, "admitted.  "Then tell us."  "Perhaps I should withdraw;" Maester Luwin said.  "No;" Catelyn"
Catelyn S (Catelyn), Eddard S (Ned), 117248, "eyes. Even Ned looked shocked. "What are you doing?" he asked.  "Lighting a fire;" Catelyn"
Catelyn S (Catelyn), Eddard S (Ned), 117424, "cold hearth.  "Maester Luwin�" Ned began.  "Maester Luwin has delivered all my children;" Catelyn"
Catelyn S (Catelyn), Luwin (Maester Luwin), 117424, "cold hearth.  "Maester Luwin�" Ned began.  "Maester Luwin has delivered all my children;" Catelyn"
Lysa A (Lysa), Catelyn S (Catelyn), 118192, "sick with grief. She cannot know what she is saying."  "She knows;" Catelyn said. "Lysa"
Robert B (Robert), Catelyn S (Catelyn), 118475, "suspicion." Catelyn looked to her husband. "Now we truly have no choice. You must be Robert"
Catelyn S (Catelyn), Eddard S (Ned), 119032, "and her son; if the worst be true."  Ned glanced helplessly around the bedchamber. Catelyn"
Catelyn S (Catelyn), Lysa A (Lady Arryn), 119032, "and her son; if the worst be true."  Ned glanced helplessly around the bedchamber. Catelyn"
Catelyn S (Catelyn), Eddard S (Ned), 119869, "king."  "Yes;" Ned said dully. He seated himself in a chair by the hearth. "Catelyn"
Catelyn S (Catelyn), Luwin (Maester Luwin), 120729, "needs to know. Winter is coming."  Maester Luwin nodded gravely. Then silence fell; until Catelyn"
Catelyn S (Catelyn), Robb S (Robb), 121047, "and Robb. The others I would take with me."  "I could not bear it;" Catelyn"
Sansa S (Sansa), Catelyn S (Catelyn), 121093, "me."  "I could not bear it;" Catelyn said; trembling.  "You must;" he said. "Sansa"
Joffrey B (Joffrey), Catelyn S (Catelyn), 121110, "could not bear it;" Catelyn said; trembling.  "You must;" he said. "Sansa must wed Joffrey"
Catelyn S (Catelyn), Sansa S (Sansa), 121345, "will be of an age to marry too."  Sansa would shine in the south; Catelyn"
Arya S (Arya), Catelyn S (Catelyn), 121393, "Sansa would shine in the south; Catelyn thought to herself; and the gods knew that Arya"
Catelyn S (Catelyn), Robert B (Robert), 121999, "Robert became mine. Our House will be the safer for it."  He was right; Catelyn"
Catelyn S (Catelyn), Jon S (Jon Snow), 122516, "is hard; I know."  "What of Jon Snow; my lord?" Maester Luwin asked.  Catelyn"
Catelyn S (Catelyn), Luwin (Maester Luwin), 122516, "is hard; I know."  "What of Jon Snow; my lord?" Maester Luwin asked.  Catelyn"
Eddard S (Ned), Catelyn S (Catelyn), 122555, "Snow; my lord?" Maester Luwin asked.  Catelyn tensed at the mention of the name. Ned"
Catelyn S (Catelyn), Eddard S (Ned), 122632, "name. Ned felt the anger in her; and pulled away.  Many men fathered bastards. Catelyn"
Jon S (Jon), Catelyn S (Catelyn), 123417, "north to see. When the wars were over at last; and Catelyn rode to Winterfell; Jon"
Catelyn S (Catelyn), Eddard S (Ned), 124706, "again.  Whoever Jon's mother had been; Ned must have loved her fiercely; for nothing Catelyn"
Catelyn S (Catelyn), Jon S (Jon), 124706, "again.  Whoever Jon's mother had been; Ned must have loved her fiercely; for nothing Catelyn"
Catelyn S (Catelyn), Eddard S (Ned), 125249, "and Robb are close;" Ned said. "I had hoped �"  "He cannot stay here;" Catelyn"
Catelyn S (Catelyn), Robb S (Robb), 125249, "and Robb are close;" Ned said. "I had hoped �"  "He cannot stay here;" Catelyn"
Catelyn S (Catelyn), Eddard S (Ned), 126262, "take the black."  Ned looked shocked. "He asked to join the Night's Watch?"  Catelyn"
Eddard S (Ned), Catelyn S (Catelyn), 126284, "Ned looked shocked. "He asked to join the Night's Watch?"  Catelyn said nothing. Let Ned"
Luwin (Maester Luwin), Catelyn S (Catelyn), 126690, "father no sons who might someday contest with Catelyn's own grandchildren for Winterfell.  Maester Luwin"
Catelyn S (Catelyn), Septa M (Septa Mordane), 128038, "Septa Mordane told their lady mother once. "She has such fine; delicate hands." When Lady Catelyn"
Arya S (Arya), Catelyn S (Catelyn), 128059, "lady mother once. "She has such fine; delicate hands." When Lady Catelyn had asked about Arya"
Septa M (septa), Catelyn S (Catelyn), 128070, "once. "She has such fine; delicate hands." When Lady Catelyn had asked about Arya; the septa"
Catelyn S (Lady Stark), Tyrion L (Tyrion), 167089, "tell your mother;" Tyrion told him. "But first you get yourself to Lord and Lady Stark"
Jon S (Jon), Catelyn S (Catelyn Tully Stark), 176628, "Stark. "He's my brother;" he said.  "Shall I call the guards?"  "Call them;" Jon"
Catelyn S (Lady Stark), Robb S (Robb), 177550, "for you to wake up. Me and Robb and the girls; everyone �"  Lady Stark"
Jon S (Jon), Catelyn S (Lady Stark), 177594, "the girls; everyone �"  Lady Stark was watching. She had not raised a cry. Jon"
Jon S (Jon), Catelyn S (Lady Stark), 178147, "lips.  "I wanted him to stay here with me;" Lady Stark said softly.  Jon"
Catelyn S (Catelyn), Robert B (Robert), 209708, "Robert; for the love you say you bear me. I dishonored myself and I dishonored Catelyn"
Catelyn S (Catelyn), Eddard S (Ned), 223490, "Ned could say or do would change that. He belonged in Winterfell. He belonged with Catelyn"
Bran S (Bran), Catelyn S (Catelyn), 223518, "change that. He belonged in Winterfell. He belonged with Catelyn in her grief; and with Bran"
Robb S (Robb), Catelyn S (Lady Stark), 237358, "Lady Stark treats you as if you were one of her own. And your brother Robb"
Bran S (Bran), Catelyn S (Catelyn), 243268, ""You'll want to know how much this royal visit cost us."  Catelyn looked at Bran"
Catelyn S (Catelyn), Eddard S (Eddard), 243918, "not let go. "Poole went south to establish Lord Eddard's household at King's Landing."  Catelyn"
Bran S (Bran), Catelyn S (Catelyn), 243963, "establish Lord Eddard's household at King's Landing."  Catelyn nodded absently. "Oh; yes. I remember." Bran"
Catelyn S (Catelyn), Robb S (Robb), 244915, "head. "Yes; my lady; but the appointments�"  "I'll make the appointments;" Robb said.  Catelyn"
Catelyn S (Catelyn), Luwin (Maester Luwin), 245169, "was so tired; and her head hurt all the time.  Maester Luwin looked from Catelyn"
Robb S (Robb), Catelyn S (Catelyn), 245814, "wearing a sword; she saw. "Mother; what are you doing?"  Catelyn had always thought Robb"
Bran S (Bran), Catelyn S (Catelyn), 245841, ""Mother; what are you doing?"  Catelyn had always thought Robb looked like her; like Bran"
Rickon S (Rickon), Catelyn S (Catelyn), 245852, "are you doing?"  Catelyn had always thought Robb looked like her; like Bran and Rickon"
Sansa S (Sansa), Catelyn S (Catelyn), 245862, "doing?"  Catelyn had always thought Robb looked like her; like Bran and Rickon and Sansa"
Bran S (Bran), Catelyn S (Catelyn), 247779, "Outside the tower; a wolf began to howl. Catelyn trembled; just for a second.  "Bran"
Robb S (Robb), Catelyn S (Catelyn), 247788, "the tower; a wolf began to howl. Catelyn trembled; just for a second.  "Bran's." Robb"
