Conn Encounters:
Tyrion L (Tyrion), Conn (Conn), 902020, "closer.  Other voices called other names; Conn and Torrek and Jaggot and more that Tyrion"
Conn (Conn), Tyrion L (Tyrion), 902594, "Tyrion told them. "This hauberk I wear is large for me; but it should fit Conn"
Shagga (Shagga), Conn (Conn), 902647, "for me; but it should fit Conn nicely; and the battle-axe I carry would suit Shagga"
Conn (Conn), Shagga (Shagga), 903217, "replied.  The huge one; Shagga; laughed first and loudest. The others seemed less amused. "Conn"
Tyrion L (halfman), Conn (Conn), 903295, "seemed less amused. "Conn; take their horses;" Gunthor commanded. "Kill the other and seize the halfman"
Conn (Conn), Shagga (Shagga), 1193816, "become such friends. But as you will. You shall ride with me; and Shagga and Conn"
Timett (Timett), Conn (Conn), 1193875, "me; and Shagga and Conn for the Stone Crows; Ulf for the Moon Brothers; and Timett"
Conn (Conn), Kevan L (Kevan), 1208146, "what right do you savages intrude on our councils?" demanded Ser Kevan.  "Savages; lowlander?" Conn"
Conn (Conn), Tyrion L (Tyrion), 1208899, "among them."  "May they take fifty more." Tyrion waddled away from her. "This is Conn"
Shagga (Shagga), Conn (Conn), 1208921, "they take fifty more." Tyrion waddled away from her. "This is Conn son of Coratt. Shagga"
Shagga (Shagga), Conn (Conn), 1212094, "the Stone Crows have been there first;" Conn declared hotly. "We ride as well."  "Shagga"
Shagga (Shagga), Conn (Conn), 1328647, "cock; which was fortunate; but even so Ulf is demanding blood money; which Conn and Shagga"
Tyrion L (Tyrion), Conn (Conn), 1331085, "their small corner of the night. Conn son of Coratt waved a tankard of ale. "Tyrion"
Conn (Conn), Shagga (Shagga), 1360353, "his Moon Brothers sprawled around him. Shagga was slumped beneath a tree; riddled with arrows; Conn"
Tyrion L (Tyrion), Conn (Conn), 1360379, "him. Shagga was slumped beneath a tree; riddled with arrows; Conn's head in his lap. Tyrion"
Conn (Conn), Shagga (Shagga), 1360486, "both dead; but as he dismounted; Shagga opened his eyes and said; "They have killed Conn"
