Eddard S Encounters:
Theon G (Theon), Eddard S (Eddard Stark), 23373, "his head down onto the hard black wood. Lord Eddard Stark dismounted and his ward Theon"
Catelyn S (Catelyn), Eddard S (Ned), 40481, "she came. "Ned;" she called softly.  He lifted his head to look at her. "Catelyn"
Eddard S (Ned), Rickon S (Rickon), 40920, "Sansa is charmed and gracious; but Rickon is not quite sure."  "Is he afraid?" Ned"
Eddard S (Ned), Sansa S (Sansa), 40920, "Sansa is charmed and gracious; but Rickon is not quite sure."  "Is he afraid?" Ned"
Eddard S (Ned), Catelyn S (Catelyn), 42996, "King-beyond-the-Wall for good and all."  "Beyond the Wall?" The thought made Catelyn shudder.  Ned"
Mance R (Mance), Eddard S (Ned), 43030, "the Wall?" The thought made Catelyn shudder.  Ned saw the dread on her face. "Mance"
Jon A (Lord Arryn), Eddard S (Ned), 44195, "it would. In his youth; Ned had fostered at the Eyrie; and the childless Lord Arryn"
Eddard S (Ned), Luwin (Maester Luwin), 46611, "will want to be here. I shall tell Maester Luwin to send his swiftest bird." Ned"
Cersei L (the queen), Eddard S (Ned), 47177, "told him.  Ned grimaced at that. There was small love between him and the queen"
Catelyn S (Catelyn), Eddard S (Ned), 47195, " Ned grimaced at that. There was small love between him and the queen's family; Catelyn"
Eddard S (Ned), Bran S (Bran), 47758, "now?"  "Prince Tommen is seven;" she told him. "The same age as Bran. Please; Ned"
Eddard S (Ned), Tommen (Tommen), 47758, "now?"  "Prince Tommen is seven;" she told him. "The same age as Bran. Please; Ned"
Robert B (Robert), Eddard S (Ned), 47952, " Ned squeezed her hand. "There must be a feast; of course; with singers; and Robert"
Jaime L (Jaime), Eddard S (Ned), 71528, "the crowned stag of Baratheon.  Ned knew many of the riders. There came Ser Jaime"
Robert B (the king), Eddard S (Ned), 72830, "perfume; and he had a girth to match his height. Ned had last seen the king"
Balon G (Balon Greyjoy), Eddard S (Ned), 72869, "to match his height. Ned had last seen the king nine years before during Balon Greyjoy"
Eddard S (Ned), Robert B (Robert), 73133, "by side in Greyjoy's fallen stronghold; where Robert had accepted the rebel lord's surrender and Ned"
Theon G (Theon), Eddard S (Ned), 73157, "stronghold; where Robert had accepted the rebel lord's surrender and Ned had taken his son Theon"
Robert B (the king), Eddard S (Ned), 73187, "rebel lord's surrender and Ned had taken his son Theon as hostage and ward; the king"
Eddard S (Ned), Robert B (Robert), 73424, "could hide his stomach or the dark circles under his eyes.  Yet Robert was Ned"
Cersei L (the queen), Eddard S (Ned), 73906, "wide to pass through the castle gate. Ned knelt in the snow to kiss the queen"
Robert B (Robert), Eddard S (Ned), 73927, "through the castle gate. Ned knelt in the snow to kiss the queen's ring; while Robert"
Catelyn S (Catelyn), Eddard S (Ned), 73944, "castle gate. Ned knelt in the snow to kiss the queen's ring; while Robert embraced Catelyn"
Eddard S (Eddard), Robert B (the king), 74188, "completed than the king had said to his host; "Take me down to your crypt; Eddard"
Eddard S (Ned), Robert B (Robert), 75480, "in the north."  Robert snorted. "More likely they were hiding under the snow. xSnow; Ned"
Robert B (Robert), Eddard S (Ned), 75892, "admitted. "But the Starks will endure. We always have."  "You need to come south;" Robert"
Robert B (the king), Eddard S (Ned), 77240, "Ned could not help but notice that those pleasures were taking a toll on the king"
Robert B (Robert), Eddard S (Ned), 79288, "children. Ned did not like to think on that. "Here;" he told his king.  Robert"
Eddard S (Ned), Rickard K (Lord Rickard), 79395, "and bowed his head.  There were three tombs; side by side. Lord Rickard Stark; Ned"
Eddard S (Ned), Rickard S (Rickard Stark), 79395, "and bowed his head.  There were three tombs; side by side. Lord Rickard Stark; Ned"
Eddard S (Ned), Lyanna (Lyanna), 79975, "eldest; born to rule.  Lyanna had only been sixteen; a child-woman of surpassing loveliness. Ned"
Robert B (Robert), Eddard S (Ned), 80016, "been sixteen; a child-woman of surpassing loveliness. Ned had loved her with all his heart. Robert"
Robert B (the king), Eddard S (Ned), 80659, "to wash her clean."  "I was with her when she died;" Ned reminded the king"
Brandon S (Brandon), Eddard S (Ned), 80709, "when she died;" Ned reminded the king. "She wanted to come home; to rest beside Brandon"
Eddard S (Ned), Howland R (Howland Reed), 81334, "body; silent with grief. The little crannogman; Howland Reed; had taken her hand from his. Ned"
Lyanna (Lyanna), Eddard S (Ned), 81410, "Ned could recall none of it. "I bring her flowers when I can;" he said. "Lyanna"
Eddard S (Ned), Rhaegar T (Rhaegar), 81611, "flesh. "I vowed to kill Rhaegar for what he did to her."  "You did;" Ned"
Robert B (Robert), Eddard S (Ned), 81646, "for what he did to her."  "You did;" Ned reminded him.  "Only once;" Robert"
Eddard S (Ned), Robert B (Robert), 82194, "crushing blow from Robert's hammer stove in the dragon and the chest beneath it. When Ned"
Rhaegar T (Rhaegar), Eddard S (Ned), 82233, "the dragon and the chest beneath it. When Ned had finally come on the scene; Rhaegar"
Eddard S (Ned), Robert B (Robert), 82491, "admitted. "A thousand deaths will still be less than he deserves."  There was nothing Ned"
Robert B (the king), Eddard S (Ned), 82887, "to each other than that."  "I had not forgotten;" Ned replied quietly. When the king"
Jon A (JonArryn), Eddard S (Ned), 82936, "forgotten;" Ned replied quietly. When the king did not answer; he said; "Tell me about JonArryn"
Catelyn S (Catelyn), Eddard S (Ned), 83353, "long-dead Stark. "I loved that old man."  "We both did." Ned paused a moment. "Catelyn"
Lysa A (Lysa), Eddard S (Ned), 83389, " "We both did." Ned paused a moment. "Catelyn fears for her sister. How does Lysa"
