Galbart G Encounters:
Galbart G (Galbart), Helman T (Helman Tallhart), 387810, "turned back to his wife. "Once you are home; send word to Helman Tallhart and Galbart"
Robett G (Robett), Galbart G (Galbart), 1176509, "are fair as ever; a welcome sight in troubled times." The Glovers followed; Galbart and Robett"
Greatjon U (Greatjon), Galbart G (Galbart), 1176523, "as ever; a welcome sight in troubled times." The Glovers followed; Galbart and Robett; and Greatjon"
Theon G (Theon), Galbart G (Galbart), 1176562, "The Glovers followed; Galbart and Robett; and Greatjon Umber; and the rest; one by one. Theon"
Galbart G (Galbart), Rickard K (Rickard Karstark), 1179633, ""Pray; who were those men I saw here a moment ago? Roose Bolton; Rickard Karstark; Galbart"
Galbart G (Galbart), Roose B (Roose Bolton), 1179633, ""Pray; who were those men I saw here a moment ago? Roose Bolton; Rickard Karstark; Galbart"
Robett G (Robett), Galbart G (Galbart), 1179644, "were those men I saw here a moment ago? Roose Bolton; Rickard Karstark; Galbart and Robett"
Greatjon U (Greatjon), Galbart G (Galbart), 1179665, "I saw here a moment ago? Roose Bolton; Rickard Karstark; Galbart and Robett Glover; the Greatjon"
Helman T (Helman), Galbart G (Galbart), 1179673, "saw here a moment ago? Roose Bolton; Rickard Karstark; Galbart and Robett Glover; the Greatjon; Helman"
Tywin L (Tywin), Galbart G (Galbart Glover), 1186324, "the crannogmen will bleed them every step of the way; but Galbart Glover says Lord Tywin"
Roose B (Roose), Galbart G (Galbart Glover), 1186357, "of the way; but Galbart Glover says Lord Tywin is too smart for that; and Roose"
Robb S (Robb), Galbart G (Galbart Glover), 1261641, "down each other.  "You must not do this; my lord;" Galbart Glover pleaded with Robb"
Walder F (Walder), Galbart G (Galbart Glover), 1261655, "other.  "You must not do this; my lord;" Galbart Glover pleaded with Robb. "Lord Walder"
Roose B (Roose), Galbart G (Galbart Glover), 1261685, "my lord;" Galbart Glover pleaded with Robb. "Lord Walder is not to be trusted."  Roose"
Galbart G (Galbart), Jaime L (Kingslayer), 1368442, "undoing. Two or three thousand horse."  "The Kingslayer has us three to one;" said Galbart"
Brynden T (Brynden), Galbart G (Galbart Glover), 1368478, " "The Kingslayer has us three to one;" said Galbart Glover.  "True enough;" Ser Brynden"
Jaime L (Jaime), Galbart G (Galbart Glover), 1368518, "said Galbart Glover.  "True enough;" Ser Brynden said; "yet there is one thing Ser Jaime"
Robb S (Robb), Galbart G (Galbart Glover), 1368539, ""True enough;" Ser Brynden said; "yet there is one thing Ser Jaime lacks."  "Yes?" Robb"
Galbart G (Galbart), Eddard S (Ned), 1378735, "look that Ned often got. "He � he killed them �"  "Lord Karstark's sons;" Galbart"
Galbart G (Galbart), Rickard K (Lord Karstark), 1378735, "look that Ned often got. "He � he killed them �"  "Lord Karstark's sons;" Galbart"
Robb S (Robb), Galbart G (Galbart Glover), 1378780, "killed them �"  "Lord Karstark's sons;" Galbart Glover explained.  "Both of them;" said Robb"
Torrhen K (Torrhen), Galbart G (Galbart Glover), 1378790, "them �"  "Lord Karstark's sons;" Galbart Glover explained.  "Both of them;" said Robb. "Torrhen"
Eddard S (Eddard), Galbart G (Galbart Glover), 1378801, " "Lord Karstark's sons;" Galbart Glover explained.  "Both of them;" said Robb. "Torrhen and Eddard"
Daryn H (Daryn), Galbart G (Galbart Glover), 1378812, "Karstark's sons;" Galbart Glover explained.  "Both of them;" said Robb. "Torrhen and Eddard. And Daryn"
Galbart G (Galbart), Greatjon U (Greatjon Umber), 1556855, "hands clasped around the hilt. Around him others knelt: Greatjon Umber; Rickard Karstark; Maege Mormont; Galbart"
Galbart G (Galbart), Maege M (Maege Mormont), 1556855, "hands clasped around the hilt. Around him others knelt: Greatjon Umber; Rickard Karstark; Maege Mormont; Galbart"
Galbart G (Galbart), Rickard K (Rickard Karstark), 1556855, "hands clasped around the hilt. Around him others knelt: Greatjon Umber; Rickard Karstark; Maege Mormont; Galbart"
Tytos B (Tytos Blackwood), Galbart G (Galbart Glover), 1556894, "him others knelt: Greatjon Umber; Rickard Karstark; Maege Mormont; Galbart Glover; and more. Even Tytos Blackwood"
Galbart G (Galbart), Stannis B (Lord Stannis), 1559230, "thought; surely it would be Lord Stannis �"  "So did we all; my lady;" Galbart"
Galbart G (Galbart), Greatjon U (Greatjon), 1560221, "tables. They were fewer. The Greatjon sat at Robb's left hand; and then Theon Greyjoy; Galbart"
Galbart G (Galbart), Robb S (Robb), 1560221, "tables. They were fewer. The Greatjon sat at Robb's left hand; and then Theon Greyjoy; Galbart"
Galbart G (Galbart), Theon G (Theon Greyjoy), 1560221, "tables. They were fewer. The Greatjon sat at Robb's left hand; and then Theon Greyjoy; Galbart"
Maege M (Lady Mormont), Galbart G (Galbart Glover), 1560245, "The Greatjon sat at Robb's left hand; and then Theon Greyjoy; Galbart Glover and Lady Mormont"
Catelyn S (Catelyn), Galbart G (Galbart Glover), 1560274, "hand; and then Theon Greyjoy; Galbart Glover and Lady Mormont were to the right of Catelyn"
Rickard K (Lord Rickard), Galbart G (Galbart Glover), 1560288, "then Theon Greyjoy; Galbart Glover and Lady Mormont were to the right of Catelyn. Lord Rickard"
Galbart G (Galbart), Joffrey B (Joffrey), 1562144, "he knew how to listen.  "You cannot mean to hold to Joffrey; my lord;" Galbart"
Robb S (Robb), Galbart G (Galbart Glover), 1562217, "lord;" Galbart Glover said. "He put your father to death."  "That makes him evil;" Robb"
