Hodor Encounters:
Hodor (Hodor), Nan (Old Nan), 145975, "who would be left behind; Old Nan and Gage the cook; Mikken in his smithy; Hodor"
Hodor (Hodor), Bran S (Bran), 146427, "sudden Bran just wanted to sit down and cry. He turned and ran off before Hodor"
Nan (Old Nan), Hodor (Hodor), 458714, "her own blood was Hodor; the simpleminded giant who worked in the stables; but Old Nan"
Hodor (Hodor), Luwin (Maester Luwin), 464989, "leapt up into his mouth in sudden fear; but it was only Maester Luwin; with Hodor"
Luwin (Maester Luwin), Hodor (Hodor), 465121, ""Hodor!" the stableboy announced; as was his custom; smiling hugely at them all.  Maester Luwin"
Hodor (Hodor), Jon S (Jon), 465603, "the Night's Watch; with word from your brother Jon. Robb is meeting with them now. Hodor"
Hodor (Hodor), Robb S (Robb), 465603, "the Night's Watch; with word from your brother Jon. Robb is meeting with them now. Hodor"
Bran S (Bran), Hodor (Hodor), 465623, "word from your brother Jon. Robb is meeting with them now. Hodor; will you help Bran"
Hodor (Hodor), Bran S (Bran), 465650, "is meeting with them now. Hodor; will you help Bran down to the hall?"  "Hodor"
Bran S (Bran), Hodor (Hodor), 465994, "did not seem likely; even if Hodor lived to be a thousand.  Hodor lifted Bran"
Theon G (Theon), Hodor (Hodor), 466229, "His arms were thick with muscle and matted with brown hair. "Hodor;" he said again. Theon"
Hodor (Hodor), Theon G (Theon Greyjoy), 466267, "and matted with brown hair. "Hodor;" he said again. Theon Greyjoy had once commented that Hodor"
Hodor (Hodor), Bran S (Bran), 466413, "Old Nan had cackled like a hen when Bran told her that; and confessed that Hodor"
Hodor (Hodor), Nan (Old Nan), 466413, "Old Nan had cackled like a hen when Bran told her that; and confessed that Hodor"
Walder F (Walder), Hodor (Hodor), 466436, "like a hen when Bran told her that; and confessed that Hodor's real name was Walder"
Hodor (Hodor), Walder F (Walder), 466462, "told her that; and confessed that Hodor's real name was Walder. No one knew where "Hodor"
Hodor (Hodor), Nan (Old Nan), 466658, " They left Old Nan in the tower room with her needles and her memories. Hodor"
Bran S (Bran), Hodor (Hodor), 466695, "the tower room with her needles and her memories. Hodor hummed tunelessly as he carried Bran"
Hodor (Hodor), Bran S (Bran), 467240, "of the Night's Watch. Bran could sense the anger in the hall the moment that Hodor"
Hodor (Hodor), Bran S (Bran), 468025, "brother has all your father's graces; it would seem."  "Jon;" Bran gasped out from Hodor"
Hodor (Hodor), Jon S (Jon), 468025, "brother has all your father's graces; it would seem."  "Jon;" Bran gasped out from Hodor"
Tyrion L (dwarf), Hodor (Hodor), 468044, "father's graces; it would seem."  "Jon;" Bran gasped out from Hodor's arms.  The dwarf"
Hodor (Hodor), Robb S (Robb), 468235, "hard to kill."  "You Lannisters had best remember that;" Robb said; lowering his sword. "Hodor"
Bran S (Bran), Hodor (Hodor), 468326, "bring my brother here."  "Hodor;" Hodor said; and he trotted forward smiling and set Bran"
Bran S (Bran), Hodor (Hodor), 474758, "him all the same.  Summer followed them up the tower steps as Hodor carried Bran"
Nan (Old Nan), Hodor (Hodor), 474783, "followed them up the tower steps as Hodor carried Bran back to his bed. Old Nan"
Hodor (Hodor), Bran S (Bran), 474814, "as Hodor carried Bran back to his bed. Old Nan was asleep in her chair. Hodor"
Hodor (Hodor), Nan (Old Nan), 474814, "as Hodor carried Bran back to his bed. Old Nan was asleep in her chair. Hodor"
Bran S (Bran), Hodor (Hodor), 474911, "chair. Hodor said "Hodor;" gathered up his great-grandmother; and carried her off; snoring softly; while Bran"
Bran S (Bran), Hodor (Hodor), 476843, "fear; but then the shadow said "Hodor;" and lit the candle by the bedside; and Bran"
Hodor (Hodor), Bran S (Bran), 476870, "said "Hodor;" and lit the candle by the bedside; and Bran sighed with relief.  Hodor"
Hodor (Hodor), Sandor C (Hound), 607685, "men; as was the Hound; and back at Winterfell there was a simpleminded stableboy named Hodor"
Gregor C (Mountain), Hodor (Hodor), 607747, "a simpleminded stableboy named Hodor who dwarfed them all; but the knight they called the Mountain"
Hodor (Hodor), Gregor C (Mountain), 607788, "them all; but the knight they called the Mountain That Rides would have towered over Hodor"
Hodor (Hodor), Bran S (Bran), 776163, "Up to now; Bran had only ridden her around the yard. At first Joseth or Hodor"
Bran S (Bran), Hodor (Hodor), 776190, "only ridden her around the yard. At first Joseth or Hodor would lead her; while Bran"
Hodor (Hodor), Bran S (Bran), 939771, "an adventure; and then we'll be with Bran and Robb again; and Old Nan and Hodor"
Hodor (Hodor), Nan (Old Nan), 939771, "an adventure; and then we'll be with Bran and Robb again; and Old Nan and Hodor"
Hodor (Hodor), Robb S (Robb), 939771, "an adventure; and then we'll be with Bran and Robb again; and Old Nan and Hodor"
