Illyrio M Encounters:
Viserys T (Viserys), Illyrio M (Magister Illyrio), 48555, "pulled her hand away. "Is it really mine?"  "A gift from the Magister Illyrio;" Viserys"
Daenerys T (Dany), Illyrio M (Illyrio), 48799, "all sorts. Illyrio has promised. Tonight you must look like a princess."  A princess; Dany"
Viserys T (Viserys), Illyrio M (Illyrio), 49212, "without their price; here in the free city of Pentos.  "Illyrio is no fool;" Viserys"
Illyrio M (Magister Illyrio), Daenerys T (Dany), 49426, "not forget my friends when I come into my throne."  Dany said nothing. Magister Illyrio"
Illyrio M (Illyrio), Viserys T (Viserys), 50021, "Viserys called it "waking the dragon."  Her brother hung the gown beside the door. "Illyrio"
Illyrio M (Illyrio), Daenerys T (Dany), 56278, "came a soft knock on her door. "Come;" Dany said; turning away from the window. Illyrio"
Illyrio M (Illyrio), Daenerys T (Dany), 59117, "when they were done. Dany glanced at her image in the silvered looking glass that Illyrio"
Drogo (Khal Drogo), Illyrio M (Illyrio), 60566, "of the sword that Illyrio had lent him; and said; "Are you sure that Khal Drogo"
Illyrio M (Illyrio), Drogo (Khal Drogo), 61112, "have queer tastes. Boys; horses; sheep �"  "Best not suggest this to Khal Drogo;" Illyrio"
Illyrio M (Illyrio), Daenerys T (Dany), 61732, "It was warm and close inside behind the curtains. Dany could smell the stench of Illyrio"
Robert B (Usurper), Illyrio M (Illyrio), 63007, "she mistrusted everything about Illyrio. Her brother was nodding eagerly; however. "I shall kill the Usurper"
Illyrio M (Magister Illyrio), Jaime L (Kingslayer), 63206, "Kingslayer; for what he did to my father."  "That would be most fitting;" Magister Illyrio"
Daenerys T (Dany), Illyrio M (Magister Illyrio), 63217, "what he did to my father."  "That would be most fitting;" Magister Illyrio said. Dany"
Illyrio M (Magister Illyrio), Viserys T (Viserys), 64600, "felt. "Insolent xeunuch;" Viserys muttered as the palanquin lurched up toward the manse.  Magister Illyrio"
Illyrio M (Illyrio), Robert B (Usurper), 64874, "would pay well for your head."  "Oh; yes;" Viserys said darkly. "He has tried; Illyrio"
Illyrio M (Illyrio), Viserys T (Viserys), 64874, "would pay well for your head."  "Oh; yes;" Viserys said darkly. "He has tried; Illyrio"
Illyrio M (Illyrio), Daenerys T (Princess of Dragonstone), 65913, "and Protector of the Realm. His sister; Daenerys Stormborn; Princess of Dragonstone. His honorable host; Illyrio"
