Jaime L Encounters:
Jaime L (Kingslayer), Rhaegar T (Rhaegar), 63126, "who had never killed anyone; "as he killed my brother Rhaegar. And Lannister too; the Kingslayer"
Illyrio M (Magister Illyrio), Jaime L (Kingslayer), 63206, "Kingslayer; for what he did to my father."  "That would be most fitting;" Magister Illyrio"
Jaime L (Jaime), Eddard S (Ned), 71528, "the crowned stag of Baratheon.  Ned knew many of the riders. There came Ser Jaime"
Sandor C (Sandor), Jaime L (Jaime Lannister), 71591, "riders. There came Ser Jaime Lannister with hair as bright as beaten gold; and there Sandor"
Jaime L (Jaime), Robert B (Robert), 74587, "had said no more than that; Robert had looked at her; and her twin brother Jaime"
Jaime L (Jaime), Tyrion L (Imp), 95516, "Casterly Rock. The Lion and the Imp; there was no mistaking which was which. Ser Jaime"
Cersei L (Cersei), Jaime L (Jaime Lannister), 95551, "Imp; there was no mistaking which was which. Ser Jaime Lannister was twin to Queen Cersei"
Jon S (Jon), Jaime L (Kingslayer), 95893, "him the Lion of Lannister to his face and whispered "Kingslayer" behind his back.  Jon"
Jaime L (Jaime), Cersei L (Cersei), 96212, "brood and by far the ugliest. All that the gods had given to Cersei and Jaime"
Tyrion L (Tyrion), Jaime L (Jaime), 96236, "the ugliest. All that the gods had given to Cersei and Jaime; they had denied Tyrion"
Jaime L (Jaime), Meryn T (Meryn), 145066, "face; and Ser Meryn had droopy eyes and a beard the color of rust. Ser Jaime"
Cersei L (Cersei), Jaime L (Jaime), 168528, "laid out in the morning room of the Guest House. Jaime sat at table with Cersei"
Robert B (Robert), Jaime L (Jaime), 168589, "sat at table with Cersei and the children; talking in low; hushed voices.  "Is Robert"
Jaime L (Jaime), Robert B (Robert), 168930, "has taken their sorrow deeply to heart."  "He has a large heart; our Robert;" Jaime"
Tyrion L (Tyrion), Jaime L (Jaime), 169010, "Robert;" Jaime said with a lazy smile. There was very little that Jaime took seriously. Tyrion"
Tyrion L (Tyrion), Jaime L (Jaime), 169204, "Jaime had ever shown him the smallest measure of affection or respect; and for that Tyrion"
Jaime L (Jaime), Tommen (Tommen), 170229, "die;" Tommen said timorously. He was a sweet boy. Not like his brother; but then Jaime"
Tyrion L (Tyrion), Jaime L (Jaime), 170240, "said timorously. He was a sweet boy. Not like his brother; but then Jaime and Tyrion"
Eddard S (Eddard), Jaime L (Jaime), 170304, "then Jaime and Tyrion were somewhat less than peas in a pod themselves.  "Lord Eddard"
Jaime L (Jaime), Brandon S (Brandon), 170348, "peas in a pod themselves.  "Lord Eddard had a brother named Brandon as well;" Jaime"
Jaime L (Jaime), Eddard S (Eddard), 170348, "peas in a pod themselves.  "Lord Eddard had a brother named Brandon as well;" Jaime"
Jaime L (Jaime), Tyrion L (Tyrion), 170894, "nervously; but it was not the children Tyrion was watching. The glance that passed between Jaime"
Cersei L (Cersei), Jaime L (Jaime), 170905, "it was not the children Tyrion was watching. The glance that passed between Jaime and Cersei"
Tyrion L (Tyrion), Jaime L (Jaime), 171189, "were the maester's words?" Jaime asked.  The bacon crunched when he bit into it. Tyrion"
Jaime L (Jaime), Eddard S (Eddard), 173585, "Eddard can do for the boy in any case."  "He could end his torment;" Jaime"
Tyrion L (Tyrion), Jaime L (Jaime), 174153, "possibilities."  Jaime smiled. "You are a perverse little imp; aren't you?"  "Oh; yes;" Tyrion"
Robert B (Robert), Jaime L (Jaime Lannister), 216727, "look became annoyance. "What if I have?"  "It's Jaime Lannister; is it not?"  Robert"
Eddard S (Ned), Jaime L (Kingslayer), 216952, ""Yes;" he said at last. A single hard word to end the matter.  "Kingslayer;" Ned"
Jaime L (Jaime), Robert B (Robert), 217152, "he said carefully; "but his father is Warden of the West; Robert. In time Ser Jaime"
Jaime L (Jaime), Tywin L (Tywin), 217519, "stubbornly. "At the moment; Lord Tywin looms eternal as Casterly Rock; so I doubt that Jaime"
Eddard S (Ned), Jaime L (Jaime), 217581, "so I doubt that Jaime will be succeeding anytime soon. Don't vex me about this; Ned"
Jaime L (Jaime), Robert B (Robert), 217750, "to stop you;" Robert grumbled. They rode through tall brown grasses.  "Can you trust Jaime"
Jaime L (Jaime), Aerys T (Aerys), 218397, "Aerys!" Robert said; reining his mount to a sudden halt beside an ancient barrow. "If Jaime"
Jaime L (Jaime), Robert B (Robert), 218397, "Aerys!" Robert said; reining his mount to a sudden halt beside an ancient barrow. "If Jaime"
Eddard S (Ned), Jaime L (Jaime), 222377, "throne for a few moments?" He shook with laughter again. "Jaime was all of seventeen; Ned"
Jaime L (Jaime), Catelyn S (Catelyn), 260196, "murdered her husband; Lord Arryn; the HandoftheKingArryn;� Catelyn told them. "It comes to me that Jaime"
Jaime L (Jaime), Jon A (Lord Arryn), 260196, "murdered her husband; Lord Arryn; the HandoftheKingArryn;� Catelyn told them. "It comes to me that Jaime"
Bran S (Bran), Jaime L (Jaime Lannister), 260241, "them. "It comes to me that Jaime Lannister did not join the hunt the day Bran"
Jaime L (Kingslayer), Rodrik C (Rodrik Cassel), 260527, "on their faces. "My lady; that is a monstrous suggestion;" said Rodrik Cassel. "Even the Kingslayer"
Theon G (Theon), Jaime L (Kingslayer), 260600, "the Kingslayer would flinch at the murder of an innocent child."  "Oh; would he?" Theon"
Jaime L (Jaime), Joffrey B (Joffrey), 285505, "Joffrey swung an imaginary warhammer to show her how it was done. "Then my uncle Jaime"
Aerys T (Aerys), Jaime L (Jaime), 285522, "imaginary warhammer to show her how it was done. "Then my uncle Jaime killed old Aerys"
Sansa S (Sansa), Jaime L (Jaime), 285574, "my uncle Jaime killed old Aerys; and my father was king. What's that sound?"  Sansa"
Sandor C (Sandor), Jaime L (Jaime Lannister), 295194, "were Lannister men; and hostile. Their only good fortune was that both Jaime Lannister and Sandor"
Petyr B (Petyr), Jaime L (Jaime), 334984, "from the wood. "I backed Ser Jaime in the jousting; along with half the court." Petyr"
Jaime L (Jaime), Loras T (Loras Tyrell), 335110, "boy again. "When Loras Tyrell unhorsed him; many of us became a trifle poorer. Ser Jaime"
Cersei L (the queen), Jaime L (Jaime), 335151, "many of us became a trifle poorer. Ser Jaime lost a hundred golden dragons; the queen"
