Joffrey B Encounters:
Sansa S (Sansa), Joffrey B (Joff), 90551, "not too late. I have a son. You have a daughter. My Joff and your Sansa"
Lyanna (Lyanna), Joffrey B (Joff), 90584, "son. You have a daughter. My Joff and your Sansa shall join our houses; as Lyanna"
Joffrey B (Joffrey), Sansa S (Sansa), 94916, "whose white-blond hair was longer than hers. Sansa; two years older; drew the crown prince; Joffrey"
Jon S (Jon), Joffrey B (Joffrey Baratheon), 94959, "Sansa; two years older; drew the crown prince; Joffrey Baratheon. He was twelve; younger than Jon"
Robb S (Robb), Joffrey B (Joffrey Baratheon), 94967, "years older; drew the crown prince; Joffrey Baratheon. He was twelve; younger than Jon or Robb"
Joffrey B (Prince Joffrey), Jon S (Jon), 95029, "twelve; younger than Jon or Robb; but taller than either; to Jon's vast dismay. Prince Joffrey"
Joffrey B (Prince Joffrey), Robb S (Robb), 95029, "twelve; younger than Jon or Robb; but taller than either; to Jon's vast dismay. Prince Joffrey"
Joffrey B (Joffrey), Jon S (Jon), 95251, "velvet collar. Sansa looked radiant as she walked beside him; but Jon did not like Joffrey"
Joffrey B (Joffrey), Sansa S (Sansa), 95251, "velvet collar. Sansa looked radiant as she walked beside him; but Jon did not like Joffrey"
Joffrey B (Joffrey), Catelyn S (Catelyn), 112194, "is so wrong with that?"  "Gods; Catelyn; Sansa is only eleven;" Ned said. "And Joffrey"
Joffrey B (Joffrey), Eddard S (Ned), 112194, "is so wrong with that?"  "Gods; Catelyn; Sansa is only eleven;" Ned said. "And Joffrey"
Joffrey B (Joffrey), Sansa S (Sansa), 112194, "is so wrong with that?"  "Gods; Catelyn; Sansa is only eleven;" Ned said. "And Joffrey"
Joffrey B (Joffrey), Catelyn S (Catelyn), 121110, "could not bear it;" Catelyn said; trembling.  "You must;" he said. "Sansa must wed Joffrey"
Joffrey B (Joffrey), Sansa S (Sansa), 121110, "could not bear it;" Catelyn said; trembling.  "You must;" he said. "Sansa must wed Joffrey"
Joffrey B (Prince Joffrey), Eddard S (Ned), 121746, "Eyrie;" Ned said. "Ser Rodrik tells me there is bad feeling between Robb and Prince Joffrey"
Joffrey B (Prince Joffrey), Robb S (Robb), 121746, "Eyrie;" Ned said. "Ser Rodrik tells me there is bad feeling between Robb and Prince Joffrey"
Joffrey B (Prince Joffrey), Rodrik C (Ser Rodrik), 121746, "Eyrie;" Ned said. "Ser Rodrik tells me there is bad feeling between Robb and Prince Joffrey"
Bran S (Bran), Joffrey B (Prince Joffrey), 121773, "tells me there is bad feeling between Robb and Prince Joffrey. That is not healthy. Bran"
Joffrey B (the prince), Septa M (septa), 129353, "septa laughed along with the rest of the ladies.  "We were talking about the prince"
Sansa S (Sansa), Joffrey B (the prince), 129361, "laughed along with the rest of the ladies.  "We were talking about the prince;" Sansa"
Arya S (Arya), Joffrey B (the prince), 129399, ""We were talking about the prince;" Sansa said; her voice soft as a kiss.  Arya"
Joffrey B (Joffrey), Arya S (Arya), 129436, "Sansa said; her voice soft as a kiss.  Arya knew which prince she meant: Joffrey"
Joffrey B (Joffrey), Sansa S (Sansa), 129436, "Sansa said; her voice soft as a kiss.  Arya knew which prince she meant: Joffrey"
Sansa S (Sansa), Joffrey B (Joffrey), 129478, "kiss.  Arya knew which prince she meant: Joffrey; of course. The tall; handsome one. Sansa"
Joffrey B (Joffrey), Arya S (Arya), 129574, "him at the feast. Arya had to sit with the little fat one. Naturally.  "Joffrey"
Jeyne P (Jeyne), Joffrey B (Joffrey), 129600, "Arya had to sit with the little fat one. Naturally.  "Joffrey likes your sister;" Jeyne"
Joffrey B (Prince Joff), Arya S (Arya), 130194, "harshness out of her words. She looked at Arya. "What did you think of Prince Joff"
