Jory C Encounters:
Jory C (Jory), Bran S (Bran), 28464, ""Father; Bran; come quickly; see what Robb has found!" Then he was gone again.  Jory"
Jory C (Jory), Robb S (Robb), 28464, ""Father; Bran; come quickly; see what Robb has found!" Then he was gone again.  Jory"
Bran S (Bran), Jory C (Jory), 28653, "my sons have rooted out now." He sent his horse into a trot. Jory and Bran"
Robb S (Robb), Jory C (Jory), 28695, "horse into a trot. Jory and Bran and the rest came after.  They found Robb"
Theon G (Theon), Jory C (Jory Cassel), 29126, "through the drifts; groping for solid footing on the hidden; uneven ground. Jory Cassel and Theon"
Robb S (Robb), Jory C (Jory), 29377, "of his horse as he reached for his sword.  Jory's sword was already out. "Robb"
Bran S (Bran), Jory C (Jory), 29552, "the bundle in his arms. "She can't hurt you;" he said. "She's dead; Jory."  Bran"
Jory C (Jory), Bran S (Bran), 29743, "the bridge and approach on foot. Bran jumped off and ran.  By then Jon; Jory"
Jory C (Jory), Jon S (Jon), 29743, "the bridge and approach on foot. Bran jumped off and ran.  By then Jon; Jory"
Theon G (Theon), Jory C (Jory), 29754, "and approach on foot. Bran jumped off and ran.  By then Jon; Jory; and Theon"
Jory C (Jory), Hullen (Hullen), 31457, "muttered Hullen; the master of horse. "I like it not."  "It is a sign;" Jory"
Jon S (Snow), Jory C (Jory), 31554, "Father frowned. "This is only a dead animal; Jory;" he said. Yet he seemed troubled. Snow"
Jory C (Jory), Robb S (Robb), 35679, " "They won't die;" Robb said. "We won't let them die."  "Keep them; then. Jory"
Desmond (Desmond), Jory C (Jory), 35688, ""They won't die;" Robb said. "We won't let them die."  "Keep them; then. Jory; Desmond"
Jory C (Jory), Robert B (Robert), 47989, "a feast; of course; with singers; and Robert will want to hunt. I shall send Jory"
Jory C (Jory), Benjen S (Benjen), 142932, "his father; so Robb had been allowed to join the hunters as well. Uncle Benjen; Jory"
Jory C (Jory), Robb S (Robb), 142932, "his father; so Robb had been allowed to join the hunters as well. Uncle Benjen; Jory"
Theon G (Theon), Jory C (Jory), 142939, "father; so Robb had been allowed to join the hunters as well. Uncle Benjen; Jory; Theon"
Rodrik C (Ser Rodrik), Jory C (Jory), 142959, "had been allowed to join the hunters as well. Uncle Benjen; Jory; Theon Greyjoy; Ser Rodrik"
Cersei L (the queen), Jory C (Jory), 142979, "join the hunters as well. Uncle Benjen; Jory; Theon Greyjoy; Ser Rodrik; and even the queen"
Jory C (Jory), Bran S (Bran), 152612, "always won. None of the guards could climb half so well as Bran; not even Jory"
Jory C (Jory), Eddard S (Ned), 291911, "found her; my lord."  Ned rose quickly. "Our men or Lannister's?"  "It was Jory"
Vayon P (Vayon), Jory C (Jory), 291931, "lord."  Ned rose quickly. "Our men or Lannister's?"  "It was Jory;" his steward Vayon"
Eddard S (Ned), Jory C (Jory), 291994, "was Jory;" his steward Vayon Poole replied. "She's not been harmed."  "Thank the gods;" Ned"
Jory C (Jory), Cersei L (the queen), 292130, "now; but the queen's men had been out hunting as well. "Where is she? Tell Jory"
Jory C (Jory), Cersei L (the queen), 292280, "him. "The guards on the gate were Lannister men; and they informed the queen when Jory"
Robert B (the king), Jory C (Jory), 292339, "they informed the queen when Jory brought her in. She's being taken directly before the king"
