Luwin Encounters:
Luwin (Maester Luwin), Benjen S (Ben), 46579, ""Yes; of course;" he agreed. "Ben will want to be here. I shall tell Maester Luwin"
Eddard S (Ned), Luwin (Maester Luwin), 46611, "will want to be here. I shall tell Maester Luwin to send his swiftest bird." Ned"
Luwin (Maester Luwin), Jon S (Jon), 101775, "man grown;" Jon protested. "I will turn fifteen on my next name day; and Maester Luwin"
Benjen S (Benjen), Luwin (Maester Luwin), 101856, "and Maester Luwin says bastards grow up faster than other children."  "That's true enough;" Benjen"
Luwin (Maester Luwin), Desmond (Desmond), 113355, "turned; frowning. "What is it?"  Desmond's voice came through the door. "My lord; Maester Luwin"
Luwin (Maester Luwin), Eddard S (Ned), 113753, "her chin. "Perhaps we should close the windows;" she suggested.  Ned nodded absently. Maester Luwin"
Luwin (Maester Luwin), Catelyn S (Catelyn), 114249, "the children. With all he kept hidden in his sleeves; Catelyn was surprised that Maester Luwin"
Luwin (Luwin), Eddard S (Ned), 115802, "for my eyes."  Ned held out his hand. "Let me have it; then."  Luwin"
Eddard S (Ned), Luwin (Luwin), 116139, "with a small blob of blue wax. Luwin bowed and began to retreat.  "Stay;" Ned"
Luwin (Maester Luwin), Catelyn S (Catelyn), 116937, "it?"  "Yes;" Catelyn admitted.  "Then tell us."  "Perhaps I should withdraw;" Maester Luwin"
Catelyn S (Catelyn), Luwin (Maester Luwin), 116958, "admitted.  "Then tell us."  "Perhaps I should withdraw;" Maester Luwin said.  "No;" Catelyn"
Eddard S (Ned), Luwin (Maester Luwin), 117172, "bare skin as she padded across the room.  Maester Luwin averted his eyes. Even Ned"
Eddard S (Ned), Luwin (Maester Luwin), 117361, "dressing gown and shrugged into it; then knelt over the cold hearth.  "Maester Luwin�" Ned"
Luwin (Maester Luwin), Eddard S (Ned), 117384, "into it; then knelt over the cold hearth.  "Maester Luwin�" Ned began.  "Maester Luwin"
Catelyn S (Catelyn), Luwin (Maester Luwin), 117424, "cold hearth.  "Maester Luwin�" Ned began.  "Maester Luwin has delivered all my children;" Catelyn"
Eddard S (Ned), Luwin (Maester Luwin), 119804, "came home again."  "A different time;" Maester Luwin said. "A different king."  "Yes;" Ned"
Catelyn S (Catelyn), Luwin (Maester Luwin), 120729, "needs to know. Winter is coming."  Maester Luwin nodded gravely. Then silence fell; until Catelyn"
Luwin (Maester Luwin), Jon S (Jon Snow), 122500, "he whispered. "This is hard; I know."  "What of Jon Snow; my lord?" Maester Luwin"
Catelyn S (Catelyn), Luwin (Maester Luwin), 122516, "is hard; I know."  "What of Jon Snow; my lord?" Maester Luwin asked.  Catelyn"
Eddard S (Ned), Luwin (Maester Luwin), 122555, "Snow; my lord?" Maester Luwin asked.  Catelyn tensed at the mention of the name. Ned"
Benjen S (Benjen), Luwin (Maester Luwin), 126112, "Maester Luwin cut in. "Another solution presents itself;" he said; his voice quiet. "Your brother Benjen"
Luwin (Maester Luwin), Catelyn S (Catelyn), 126690, "father no sons who might someday contest with Catelyn's own grandchildren for Winterfell.  Maester Luwin"
Benjen S (Ben), Luwin (Maester Luwin), 127401, "said to Maester Luwin. "I suppose it is for the best. I will speak to Ben"
Bran S (Bran), Luwin (Maester Luwin), 150459, "with a hundred feet of wall looming over you. Even Maester Luwin didn't know that; Bran"
Bran S (Bran), Luwin (Maester Luwin), 152096, "his eyes.  Later; Maester Luwin built a little pottery boy and dressed him in Bran"
Luwin (Maester Luwin), Benjen S (Benjen Stark), 226692, "direwolf; twenty horses; and a cage of ravens given over to Benjen Stark by Maester Luwin"
Tyrion L (Tyrion), Luwin (Maester Luwin), 226773, "Luwin. No doubt they made a curious fellowship for the kingsroad; or any road.  Tyrion"
Luwin (Maester Luwin), Eddard S (Ned), 243029, "  CATELYN   Ned and the girls were eight days gone when Maester Luwin"
Bran S (Bran), Luwin (Maester Luwin), 243059, "the girls were eight days gone when Maester Luwin came to her one night in Bran"
Bran S (Bran), Luwin (Maester Luwin), 243494, "need to look at figures; Maester Luwin;" she told him; never taking her eyes from Bran"
Luwin (Luwin), Eddard S (Eddard), 244539, "Hullen rode south with Lord Eddard; so�"  "My son lies here broken and dying; Luwin"
Luwin (Luwin), Hullen (Hullen), 244539, "Hullen rode south with Lord Eddard; so�"  "My son lies here broken and dying; Luwin"
Catelyn S (Catelyn), Luwin (Maester Luwin), 245169, "was so tired; and her head hurt all the time.  Maester Luwin looked from Catelyn"
Luwin (Maester Luwin), Robb S (Robb), 245647, "my lord." The paper vanished into his sleeve.  "Leave us now;" Robb said. Maester Luwin"
Robb S (Robb), Luwin (Maester Luwin), 245672, "vanished into his sleeve.  "Leave us now;" Robb said. Maester Luwin bowed and departed. Robb"
Luwin (Maester Luwin), Robb S (Robb), 246990, "life through his skin.  Robb's voice softened. "He's not going to die; Mother. Maester Luwin"
Bran S (Bran), Luwin (Maester Luwin), 247087, "of greatest danger has passed."  "And what if Maester Luwin is wrong? What if Bran"
Rickon S (Rickon), Luwin (Maester Luwin), 247124, "if Maester Luwin is wrong? What if Bran needs me and I'm not here?"  "Rickon"
Bran S (Bran), Luwin (Maester Luwin), 249199, ""Close your eyes;" he said gently. "Rest. Maester Luwin tells me you've hardly slept since Bran"
Luwin (Maester Luwin), Robb S (Robb), 253946, "to laugh hysterically.  That was the way they found them; when Robb and Maester Luwin"
Rodrik C (Ser Rodrik), Luwin (Maester Luwin), 253961, " That was the way they found them; when Robb and Maester Luwin and Ser Rodrik"
Catelyn S (Catelyn), Luwin (Maester Luwin), 257793, "of mint tea. And with it came Maester Luwin.  "How is my son; Maester?" Catelyn"
Luwin (Maester Luwin), Catelyn S (Catelyn), 257862, "Maester?" Catelyn looked at all the food and found she had no appetite.  Maester Luwin"
Luwin (Maester Luwin), Theon G (Theon Greyjoy), 259938, "to me;" said Theon Greyjoy. "I do so swear."  "You have my oath;" Maester Luwin"
Rodrik C (Ser Rodrik), Luwin (Maester Luwin), 259984, " "You have my oath;" Maester Luwin said.  "And mine; my lady;" echoed Ser Rodrik"
Luwin (Maester Luwin), Catelyn S (Catelyn), 260769, "Lannister ambition;" Catelyn said.  "The boy had always been surehanded in the past;" Maester Luwin"
Robb S (Robb), Luwin (Maester Luwin), 260839, "in the past;" Maester Luwin said thoughtfully. "He knew every stone in Winterfell."  "Gods;" Robb"
Luwin (Maester Luwin), Rodrik C (Ser Rodrik), 262248, "Stark in Winterfell." She looked at Ser Rodrik with his great white whiskers; at Maester Luwin"
Bran S (Bran), Luwin (Maester Luwin), 262638, ""is that wise? Surely the Lannisters would greet your arrival with suspicion."  "What about Bran"
Robb S (Robb), Luwin (Maester Luwin), 262902, "is in the hands of the gods and Maester Luwin. As you reminded me yourself; Robb"
Luwin (Maester Luwin), Bran S (Bran), 304555, "did not know how to fly; so all he could do was fall.  Maester Luwin"
Varys (Varys), Luwin (Maester Luwin), 331134, "you; my lord; but my own Maester Luwin has already seen to my hurts."  Varys"
Luwin (Maester Luwin), Bran S (Bran), 331955, "only the word; and I will send for one for your dear Bran."  "Maester Luwin"
Bran S (Bran), Luwin (Maester Luwin), 331994, "for your dear Bran."  "Maester Luwin is doing all that can be done for Bran"
Eddard S (Eddard), Luwin (Maester Luwin), 459732, "King's Landing; but they'd gone without him. Maester Luwin had sent a bird after Lord Eddard"
Luwin (Maester Luwin), Bran S (Bran), 460591, "steel as Bran watched forlornly from his window. At night he closeted himself with Maester Luwin"
Hallis M (Hallis), Luwin (Maester Luwin), 460669, "with Maester Luwin; talking or going over account books. Sometimes he would ride out with Hallis"
Hodor (Hodor), Luwin (Maester Luwin), 464989, "leapt up into his mouth in sudden fear; but it was only Maester Luwin; with Hodor"
Luwin (Maester Luwin), Hodor (Hodor), 465121, ""Hodor!" the stableboy announced; as was his custom; smiling hugely at them all.  Maester Luwin"
Bran S (Bran), Luwin (Maester Luwin), 465209, "Maester Luwin was not smiling. "We have visitors;" he announced; "and your presence is required; Bran"
Luwin (Maester Luwin), Bran S (Bran), 465477, "and ofttimes they bring stories of their own."  "Who is it?" Bran asked Maester Luwin"
Tyrion L (Tyrion), Luwin (Maester Luwin), 465487, "they bring stories of their own."  "Who is it?" Bran asked Maester Luwin.  "Tyrion"
Luwin (Maester Luwin), Bran S (Bran), 466754, "hummed tunelessly as he carried Bran down the steps and through the gallery; with Maester Luwin"
Robb S (Robb), Luwin (Maester Luwin), 466833, "with Maester Luwin following behind; hurrying to keep up with the stableboy's long strides.  Robb"
Tyrion L (Tyrion), Luwin (Maester Luwin), 469273, "fall; or the climb that came before it;" said Maester Luwin gently.  "Curious;" said Tyrion"
Robb S (Robb), Luwin (Maester Luwin), 469347, " "Curious;" said Tyrion Lannister.  "My brother is not here to answer questions; Lannister;" Robb"
Luwin (Maester Luwin), Bran S (Bran), 469492, "for you;" the dwarf said to Bran. "Do you like to ride; boy?"  Maester Luwin"
Luwin (Maester Luwin), Tyrion L (dwarf), 469492, "for you;" the dwarf said to Bran. "Do you like to ride; boy?"  Maester Luwin"
Tyrion L (dwarf), Luwin (Maester Luwin), 470378, "your saddler. He will provide the rest."  Maester Luwin took the paper from the dwarf"
Robb S (Robb), Luwin (Maester Luwin), 473398, "will be leaving; truly."  "A moment; my lord;" Maester Luwin said. He moved to Robb"
Bran S (Bran), Luwin (Maester Luwin), 473448, "my lord;" Maester Luwin said. He moved to Robb and they huddled close together; whispering. Bran"
Luwin (Maester Luwin), Robb S (Robb), 477667, "senior among the black brothers; so the steward had seated him between Robb and Maester Luwin"
Luwin (Maester Luwin), Theon G (Theon Greyjoy), 479473, "help him;" he blurted; "the children of the forest!"  Theon Greyjoy sniggered; and Maester Luwin"
Bran S (Bran), Luwin (Maester Luwin), 479485, "he blurted; "the children of the forest!"  Theon Greyjoy sniggered; and Maester Luwin said; "Bran"
Luwin (Maester Luwin), Pycelle (Maester Pycelle), 490951, "say;" Grand Maester Pycelle agreed; "but we know it is not always so. When Maester Luwin"
Bran S (Bran), Luwin (Maester Luwin), 490991, "know it is not always so. When Maester Luwin's bird brought the word about your Bran"
Luwin (Maester Luwin), Hullen (Hullen), 776845, "a stick-thin stableman whom Robb had named master of horse while Hullen was away. Maester Luwin"
Luwin (Maester Luwin), Robb S (Robb), 776845, "a stick-thin stableman whom Robb had named master of horse while Hullen was away. Maester Luwin"
Bran S (Bran), Luwin (Maester Luwin), 776891, "horse while Hullen was away. Maester Luwin brought up the rear; riding on a donkey. Bran"
Luwin (Maester Luwin), Hal M (Hal Mollen), 777030, "just the two of them; but Hal Mollen would not hear of it; and Maester Luwin"
Bran S (Bran), Luwin (Maester Luwin), 777050, "them; but Hal Mollen would not hear of it; and Maester Luwin backed him. If Bran"
Luwin (Maester Luwin), Bran S (Bran), 777710, "and then the winter town came alive. Bran had never seen it happen; but Maester Luwin"
Bran S (Bran), Luwin (Maester Luwin), 780998, "something. There was a bird last night. From King's Landing. Maester Luwin woke me."  Bran"
Nan (Old Nan), Luwin (Maester Luwin), 781051, "Maester Luwin woke me."  Bran felt a sudden dread. Dark wings; dark words; Old Nan"
Luwin (Maester Luwin), Robb S (Robb), 781797, "as a stone. Robb spent most of that day locked behind closed doors with Maester Luwin"
Theon G (Theon), Luwin (Maester Luwin), 781804, "a stone. Robb spent most of that day locked behind closed doors with Maester Luwin; Theon"
Hallis M (Hallis), Luwin (Maester Luwin), 781824, "spent most of that day locked behind closed doors with Maester Luwin; Theon Greyjoy; and Hallis"
Robb S (Robb), Luwin (Maester Luwin), 781894, "Luwin; Theon Greyjoy; and Hallis Mollen. Afterward; riders were sent out on fast horses; carrying Robb"
Luwin (Maester Luwin), Bran S (Bran), 784313, "Bran shivered. "I wish Mother was back;" he said miserably. He looked around for Maester Luwin"
Bran S (Bran), Luwin (Maester Luwin), 785111, "Luwin had warned him to keep the ride short; for fear of saddle sores; but Bran"
