Robb S Encounters:
Robb S (Robb), Bran S (Bran), 21277, "Bran's life.  The man had been taken outside a small holdfast in the hills. Robb"
Mance R (Mance), Robb S (Robb), 21329, "small holdfast in the hills. Robb thought he was a wildling; his sword sworn to Mance"
Jon S (Jon), Robb S (Robb), 22213, "father had the man cut down from the wall and dragged before them. Robb and Jon"
Bran S (Bran), Robb S (Robb), 22259, "and dragged before them. Robb and Jon sat tall and still on their horses; with Bran"
Jon S (Jon), Robb S (Robb), 25750, "not see. He was of an age with Robb; but they did not look alike. Jon"
Robb S (Robb), Jon S (Jon), 25773, "of an age with Robb; but they did not look alike. Jon was slender where Robb"
Robb S (Robb), Jon S (Jon), 26030, "died well. Race you to the bridge?"  "Done;" Jon said; kicking his horse forward. Robb"
Jon S (Jon), Robb S (Robb), 26120, "Robb cursed and followed; and they galloped off down the trail; Robb laughing and hooting; Jon"
Jon S (Jon), Robb S (Robb), 26775, "lord father loomed over him like a giant. "Robb says the man died bravely; but Jon"
Robb S (Robb), Bran S (Bran), 28010, "perhaps the man does not deserve to die.  "One day; Bran; you will be Robb"
Robb S (Robb), Bran S (Bran), 28422, "before them. He waved and shouted down at them. "Father; Bran; come quickly; see what Robb"
Jory C (Jory), Robb S (Robb), 28464, ""Father; Bran; come quickly; see what Robb has found!" Then he was gone again.  Jory"
Robb S (Robb), Bran S (Bran), 28695, "horse into a trot. Jory and Bran and the rest came after.  They found Robb"
Robb S (Robb), Jory C (Jory), 28695, "horse into a trot. Jory and Bran and the rest came after.  They found Robb"
Jon S (Jon), Robb S (Robb), 28742, "rest came after.  They found Robb on the riverbank north of the bridge; with Jon"
Robb S (Robb), Jon S (Jon), 28825, "with Jon still mounted beside him. The late summer snows had been heavy this moonturn. Robb"
Robb S (Robb), Jory C (Jory), 29377, "of his horse as he reached for his sword.  Jory's sword was already out. "Robb"
Bran S (Bran), Robb S (Robb), 29927, "Robb told him.  "A freak;" Greyjoy said. "Look at the size of it."  Bran"
Robb S (Robb), Bran S (Bran), 31028, "among his leathers; making a sad little whimpery sound. Bran reached out hesitantly. "Go on;" Robb"
Bran S (Bran), Robb S (Robb), 31065, "sound. Bran reached out hesitantly. "Go on;" Robb told him. "You can touch him."  Bran"
Robb S (Robb), Bran S (Bran), 32803, "and understood. "No!" Bran cried out fiercely. "It's mine."  "Put away your sword; Greyjoy;" Robb"
Rodrik C (Ser Rodrik), Robb S (Robb), 33361, "did not want to cry in front of his father.  Robb resisted stubbornly. "Ser Rodrik"
Robb S (Robb), Jon S (Jon), 34599, "Jon pointed out. "I am no Stark; Father."  Their lord father regarded Jon thoughtfully. Robb"
Robb S (Robb), Bran S (Bran), 35544, "a rat. Are you sure you want this?"  "Yes; Father;" Bran said.  "Yes;" Robb"
Jory C (Jory), Robb S (Robb), 35679, " "They won't die;" Robb said. "We won't let them die."  "Keep them; then. Jory"
Desmond (Desmond), Robb S (Robb), 35688, ""They won't die;" Robb said. "We won't let them die."  "Keep them; then. Jory; Desmond"
Robb S (Robb), Jon S (Jon), 94306, "muster. Jon had to urge him on when he stopped to visit. Close behind came Robb"
Myrcella (Princess Myrcella), Robb S (Robb), 94387, "came Robb; in grey wool trimmed with white; the Stark colors. He had the Princess Myrcella"
Robb S (Robb), Jon S (Jon), 94538, "cascade of golden curls under a jeweled net. Jon noticed the shy looks she gave Robb"
Robb S (Robb), Joffrey B (Joffrey Baratheon), 94967, "years older; drew the crown prince; Joffrey Baratheon. He was twelve; younger than Jon or Robb"
Robb S (Robb), Jon S (Jon), 94967, "years older; drew the crown prince; Joffrey Baratheon. He was twelve; younger than Jon or Robb"
Jon S (Jon), Robb S (Robb), 94999, "Joffrey Baratheon. He was twelve; younger than Jon or Robb; but taller than either; to Jon"
Joffrey B (Prince Joffrey), Robb S (Robb), 95029, "twelve; younger than Jon or Robb; but taller than either; to Jon's vast dismay. Prince Joffrey"
Robb S (Robb), Jon S (Jon), 101298, "We could use a man like you on the Wall."  Jon swelled with pride. "Robb"
Hullen (Hullen), Robb S (Robb), 101366, "pride. "Robb is a stronger lance than I am; but I'm the better sword; and Hullen"
Bran S (Bran), Robb S (Robb), 102830, "Robb would someday inherit Winterfell; would command great armies as the Warden of the North. Bran"
Robb S (Robb), Bran S (Bran), 102855, "would command great armies as the Warden of the North. Bran and Rickon would be Robb"
Robb S (Robb), Rickon S (Rickon), 102855, "would command great armies as the Warden of the North. Bran and Rickon would be Robb"
Arya S (Arya), Robb S (Robb), 102916, "Bran and Rickon would be Robb's bannermen and rule holdfasts in his name. His sisters Arya"
Sansa S (Sansa), Robb S (Robb), 102926, "Rickon would be Robb's bannermen and rule holdfasts in his name. His sisters Arya and Sansa"
Robb S (Robb), Robert B (Robert), 120261, "my stead; while I run Robert's errands. There must always be a Stark in Winterfell. Robb"
Robb S (Robb), Rickon S (Rickon), 120980, "his. "Rickon is very young;" he said gently. "He should stay here with you and Robb"
Catelyn S (Catelyn), Robb S (Robb), 121047, "and Robb. The others I would take with me."  "I could not bear it;" Catelyn"
Robb S (Robb), Eddard S (Ned), 121727, "foster at the Eyrie;" Ned said. "Ser Rodrik tells me there is bad feeling between Robb"
Robb S (Robb), Rodrik C (Ser Rodrik), 121727, "foster at the Eyrie;" Ned said. "Ser Rodrik tells me there is bad feeling between Robb"
Joffrey B (Prince Joffrey), Robb S (Robb), 121746, "Eyrie;" Ned said. "Ser Rodrik tells me there is bad feeling between Robb and Prince Joffrey"
Bran S (Bran), Robb S (Robb), 121773, "tells me there is bad feeling between Robb and Prince Joffrey. That is not healthy. Bran"
