Samwell T Encounters:
Samwell T (Piggy), Alliser T (Ser Alliser), 500695, "you are not as inept as you look;" Ser Alliser said. "Halder; see what Ser Piggy"
Samwell T (Piggy), Halder (Halder), 500695, "you are not as inept as you look;" Ser Alliser said. "Halder; see what Ser Piggy"
Jon S (Jon), Samwell T (Piggy), 500709, "inept as you look;" Ser Alliser said. "Halder; see what Ser Piggy can do."  Jon"
Halder (Halder), Samwell T (Piggy), 500729, "look;" Ser Alliser said. "Halder; see what Ser Piggy can do."  Jon Snow winced. Halder"
Samwell T (Piggy), Alliser T (Ser Alliser), 501293, "laughing.  Even then; Ser Alliser would not call an end. "On your feet; Ser Piggy"
Alliser T (Ser Alliser), Samwell T (Piggy), 502031, "rise; slipped; and fell heavily again. "Ser Piggy is starting to grasp the notion;" Ser Alliser"
Halder (Halder), Samwell T (Piggy), 502058, "heavily again. "Ser Piggy is starting to grasp the notion;" Ser Alliser observed. "Again."  Halder"
Samwell T (Lady Piggy), Halder (Halder), 503093, "Albett moved to join Halder. "Three of you ought to be sufficient to make Lady Piggy"
Jon S (Jon), Samwell T (Lady Piggy), 503166, "Piggy squeal. All you need do is get past the Bastard."  "Stay behind me;" Jon"
Samwell T (Samwell), Halder (Halder), 505846, "matted the fat boy's hair where Halder had split his helm asunder. "My name is Samwell"
Samwell T (Samwell), Eddard S (Ned Stark), 506155, "�" His voice trailed off.  "I'm Jon Snow; Ned Stark's bastard; of Winterfell."  Samwell"
Samwell T (Samwell), Jon S (Jon Snow), 506155, "�" His voice trailed off.  "I'm Jon Snow; Ned Stark's bastard; of Winterfell."  Samwell"
Jon S (Lord Snow), Samwell T (Sam), 506262, "can call me Sam. My mother calls me Sam."  "You can call him Lord Snow"
Pyp (Pyp), Samwell T (Sam), 506268, "call me Sam. My mother calls me Sam."  "You can call him Lord Snow;" Pyp"
Samwell T (Samwell), Pyp (Pyp), 506942, "Pyp had words for everything. What sort of man would proclaim himself a coward?  Samwell"
Jon S (Jon), Samwell T (Samwell Tarly), 507011, "coward?  Samwell Tarly must have read their thoughts on their faces. His eyes met Jon"
Samwell T (Sam), Jon S (Jon), 507242, " Jon called after him. "You were hurt;" he said. "Tomorrow you'll do better."  Sam"
Tyrion L (Tyrion), Samwell T (Samwell Tarly), 509146, "could think here; and he found himself thinking of Samwell Tarly � and; oddly; of Tyrion"
Jon S (Jon), Samwell T (Samwell Tarly), 509512, "had.  His sore shoulder made the work go slowly. It was late afternoon before Jon"
Samwell T (Sam), Jon S (Jon), 511160, "again.  "What's wrong now?" Jon asked him. "Why are you always so frightened?"  Sam"
Samwell T (Samwell), Jon S (Jon), 511523, "outside?"  "Talk;" Jon said. "Have you seen the Wall?"  "I'm fat; not blind;" Samwell"
Samwell T (Sam), Jon S (Jon), 512159, "castle; and Jon could hear the soft crunch of grey weeds beneath his boots.  Sam"
Samwell T (Samwell), Jon S (Jon), 513199, ""There's a winch;" Jon said; pointing. "They can draw you up in a cage."  Samwell"
Jon S (Jon), Samwell T (Samwell Tarly), 513265, "cage."  Samwell Tarly sniffled. "I don't like high places."  It was too much. Jon"
Samwell T (Sam), Benjen S (Ben Stark), 515086, "all trace of Ben Stark vanished.  "Do you ever find anyone in your dream?" Sam"
Jon S (Jon), Samwell T (Sam), 515098, "Ben Stark vanished.  "Do you ever find anyone in your dream?" Sam asked.  Jon"
Samwell T (Sam), Jon S (Jon), 516459, "the direwolf's shaggy white fur. "Do you dream of Horn Hill?" Jon asked.  "No." Sam"
Samwell T (Samwell), Jon S (Jon), 516613, "Ghost behind the ear; brooding; and Jon let the silence breathe. After a long while Samwell"
Jon S (Jon), Samwell T (Samwell Tarly), 516642, "Jon let the silence breathe. After a long while Samwell Tarly began to talk; and Jon"
Samwell T (Samwell), Randyll T (Randyll Tarly), 516900, "Lord of Highgarden and Warden of the South. The eldest son of Lord Randyll Tarly; Samwell"
Samwell T (Sam), Randyll T (Lord Randyll), 518015, "more frightened; until Lord Randyll's disappointment turned to anger and then to loathing. "One time;" Sam"
Samwell T (Sam), Randyll T (Lord Randyll), 518440, "Lady Tarly gave her lord husband a second son. From that day; Lord Randyll ignored Sam"
Samwell T (Sam), Jon S (Jon), 520381, "world.  Finally Jon said; "We should go back to the common hall."  "Why?" Sam"
Jon S (Jon), Samwell T (Sam), 520393, "Jon said; "We should go back to the common hall."  "Why?" Sam asked.  Jon"
Samwell T (Sam), Jon S (Jon), 521327, "again on the morrow; isn't he?"  "He is;" Jon was forced to say.  Sam"
Samwell T (Sam), Jon S (Jon), 521564, "Jon returned; alone but for Ghost. "Where have you been?" Pyp asked.  "Talking with Sam"
Samwell T (Sam), Pyp (Pyp), 521564, "Jon returned; alone but for Ghost. "Where have you been?" Pyp asked.  "Talking with Sam"
Grenn (Grenn), Samwell T (Sam), 521609, "been?" Pyp asked.  "Talking with Sam;" he said.  "He truly is craven;" said Grenn"
Jon S (Jon), Samwell T (Lady Piggy), 522590, "Lady Piggy; I'm going to slice me off a rasher of bacon." He laughed in Jon"
Alliser T (Ser Alliser), Samwell T (Samwell Tarly), 523193, "day forth; neither Rast nor any of the others would hurt Samwell Tarly. When Ser Alliser"
Alliser T (Ser Alliser), Samwell T (Sam), 523419, "they would dance in and tap Sam lightly on breastplate or helm or leg. Ser Alliser"
Samwell T (Sam), Alliser T (Ser Alliser), 523497, "Ser Alliser raged and threatened and called them all cravens and women and worse; yet Sam"
Jon S (Jon), Samwell T (Sam), 523541, "all cravens and women and worse; yet Sam remained unhurt. A few nights later; at Jon"
Samwell T (Samwell), Grenn (Grenn), 523843, "with the best of them.  Fat and awkward and frightened he might be; but Samwell"
Jon S (Jon), Samwell T (Samwell Tarly), 523887, "and frightened he might be; but Samwell Tarly was no fool. One night he visited Jon"
Samwell T (Sam), Jon S (Jon), 524072, "had a friend before."  "We're not friends;" Jon said. He put a hand on Sam"
Robb S (Robb), Samwell T (Sam), 524185, " And so they were; he thought to himself after Sam had taken his leave. Robb"
Bran S (Bran), Samwell T (Sam), 524194, "so they were; he thought to himself after Sam had taken his leave. Robb and Bran"
Rickon S (Rickon), Samwell T (Sam), 524205, "were; he thought to himself after Sam had taken his leave. Robb and Bran and Rickon"
Grenn (Grenn), Samwell T (Sam), 524471, "his dreams; but Castle Black was his life now; and his brothers were Sam and Grenn"
Halder (Halder), Samwell T (Sam), 524482, "but Castle Black was his life now; and his brothers were Sam and Grenn and Halder"
Pyp (Pyp), Samwell T (Sam), 524490, "Black was his life now; and his brothers were Sam and Grenn and Halder and Pyp"
Samwell T (Samwell), Jon S (Jon), 871753, "red. As they passed the wine from hand to hand; grinning like fools; Jon noticed Samwell"
Jon S (Jon), Samwell T (Samwell Tarly), 871835, "Tarly standing by himself beneath a bare dead tree in the corner of the yard. Jon"
Samwell T (Sam), Jon S (Jon), 871883, "the corner of the yard. Jon offered him the skin. "A swallow of wine?"  Sam"
Jon S (Jon), Samwell T (Sam), 871918, "him the skin. "A swallow of wine?"  Sam shook his head. "No thank you; Jon"
Hobb (Finger), Samwell T (Samwell Tarly), 872735, "his hair and wine stains on his surcoat; Samwell Tarly had gone.  That night; Three-Finger"
Samwell T (Sam), Jon S (Jon), 875664, "door and shouldered his way out.  Pyp followed him. "Jon; what is it?"  "Sam"
Samwell T (Sam), Pyp (Pyp), 875664, "door and shouldered his way out.  Pyp followed him. "Jon; what is it?"  "Sam"
Samwell T (Samwell), Jon S (Jon), 878956, "was red with blood as he trotted beside the horse. Jon found himself thinking of Samwell"
Samwell T (Samwell), Jon S (Jon Snow), 881289, "Jon Snow; why have you come calling at this strange hour?"  "To ask that Samwell"
Jon S (Jon), Samwell T (Samwell), 881832, "your charge."  "And is your friend Samwell wounded or sick?"  "He will be;" Jon"
Samwell T (Sam), Chett (Chett), 882078, "the fire; but Chett's face darkened with each word. "Without us to keep him safe; Sam"
Jon S (Jon), Samwell T (Sam), 882104, "darkened with each word. "Without us to keep him safe; Sam will have no chance;" Jon"
Arya S (Arya), Samwell T (Sam), 882158, "safe; Sam will have no chance;" Jon finished. "He's hopeless with a sword. My sister Arya"
Samwell T (Sam), Randyll T (Lord Randyll), 884039, "all sorts too. Why else have rangers and stewards and builders? Lord Randyll couldn't make Sam"
Alliser T (Ser Alliser), Samwell T (Sam), 884066, "have rangers and stewards and builders? Lord Randyll couldn't make Sam a warrior; and Ser Alliser"
Chett (Chett), Samwell T (Sam), 884222, "it; but that doesn't mean tin is useless. Why shouldn't Sam be a steward?"  Chett"
Aemon T (Aemon), Samwell T (Sam), 885028, "foot."  "I know one thing Sam could do better than anyone."  "Yes?" Maester Aemon"
Jon S (Jon), Samwell T (Sam), 885043, "know one thing Sam could do better than anyone."  "Yes?" Maester Aemon prompted.  Jon"
Chett (Chett), Samwell T (Sam), 885067, "could do better than anyone."  "Yes?" Maester Aemon prompted.  Jon glanced warily at Chett"
Samwell T (Sam), Chett (Chett), 885265, "how to read and write. I know Chett can't read; and Clydas has weak eyes. Sam"
Samwell T (Samwell), Eddard S (Ned), 1008562, " JON   Jon was breaking his fast on applecakes and blood sausage when Samwell"
Samwell T (Samwell), Jon S (Jon), 1008562, " JON   Jon was breaking his fast on applecakes and blood sausage when Samwell"
Samwell T (Sam), Jon S (Jon), 1008958, "can read and write letters."  "You'll do well at that;" Jon said; smiling.  Sam"
Samwell T (Sam), Pyp (Pyp), 1009446, "in a rainbow on the altar. Pyp's mouth dropped open when he caught sight of Sam"
Grenn (Grenn), Samwell T (Sam), 1009468, "the altar. Pyp's mouth dropped open when he caught sight of Sam; and Toad poked Grenn"
Samwell T (Samwell), Jon S (Jon), 1012696, "your gods as well."  "My lord." The voice made Jon glance back in surprise. Samwell"
Jon S (Jon), Samwell T (Sam), 1012991, ""No; my lord;" Sam replied in a thin; nervous voice. The high officers frightened him; Jon"
Samwell T (Sam), Jaremy R (Jaremy Rykker), 1013299, "and your House?" wondered Ser Jaremy Rykker.  "The Night's Watch is my House now;" Sam"
Jon S (Jon), Samwell T (Sam), 1013447, "will."  "As you wish; boy;" Mormont said. Sam took his seat again; as did Jon"
Samwell T (Samwell), Jon S (Jon), 1013847, "the builders. Pypar; to the rangers;" Pyp looked over at Jon and wiggled his ears. "Samwell"
Samwell T (Samwell), Pyp (Pyp), 1013847, "the builders. Pypar; to the rangers;" Pyp looked over at Jon and wiggled his ears. "Samwell"
Dareon (Dareon), Samwell T (Sam), 1015178, "he could not see. The septon was arranging crystals on the altar. Only Sam and Dareon"
Samwell T (Samwell), Bowen M (Bowen Marsh), 1015302, "a singer � and him.  Lord Steward Bowen Marsh rubbed his plump hands together. "Samwell"
Aemon T (Aemon), Samwell T (Samwell), 1015333, " Lord Steward Bowen Marsh rubbed his plump hands together. "Samwell; you will assist Maester Aemon"
Chett (Chett), Samwell T (Samwell), 1015367, "his plump hands together. "Samwell; you will assist Maester Aemon in the rookery and library. Chett"
Samwell T (Sam), Bowen M (Bowen Marsh), 1016960, "I go?" he asked stiffly.  "As you wish;" Bowen Marsh responded.  Dareon and Sam"
Samwell T (Sam), Dareon (Dareon), 1016960, "I go?" he asked stiffly.  "As you wish;" Bowen Marsh responded.  Dareon and Sam"
Jon S (Jon), Samwell T (Sam), 1017027, " Dareon and Sam left with him. They descended to the yard in silence. Outside; Jon"
Samwell T (Samwell), Jon S (Jon), 1017245, "would have smashed it all in an instant; and the world be damned.  "Jon;" Samwell"
Jon S (Jon), Samwell T (Samwell Tarly), 1017314, "damned.  "Jon;" Samwell Tarly said excitedly. "Wait. Don't you see what they're doing?"  Jon"
Jon S (Lord Snow), Samwell T (Sam), 1017531, "stewards are fine for the likes of you and me; Sam; but not for Lord Snow"
Samwell T (Sam), Jeor M (Lord Commander of the Night), 1017990, "an old man's smallclothes?"  "The old man is Lord Commander of the Night's Watch;" Sam"
Samwell T (Sam), Eddard S (Eddard), 1019001, "true; Lord Eddard had often made Robb part of his councils back at Winterfell. Could Sam"
Samwell T (Sam), Robb S (Robb), 1019001, "true; Lord Eddard had often made Robb part of his councils back at Winterfell. Could Sam"
Jon S (Jon), Samwell T (Sam), 1019192, "stubbornly.  "None of us are here for asking;" Sam reminded him.  And suddenly Jon"
Samwell T (Samwell), Jon S (Jon Snow), 1019234, "asking;" Sam reminded him.  And suddenly Jon Snow was ashamed.  Craven or not; Samwell"
Samwell T (Sam), Jon S (Jon), 1022048, "nine weirwoods grew in a rough circle. Jon drew in a breath; and he saw Sam"
Samwell T (Sam), Jon S (Jon), 1022725, "quite alike. "They're watching us;" he whispered. "The old gods."  "Yes." Jon knelt; and Sam"
Samwell T (Sam), Jon S (Jon), 1023602, "now as men of the Night's Watch."  Jon held out a hand to pull Sam"
Samwell T (Samwell), Jon S (Jon), 1024201, "me; Ghost." Jon knelt. "Bring it here."  The direwolf trotted to him. Jon heard Samwell"
Samwell T (Sam), Jon S (Jon), 1085093, " "Yes; but � I'm such a coward; Jon."  Jon put a hand on Sam"
Jon S (Jon), Samwell T (Samwell Tarly), 1089033, "cannot have been dead more than a day �"  "NO;" Samwell Tarly squeaked.  Jon"
Samwell T (Sam), Jon S (Jon), 1089051, "dead more than a day �"  "NO;" Samwell Tarly squeaked.  Jon was startled. Sam"
Samwell T (Sam), Jon S (Jon), 1089344, "Rykker said coldly.  "Let him speak; ser;" Jon blurted.  Mormont's eyes flicked from Sam"
Jon S (Jon), Samwell T (Sam), 1089351, "coldly.  "Let him speak; ser;" Jon blurted.  Mormont's eyes flicked from Sam to Jon"
Jon S (Jon), Samwell T (Sam), 1089497, "out. Come closer; boy. We can't see you behind those horses."  Sam edged past Jon"
Samwell T (Sam), Chett (Chett), 1089748, "his smallclothes at the sight of it;" Chett shouted out; and the rangers laughed.  Sam"
Jon S (Jon), Samwell T (Sam), 1089818, "mopped at the sweat on his brow. "You � you can see where Ghost � Jon"
Samwell T (Sam), Randyll T (Randyll), 1090035, "L-lord Randyll; he; he made me watch him dress animals sometimes; when � after �" Sam"
Samwell T (Sam), Jon S (Jon), 1090422, "it's all � crusty � dry � like �"  Jon saw at once what Sam"
Jon S (Jon), Samwell T (Sam), 1092681, "heard was Sam's heavy breathing and the wet sound of Dywen sucking on his teeth. Jon"
Samwell T (Sam), Jon S (Jon), 1095789, "his saddle. "Tarly;" he barked; "come here."  Jon saw the start of fright on Sam"
Samwell T (Sam), Jeor M (Old Bear), 1095982, "boy;" the Old Bear said gruffly. "You did well back there. And you; Snow."  Sam"
Samwell T (Sam), Jon S (Snow), 1095982, "boy;" the Old Bear said gruffly. "You did well back there. And you; Snow."  Sam"
Samwell T (Sam), Pyp (Pyp), 1099179, "only � the bodies are queer."  "Queer?" Pyp was all curiosity. "How queer?"  "Sam"
Jon S (Jon), Samwell T (Sam), 1099199, "are queer."  "Queer?" Pyp was all curiosity. "How queer?"  "Sam will tell you." Jon"
Samwell T (Sam), Grenn (Grenn), 1105694, "it's a lie; even Grenn knows it's a lie;" Pyp chimed in. Grenn nodded; and Sam"
Samwell T (Sam), Pyp (Pyp), 1105694, "it's a lie; even Grenn knows it's a lie;" Pyp chimed in. Grenn nodded; and Sam"
Jon S (Jon), Samwell T (Sam), 1105706, "lie; even Grenn knows it's a lie;" Pyp chimed in. Grenn nodded; and Sam clasped Jon"
Robb S (Robb), Samwell T (Sam), 1105988, "knew Sam meant what he said. They are my brothers; he thought. As much as Robb"
Samwell T (Sam), Alliser T (Ser Alliser), 1106624, "lunged at Ser Alliser's face with the dagger; slashing at those cold onyx eyes; but Sam"
Jon S (Jon), Samwell T (Sam), 1106666, "dagger; slashing at those cold onyx eyes; but Sam threw himself between them and before Jon"
Pyp (Pyp), Samwell T (Sam), 1106692, "onyx eyes; but Sam threw himself between them and before Jon could get around him; Pyp"
Aemon T (Aemon), Samwell T (Samwell Tarly), 1282542, "been breathed to him � save by Samwell Tarly; who'd read the letter to Maester Aemon"
Jon S (Jon), Samwell T (Samwell Tarly), 1282576, "by Samwell Tarly; who'd read the letter to Maester Aemon and whispered its contents to Jon"
Grenn (Grenn), Samwell T (Sam), 1292387, "friend Sam bought the garnets in Mole's Town."  "We knew even before that; though;" Grenn"
Samwell T (Samwell), Jon S (Jon), 1295501, "the litter. He was different; so they drove him out.  "Jon?" He looked up. Samwell"
Jon S (Jon), Samwell T (Sam), 1295660, "wrapped in a heavy fur cloak that made him look ready for hibernation.  "Sam." Jon"
Samwell T (Sam), Jon S (Jon), 1296217, "was not time for his bandages to be changed. Jon frowned suspiciously. "Why?" he demanded. Sam"
Jon S (Jon), Samwell T (Sam), 1296291, ""Why?" he demanded. Sam looked miserable. That was answer enough. "You told him; didn't you?" Jon"
Samwell T (Sam), Jon S (Jon), 1296540, ""He's blind;" Jon pointed out forcefully; disgusted. "I can find the way myself." He left Sam"
Aemon T (Aemon), Samwell T (Sam), 1296607, "the way myself." He left Sam standing there; openmouthed and quivering.  He found Maester Aemon"
Jon S (Jon), Samwell T (Sam), 1296816, "cage. "Sam said you wanted me?"  The maester nodded. "I did indeed. Clydas; give Jon"
Jon S (Jon), Samwell T (Sam), 1519628, "He threw a giant's shadow; immense and black. "Get out of my way; Sam."  "Jon"
Samwell T (Sam), Jon S (Jon), 1519645, "giant's shadow; immense and black. "Get out of my way; Sam."  "Jon; you can't;" Sam"
Jon S (Jon), Samwell T (Sam), 1519706, "you can't;" Sam said. "I won't let you."  "I would sooner not hurt you;" Jon"
Samwell T (Sam), Jon S (Jon), 1519733, "won't let you."  "I would sooner not hurt you;" Jon told him. "Move aside; Sam"
Samwell T (Sam), Jon S (Jon), 1521573, "boy was dutiful and easily frightened; but he loved Jon like a brother. If questioned; Sam"
Jon S (Jon), Samwell T (Sam), 1521618, "loved Jon like a brother. If questioned; Sam would doubtless tell them the truth; but Jon"
