Sandor C Encounters:
Sandor C (Sandor), Jaime L (Jaime Lannister), 71591, "riders. There came Ser Jaime Lannister with hair as bright as beaten gold; and there Sandor"
Sandor C (Hound), Tyrion L (Tyrion), 165035, "I wish he would be quicker about it."  Tyrion glanced down and saw the Hound"
Joffrey B (Joffrey), Sandor C (Hound), 165063, "be quicker about it."  Tyrion glanced down and saw the Hound standing with young Joffrey"
Sandor C (Sandor), Joffrey B (Joffrey), 165949, "name."  Joffrey had the grace at least to blush.  "A voice from nowhere;" Sandor"
Sandor C (Sandor), Cersei L (the queen), 168236, "find my brother?"  "Breaking fast with the queen."  "Ah;" Tyrion said. He gave Sandor"
Sandor C (Sandor), Tyrion L (Tyrion), 168236, "find my brother?"  "Breaking fast with the queen."  "Ah;" Tyrion said. He gave Sandor"
Sandor C (Hound), Sansa S (Sansa), 277266, "not half so terrifying as the other. Still; Sansa wrenched away from him; and the Hound"
Sansa S (Sansa), Sandor C (Hound), 277330, "away from him; and the Hound laughed; and Lady moved between them; rumbling a warning. Sansa"
Sansa S (Sansa), Sandor C (Hound), 277747, "camp?" and the Hound's rasping voice replied; "The Starks use them for wet nurses;" and Sansa"
Sansa S (Sansa), Sandor C (Hound), 278490, "my betrothed."  The Hound; ever faithful; bowed and slid away quietly through the press. Sansa"
Sandor C (Hound), Ilyn P (Ilyn), 282412, "so gallant; she thought. The way he had rescued her from Ser Ilyn and the Hound"
Sandor C (Sandor), Jaime L (Jaime Lannister), 295194, "were Lannister men; and hostile. Their only good fortune was that both Jaime Lannister and Sandor"
Sandor C (Hound), Eddard S (Hand), 303746, "a heavy shape wrapped in a bloody cloak. "No sign of your daughter; Hand;" the Hound"
Sandor C (Hound), Eddard S (Ned), 304229, "some terrible blow struck from above.  "You rode him down;" Ned said.  The Hound"
Sandor C (Hound), Cersei L (the queen), 418684, "a lie. They'd let the queen kill Lady; that was horrible enough; but then the Hound"
Mycah (Mycah), Sandor C (Hound), 418696, "They'd let the queen kill Lady; that was horrible enough; but then the Hound found Mycah"
Jeyne P (Jeyne), Sandor C (Hound), 418703, "let the queen kill Lady; that was horrible enough; but then the Hound found Mycah. Jeyne"
Arya S (Arya), Sandor C (Hound), 418723, "Lady; that was horrible enough; but then the Hound found Mycah. Jeyne Poole had told Arya"
Sandor C (Hound), Jory C (Jory), 420507, "into her room; not Septa Mordane or Fat Tom or Sansa or Jory or the Hound"
Sandor C (Hound), Sansa S (Sansa), 420507, "into her room; not Septa Mordane or Fat Tom or Sansa or Jory or the Hound"
Sandor C (Hound), Septa M (Septa Mordane), 420507, "into her room; not Septa Mordane or Fat Tom or Sansa or Jory or the Hound"
Sandor C (Hound), Tom (Fat Tom), 420507, "into her room; not Septa Mordane or Fat Tom or Sansa or Jory or the Hound"
Arya S (Arya), Sandor C (Hound), 420565, "Jory or the Hound; nobody! She slammed it now.  When the bar was down; Arya"
Sandor C (Hound), Mycah (butchers boy), 426190, "never blame yourself. You did not kill the butchers boy. That murder lies at the Hound"
Arya S (Arya), Sandor C (Hound), 426255, "at the Hound's door; him and the cruel woman he serves."  "I hate them;" Arya"
Sandor C (Hound), Arya S (Arya), 426298, "and the cruel woman he serves."  "I hate them;" Arya confided; red-faced; sniffling. "The Hound"
Cersei L (the queen), Sandor C (Hound), 426312, "woman he serves."  "I hate them;" Arya confided; red-faced; sniffling. "The Hound and the queen"
Robert B (the king), Sandor C (Hound), 426325, " "I hate them;" Arya confided; red-faced; sniffling. "The Hound and the queen and the king"
