Shagga Encounters:
Shagga (Shagga), Conn (Conn), 902647, "for me; but it should fit Conn nicely; and the battle-axe I carry would suit Shagga"
Conn (Conn), Shagga (Shagga), 903217, "replied.  The huge one; Shagga; laughed first and loudest. The others seemed less amused. "Conn"
Tyrion L (Tyrion), Shagga (Shagga), 903945, " Shagga gave a roar of anger and clashed club against axe. Jaggot poked at Tyrion"
Shagga (Shagga), Tyrion L (Tyrion), 1193255, ""Best for Tyrion son of Tywin;" said Ulf; who spoke for the Moon Brothers.  Shagga"
Shagga (Shagga), Tywin L (Tywin), 1193255, ""Best for Tyrion son of Tywin;" said Ulf; who spoke for the Moon Brothers.  Shagga"
Tyrion L (Tyrion), Shagga (Shagga), 1193459, "lies; Shagga will chop off his manhood�"  "�and feed it to the goats; yes;" Tyrion"
Shagga (Shagga), Tyrion L (Tyrion), 1193481, "chop off his manhood�"  "�and feed it to the goats; yes;" Tyrion said wearily. "Shagga"
Conn (Conn), Shagga (Shagga), 1193816, "become such friends. But as you will. You shall ride with me; and Shagga and Conn"
Timett (Timett), Shagga (Shagga), 1193875, "me; and Shagga and Conn for the Stone Crows; Ulf for the Moon Brothers; and Timett"
Tyrion L (Tyrion), Shagga (Shagga), 1199593, "horses. Shagga did not want to give his up. "The lad won't steal your mare;" Tyrion"
Shagga (Shagga), Tyrion L (Tyrion), 1207795, ""What; no goats?" Tyrion said; taking a bite of cheese.  The other clansmen followed Shagga"
Bronn (Bronn), Shagga (Shagga), 1207823, "taking a bite of cheese.  The other clansmen followed Shagga into the common room; Bronn"
Tyrion L (Tyrion), Shagga (Shagga), 1207860, "The other clansmen followed Shagga into the common room; Bronn with them. The sellsword gave Tyrion"
Shagga (Shagga), Conn (Conn), 1208921, "they take fifty more." Tyrion waddled away from her. "This is Conn son of Coratt. Shagga"
Shagga (Shagga), Tyrion L (Tyrion), 1208921, "they take fifty more." Tyrion waddled away from her. "This is Conn son of Coratt. Shagga"
Timett (Timett), Shagga (Shagga), 1209749, "strongholds; my lords?"  "Horses;" said Shagga.  "A promise of silk and steel;" said Timett"
Tyrion L (Tyrion), Shagga (Shagga), 1209772, "said Shagga.  "A promise of silk and steel;" said Timett son of Timett.  Tyrion"
Shagga (Shagga), Conn (Conn), 1212094, "the Stone Crows have been there first;" Conn declared hotly. "We ride as well."  "Shagga"
Tyrion L (Tyrion), Shagga (Shagga), 1327253, "black steel ones with twin crescent blades."  "Shagga likes to kill with either hand;" Tyrion"
Tyrion L (Tyrion), Shagga (Shagga), 1327451, "back."  "Shagga is of the opinion that three axes are even better than two." Tyrion"
Shagga (Shagga), Bronn (Bronn), 1328523, "they were hoping to get the sausage back; I couldn't say. Bronn managed to keep Shagga"
Shagga (Shagga), Conn (Conn), 1328647, "cock; which was fortunate; but even so Ulf is demanding blood money; which Conn and Shagga"
Tyrion L (Halfman), Shagga (Shagga), 1347805, "Shagga had an axe in either hand. He smashed them together and made them ring. "Halfman"
Tyrion L (Tyrion), Shagga (Shagga), 1351631, "and galloped past him; and Shagga howled and followed. The clansmen charged after them; leaving Tyrion"
Shagga (Shagga), Gregor C (Mountain), 1352532, "last red breath; the Mountain rose untouched; laying about him with his two-handed greatsword.  Shagga"
Shagga (Shagga), Tyrion L (Tyrion), 1353231, "was crumbling; the northerners reeling back under the impact of the mounted assault. Tyrion saw Shagga"
Conn (Conn), Shagga (Shagga), 1360353, "his Moon Brothers sprawled around him. Shagga was slumped beneath a tree; riddled with arrows; Conn"
Tyrion L (Tyrion), Shagga (Shagga), 1360379, "him. Shagga was slumped beneath a tree; riddled with arrows; Conn's head in his lap. Tyrion"
Shagga (Shagga), Tyrion L (Tyrion), 1360437, "Conn's head in his lap. Tyrion thought they were both dead; but as he dismounted; Shagga"
Conn (Conn), Shagga (Shagga), 1360486, "both dead; but as he dismounted; Shagga opened his eyes and said; "They have killed Conn"
Shagga (Shagga), Bronn (Bronn), 1360631, "red stain over his breast; where the spear thrust had killed him. When Bronn pulled Shagga"
Timett (Timett), Shagga (Shagga), 1361003, "they were yanking arrows out of Shagga; and showed them four ears she had taken. Timett"
Timett (Timett), Shagga (Shagga), 1515228, "women; they may take what they want and burn the rest."  "Telling Shagga and Timett"
Tyrion L (Tyrion), Shagga (Shagga), 1515290, ""Telling Shagga and Timett how to pillage is like telling a rooster how to crow;" Tyrion"
