Stannis B Encounters:
Stannis B (Stannis), Robert B (Robert), 155956, "like a brother."  "Robert can barely stomach his brothers. Not that I blame him. Stannis"
Renly B (Renly), Stannis B (Stannis), 156042, "Stannis would be enough to give anyone indigestion."  "Don't play the fool. Stannis and Renly"
Eddard S (Eddard), Stannis B (Stannis), 156068, "give anyone indigestion."  "Don't play the fool. Stannis and Renly are one thing; and Eddard"
Robert B (Robert), Stannis B (Stannis), 156099, "play the fool. Stannis and Renly are one thing; and Eddard Stark is quite another. Robert"
Stannis B (Stannis), Robert A (RobertArryn), 216312, "a Warden of the East. If RobertArryn will not do; name one of your brothers. Stannis"
Stannis B (Lord Stannis), Renly B (Renly), 329459, "the king's own councillor. Selmy and Lord Renly rode north to meet Robert; and Lord Stannis"
Stannis B (Lord Stannis), Robert B (Robert), 329459, "the king's own councillor. Selmy and Lord Renly rode north to meet Robert; and Lord Stannis"
Pycelle (Maester Pycelle), Stannis B (Lord Stannis), 329512, "rode north to meet Robert; and Lord Stannis is gone to Dragonstone; leaving only Maester Pycelle"
Robert B (the king), Stannis B (Stannis Baratheon), 347539, "arm at the siege of Storm's End. Before that he'd smithed for Stannis Baratheon; the king"
Robert B (the king), Stannis B (Lord Stannis), 369333, "five;" he pointed out.  "Lord Stannis took himself to Dragonstone not long after the king"
Varys (Varys), Stannis B (Lord Stannis), 369352, "out.  "Lord Stannis took himself to Dragonstone not long after the king went north;" Varys"
Stannis B (Stannis), Renly B (Renly), 527389, "walking bowlegged and jingling with each step."  Lord Renly laughed. "We're fortunate my brother Stannis"
Stannis B (Stannis), Eddard S (Ned), 527844, "do his duty."  Ned had not joined the laughter. "I wonder about your brother Stannis"
Stannis B (Lord Stannis), Renly B (Renly), 532041, "help choose the design; the potboy said. No; not Lord Renly; the other one; Lord Stannis"
Jon A (LordJon), Stannis B (Lord Stannis), 532117, "Lord Stannis.  "Did our watchman recall anything else of note?"  "The lad swears LordJon"
Stannis B (Lord Stannis), Jon A (LordJon), 532190, "LordJon was as strong as a man half his age. Often went riding with Lord Stannis"
Eddard S (Ned), Stannis B (Stannis), 532221, "man half his age. Often went riding with Lord Stannis; he says."  Stannis again; Ned"
Jon A (JonArryn), Stannis B (Stannis), 532262, "riding with Lord Stannis; he says."  Stannis again; Ned thought. He found that curious. JonArryn"
Stannis B (Stannis), Robert B (Robert), 532369, "had been cordial; but never friendly. And while Robert had been riding north to Winterfell; Stannis"
Stannis B (Stannis), Eddard S (Ned), 532714, "a brothel."  "A brothel?" Ned said. "The LordoftheEyrie and HandoftheKingArryn visited a brothel with Stannis"
Stannis B (Stannis), Jon A (LordoftheEyrie), 532714, "a brothel."  "A brothel?" Ned said. "The LordoftheEyrie and HandoftheKingArryn visited a brothel with Stannis"
Renly B (Renly), Stannis B (Stannis Baratheon), 532784, "HandoftheKingArryn visited a brothel with Stannis Baratheon?" He shook his head; incredulous; wondering what Lord Renly"
Robert B (Robert), Stannis B (Stannis Baratheon), 532818, "Baratheon?" He shook his head; incredulous; wondering what Lord Renly would make of this tidbit. Robert"
Stannis B (Stannis), Robert B (Robert), 532902, "this tidbit. Robert's lusts were the subject of ribald drinking songs throughout the realm; but Stannis"
Robert B (the king), Stannis B (Stannis), 532965, "realm; but Stannis was a different sort of man; a bare year younger than the king"
Stannis B (Lord Stannis), Colemon (Maester Colemon), 533411, "dryly. "The gods are doing their best to vex us. Lady Lysa; Maester Colemon; Lord Stannis"
Stannis B (Lord Stannis), Lysa A (Lady Lysa), 533411, "dryly. "The gods are doing their best to vex us. Lady Lysa; Maester Colemon; Lord Stannis"
Jon A (JonArryn), Stannis B (Lord Stannis), 533485, "Colemon; Lord Stannis � everyone who might actually know the truth of what happened to JonArryn"
Stannis B (Lord Stannis), Jon A (JonArryn), 533545, "of what happened to JonArryn is a thousand leagues away."  "Will you summon Lord Stannis"
Eddard S (Ned), Stannis B (Lord Stannis), 533585, "thousand leagues away."  "Will you summon Lord Stannis back from Dragonstone?"  "Not yet;" Ned"
Jon A (JonArryn), Stannis B (Stannis), 533758, "The matter nagged at him. Why did Stannis leave? Had he played some part in JonArryn"
