Arya Encounters:
Sansa (Sansa), Arya (Arya), 40843, "could feel the eyes watching her, but she did her best to ignore them. �Arya is already in love, and Sansa"
Rickon (Rickon), Arya (Arya), 40879, "but she did her best to ignore them. �Arya is already in love, and Sansa is charmed and gracious, but Rickon"
Eddard (Ned), Arya (Arya), 40920, "is already in love, and Sansa is charmed and gracious, but Rickon is not quite sure.�  �Is he afraid?� Ned"
Tommen (Tommen), Arya (Arya), 94792, "he was grinning like a fool.  His half sisters escorted the royal princes. Arya was paired with plump young Tommen"
Sansa (Sansa), Arya (Arya), 94844, "half sisters escorted the royal princes. Arya was paired with plump young Tommen, whose white-blond hair was longer than hers. Sansa"
Arya (Arya), Brandon (Bran), 102893, "the Warden of the North. Bran and Rickon would be Robb�s bannermen and rule holdfasts in his name. His sisters Arya"
Arya (Arya), Rickon (Rickon), 102893, "the Warden of the North. Bran and Rickon would be Robb�s bannermen and rule holdfasts in his name. His sisters Arya"
Arya (Arya), Robb (Robb), 102893, "the Warden of the North. Bran and Rickon would be Robb�s bannermen and rule holdfasts in his name. His sisters Arya"
Sansa (Sansa), Arya (Arya), 102903, "of the North. Bran and Rickon would be Robb�s bannermen and rule holdfasts in his name. His sisters Arya and Sansa"
Arya (Arya), Catelyn (Catelyn), 121375, "age to marry too.�  Sansa would shine in the south, Catelyn thought to herself, and the gods knew that Arya"
Arya (Arya), Sansa (Sansa), 121375, "age to marry too.�  Sansa would shine in the south, Catelyn thought to herself, and the gods knew that Arya"
Brandon (Bran), Arya (Arya), 121453, "herself, and the gods knew that Arya needed refinement. Reluctantly, she let go of them in her heart. But not Bran"
Sansa (Sansa), Arya (Arya), 127804, "Arya�s stitches were crooked again.  She frowned down at them with dismay and glanced over to where her sister Sansa"
Arya (Arya), Catelyn (Catelyn), 128041, "is,� Septa Mordane told their lady mother once. �She has such fine, delicate hands.� When Lady Catelyn had asked about Arya"
Arya (Arya), Septa (Septa Mordane), 128041, "is,� Septa Mordane told their lady mother once. �She has such fine, delicate hands.� When Lady Catelyn had asked about Arya"
Septa (Septa), Arya (Arya), 128163, "the septa had sniffed. �Arya has the hands of a blacksmith.�  Arya glanced furtively across the room, worried that Septa"
Arya (Arya), Myrcella (Myrcella), 128485, "instruct a royal princess in the womanly arts, as she had said when the queen brought Myrcella to join them. Arya"
Myrcella (Myrcella), Arya (Arya), 128507, "princess in the womanly arts, as she had said when the queen brought Myrcella to join them. Arya thought that Myrcella"
Septa (Septa), Arya (Arya), 128594, "them. Arya thought that Myrcella�s stitches looked a little crooked too, but you would never know it from the way Septa"
Arya (Arya), Jeyne (Jeyne Poole), 129000, "she said, and Jeyne Poole was leaning over to whisper something in her ear.  �What are you talking about?� Arya"
Jeyne (Jeyne), Arya (Arya), 129023, "Poole was leaning over to whisper something in her ear.  �What are you talking about?� Arya asked suddenly.  Jeyne"
Sansa (Sansa), Arya (Arya), 129069, "her ear.  �What are you talking about?� Arya asked suddenly.  Jeyne gave her a startled look, then giggled. Sansa"
Arya (Arya), Jeyne (Jeyne), 129133, " Jeyne gave her a startled look, then giggled. Sansa looked abashed. Beth blushed. No one answered.  �Tell me,� Arya"
Arya (Arya), Sansa (Sansa), 129133, " Jeyne gave her a startled look, then giggled. Sansa looked abashed. Beth blushed. No one answered.  �Tell me,� Arya"
Jeyne (Jeyne), Arya (Arya), 129146, "her a startled look, then giggled. Sansa looked abashed. Beth blushed. No one answered.  �Tell me,� Arya said.  Jeyne"
Septa (Septa), Arya (Arya), 129186, "looked abashed. Beth blushed. No one answered.  �Tell me,� Arya said.  Jeyne glanced over to make certain that Septa"
Myrcella (Myrcella), Arya (Arya), 129222, "one answered.  �Tell me,� Arya said.  Jeyne glanced over to make certain that Septa Mordane was not listening. Myrcella"
Arya (Arya), Sansa (Sansa), 129381, "rest of the ladies.  �We were talking about the prince,� Sansa said, her voice soft as a kiss.  Arya"
Joffrey (Joffrey), Arya (Arya), 129418, "were talking about the prince,� Sansa said, her voice soft as a kiss.  Arya knew which prince she meant: Joffrey"
Sansa (Sansa), Arya (Arya), 129460, "her voice soft as a kiss.  Arya knew which prince she meant: Joffrey, of course. The tall, handsome one. Sansa"
Arya (Arya), Joffrey (Joffrey), 129499, "which prince she meant: Joffrey, of course. The tall, handsome one. Sansa got to sit with him at the feast. Arya"
Arya (Arya), Sansa (Sansa), 129499, "which prince she meant: Joffrey, of course. The tall, handsome one. Sansa got to sit with him at the feast. Arya"
Joffrey (Joffrey), Arya (Arya), 129556, "Sansa got to sit with him at the feast. Arya had to sit with the little fat one. Naturally.  �Joffrey"
Jeyne (Jeyne), Arya (Arya), 129582, "with him at the feast. Arya had to sit with the little fat one. Naturally.  �Joffrey likes your sister,� Jeyne"
Arya (Arya), Sansa (Sansa), 129953, "be queen of all the realm.�  Sansa had the grace to blush. She blushed prettily. She did everything prettily, Arya"
Sansa (Sansa), Arya (Arya), 130028, "to blush. She blushed prettily. She did everything prettily, Arya thought with dull resentment. �Beth, you shouldn�t make up stories,� Sansa"
Arya (Arya), Sansa (Sansa), 130140, "Sansa corrected the younger girl, gently stroking her hair to take the harshness out of her words. She looked at Arya"
Joffrey (Prince Joff), Arya (Arya), 130176, "her hair to take the harshness out of her words. She looked at Arya. �What did you think of Prince Joff"
Jon (Jon), Arya (Arya), 130228, "words. She looked at Arya. �What did you think of Prince Joff, sister? He�s very gallant, don�t you think?�  �Jon"
