Hodor Encounters:
Hodor (Hodor), Nan (Old Nan), 145961, "intending to visit the ones who would be left behind, Old Nan and Gage the cook, Mikken in his smithy, Hodor"
Hodor (Hodor), Brandon (Bran), 146413, "behind, and all of a sudden Bran just wanted to sit down and cry. He turned and ran off before Hodor"
Brandon (Bran), Hodor (Hodor), 146519, "Hodor and the other stableboys could see the tears in his eyes. That was the end of his farewells. Instead Bran"
Hal (Hal), Hodor (Hodor), 256538, "stableboys. Could be Hodor saw him, the talk is that boy�s been acting queer, but simple as he is �� Hal"
Nan (Old Nan), Hodor (Hodor), 458759, "All that was left of her own blood was Hodor, the simpleminded giant who worked in the stables, but Old Nan"
Hodor (Hodor), Brandon (Bran), 465038, "a bang, and Bran�s heart leapt up into his mouth in sudden fear, but it was only Maester Luwin, with Hodor"
Hodor (Hodor), Luwin (Maester Luwin), 465038, "a bang, and Bran�s heart leapt up into his mouth in sudden fear, but it was only Maester Luwin, with Hodor"
Luwin (Maester Luwin), Hodor (Hodor), 465170, "in the stairway behind him. �Hodor!� the stableboy announced, as was his custom, smiling hugely at them all.  Maester Luwin"
Hodor (Hodor), Jon (Jon), 465652, "Lannister, and some men of the Night�s Watch, with word from your brother Jon. Robb is meeting with them now. Hodor"
Hodor (Hodor), Robb (Robb), 465652, "Lannister, and some men of the Night�s Watch, with word from your brother Jon. Robb is meeting with them now. Hodor"
Brandon (Bran), Hodor (Hodor), 465672, "of the Night�s Watch, with word from your brother Jon. Robb is meeting with them now. Hodor, will you help Bran"
Hodor (Hodor), Brandon (Bran), 465699, "from your brother Jon. Robb is meeting with them now. Hodor, will you help Bran down to the hall?�  �Hodor"
Nan (Old Nan), Hodor (Hodor), 465873, "door. Hodor was nearly seven feet tall. It was hard to believe that he was the same blood as Old Nan"
Brandon (Bran), Hodor (Hodor), 465879, "Hodor was nearly seven feet tall. It was hard to believe that he was the same blood as Old Nan. Bran"
Brandon (Bran), Hodor (Hodor), 466043, "when he was old. It did not seem likely, even if Hodor lived to be a thousand.  Hodor lifted Bran"
Theon (Theon), Hodor (Hodor), 466278, "was not a bad smell. His arms were thick with muscle and matted with brown hair. �Hodor,� he said again. Theon"
Hodor (Hodor), Theon (Theon Greyjoy), 466316, "arms were thick with muscle and matted with brown hair. �Hodor,� he said again. Theon Greyjoy had once commented that Hodor"
Nan (Old Nan), Hodor (Hodor), 466389, "had once commented that Hodor did not know much, but no one could doubt that he knew his name. Old Nan"
Hodor (Hodor), Brandon (Bran), 466462, "that he knew his name. Old Nan had cackled like a hen when Bran told her that, and confessed that Hodor"
Hodor (Hodor), Nan (Old Nan), 466462, "that he knew his name. Old Nan had cackled like a hen when Bran told her that, and confessed that Hodor"
Walder (Walder), Hodor (Hodor), 466485, "name. Old Nan had cackled like a hen when Bran told her that, and confessed that Hodor�s real name was Walder"
Hodor (Hodor), Walder (Walder), 466511, "like a hen when Bran told her that, and confessed that Hodor�s real name was Walder. No one knew where �Hodor"
Hodor (Hodor), Nan (Old Nan), 466707, "the only word he had.  They left Old Nan in the tower room with her needles and her memories. Hodor"
Brandon (Bran), Hodor (Hodor), 466744, "They left Old Nan in the tower room with her needles and her memories. Hodor hummed tunelessly as he carried Bran"
Luwin (Maester Luwin), Hodor (Hodor), 466803, "needles and her memories. Hodor hummed tunelessly as he carried Bran down the steps and through the gallery, with Maester Luwin"
Hodor (Hodor), Brandon (Bran), 467289, "four strangers in the black of the Night�s Watch. Bran could sense the anger in the hall the moment that Hodor"
Hodor (Hodor), Brandon (Bran), 468074, "in his face. �Your bastard brother has all your father�s graces, it would seem.�  �Jon,� Bran gasped out from Hodor"
Hodor (Hodor), Jon (Jon), 468074, "in his face. �Your bastard brother has all your father�s graces, it would seem.�  �Jon,� Bran gasped out from Hodor"
Hodor (Hodor), Robb (Robb), 468284, "believe it. You Starks are hard to kill.�  �You Lannisters had best remember that,� Robb said, lowering his sword. �Hodor"
Brandon (Bran), Hodor (Hodor), 468375, "said, lowering his sword. �Hodor, bring my brother here.�  �Hodor,� Hodor said, and he trotted forward smiling and set Bran"
Brandon (Bran), Hodor (Hodor), 474807, "but the black brothers thanked him all the same.  Summer followed them up the tower steps as Hodor carried Bran"
Nan (Old Nan), Hodor (Hodor), 474832, "all the same.  Summer followed them up the tower steps as Hodor carried Bran back to his bed. Old Nan"
Hodor (Hodor), Brandon (Bran), 474863, "them up the tower steps as Hodor carried Bran back to his bed. Old Nan was asleep in her chair. Hodor"
Hodor (Hodor), Nan (Old Nan), 474863, "them up the tower steps as Hodor carried Bran back to his bed. Old Nan was asleep in her chair. Hodor"
Brandon (Bran), Hodor (Hodor), 474960, "Nan was asleep in her chair. Hodor said �Hodor,� gathered up his great-grandmother, and carried her off, snoring softly, while Bran"
Robb (Robb), Hodor (Hodor), 474979, "in her chair. Hodor said �Hodor,� gathered up his great-grandmother, and carried her off, snoring softly, while Bran lay thinking. Robb"
Brandon (Bran), Hodor (Hodor), 476892, "hear,� he whispered, trembling in fear, but then the shadow said �Hodor,� and lit the candle by the bedside, and Bran"
Hodor (Hodor), Brandon (Bran), 476919, "fear, but then the shadow said �Hodor,� and lit the candle by the bedside, and Bran sighed with relief.  Hodor"
Hodor (Hodor), Sandor (Hound), 607763, "his brothers were all big men, as was the Hound, and back at Winterfell there was a simpleminded stableboy named Hodor"
Gregor (Mountain), Hodor (Hodor), 607825, "back at Winterfell there was a simpleminded stableboy named Hodor who dwarfed them all, but the knight they called the Mountain"
Hodor (Hodor), Gregor (Mountain), 607866, "stableboy named Hodor who dwarfed them all, but the knight they called the Mountain That Rides would have towered over Hodor"
Hodor (Hodor), Brandon (Bran), 776273, "rein and voice and touch. Up to now, Bran had only ridden her around the yard. At first Joseth or Hodor"
Brandon (Bran), Hodor (Hodor), 776300, "Up to now, Bran had only ridden her around the yard. At first Joseth or Hodor would lead her, while Bran"
Tyrion (Imp), Hodor (Hodor), 776356, "At first Joseth or Hodor would lead her, while Bran sat strapped to her back in the oversize saddle the Imp"
Hodor (Hodor), Brandon (Bran), 939901, "a galley. It will be an adventure, and then we�ll be with Bran and Robb again, and Old Nan and Hodor"
