Sandor Encounters:
Sandor (Sandor), Eddard (Ned), 71580, "Ned knew many of the riders. There came Ser Jaime Lannister with hair as bright as beaten gold, and there Sandor"
Sandor (Sandor), Jaime (Jaime Lannister), 71580, "Ned knew many of the riders. There came Ser Jaime Lannister with hair as bright as beaten gold, and there Sandor"
Sandor (Hound), Tyrion (Tyrion), 165022, "is a long time dying. I wish he would be quicker about it.�  Tyrion glanced down and saw the Hound"
Joffrey (Joffrey), Sandor (Hound), 165050, "dying. I wish he would be quicker about it.�  Tyrion glanced down and saw the Hound standing with young Joffrey"
Sandor (Sandor), Joffrey (Joffrey), 165936, "Unlike some princes I might name.�  Joffrey had the grace at least to blush.  �A voice from nowhere,� Sandor"
Tyrion (Tyrion), Sandor (Hound), 168011, "little lord,� the Hound warned him. The helm turned his laugh into a hollow rumble.  �I pray he does,� Tyrion"
Sandor (Sandor), Tyrion (Tyrion), 168223, "you know where I might find my brother?�  �Breaking fast with the queen.�  �Ah,� Tyrion said. He gave Sandor"
Sandor (Sandor), Sansa (Sansa), 276873, "and for a moment Sansa thought it was her father, but when she turned, it was the burned face of Sandor"
Sandor (Hound), Sansa (Sansa), 277255, "her now that he was not half so terrifying as the other. Still, Sansa wrenched away from him, and the Hound"
Sansa (Sansa), Sandor (Hound), 277319, "the other. Still, Sansa wrenched away from him, and the Hound laughed, and Lady moved between them, rumbling a warning. Sansa"
Sansa (Sansa), Sandor (Hound), 277736, "said, �What�s it doing in camp?� and the Hound�s rasping voice replied, �The Starks use them for wet nurses,� and Sansa"
Sansa (Sansa), Sandor (Hound), 278479, "away with you, you�re scaring my betrothed.�  The Hound, ever faithful, bowed and slid away quietly through the press. Sansa"
Sandor (Hound), Ilyn (Ilyn), 282403, "at Joffrey worshipfully. He was so gallant, she thought. The way he had rescued her from Ser Ilyn and the Hound"
Sandor (Hound), Joffrey (Joffrey), 282403, "at Joffrey worshipfully. He was so gallant, she thought. The way he had rescued her from Ser Ilyn and the Hound"
Daeryssa (Daeryssa), Sandor (Hound), 282509, "the Hound, why, it was almost like the songs, like the time Serwyn of the Mirror Shield saved the Princess Daeryssa"
Sandor (Sandor), Barristan (Barristan), 295195, "Barristan was grave; the rest were Lannister men, and hostile. Their only good fortune was that both Jaime Lannister and Sandor"
Sandor (Sandor), Jaime (Jaime Lannister), 295195, "Barristan was grave; the rest were Lannister men, and hostile. Their only good fortune was that both Jaime Lannister and Sandor"
Eddard (Ned), Sandor (Sandor Clegane), 295314, "Clegane were missing, leading searches north of the Trident. �Why was I not told that my daughter had been found?� Ned"
Sandor (Hound), Eddard (Ned), 304232, "from shoulder to waist by some terrible blow struck from above.  �You rode him down,� Ned said.  The Hound"
Mycah (Mycah), Sandor (Hound), 418734, "knew that was a lie. They�d let the queen kill Lady, that was horrible enough, but then the Hound found Mycah"
Jeyne (Jeyne), Sandor (Hound), 418741, "that was a lie. They�d let the queen kill Lady, that was horrible enough, but then the Hound found Mycah. Jeyne"
