Brandon S Encounters:
Robb S (Robb), Brandon S (Bran), 21276, "summer, and the seventh of Bran�s life.  The man had been taken outside a small holdfast in the hills. Robb"
Brandon S (Bran), Mance R (Rayder), 21375, "holdfast in the hills. Robb thought he was a wildling, his sword sworn to Mance Rayder, the King-beyond-the-Wall. It made Bran"
Brandon S (Bran), Robb S (Robb), 21375, "holdfast in the hills. Robb thought he was a wildling, his sword sworn to Mance Rayder, the King-beyond-the-Wall. It made Bran"
Nan (Old Nan), Brandon S (Bran), 21445, "to Mance Rayder, the King-beyond-the-Wall. It made Bran�s skin prickle to think of it. He remembered the hearth tales Old Nan"
Brandon S (Bran), Jon S (Jon), 22257, "cut down from the wall and dragged before them. Robb and Jon sat tall and still on their horses, with Bran"
Brandon S (Bran), Robb S (Robb), 22257, "cut down from the wall and dragged before them. Robb and Jon sat tall and still on their horses, with Bran"
Jon S (Jon), Brandon S (Bran), 24118, "the North, I do sentence you to die.� He lifted the greatsword high above his head.  Bran�s bastard brother Jon"
Brandon S (Bran), Jon S (Jon), 24883, "and kicked it away.  �Ass,� Jon muttered, low enough so Greyjoy did not hear. He put a hand on Bran"
Jon S (Jon), Brandon S (Bran), 24960, "not hear. He put a hand on Bran�s shoulder, and Bran looked over at his bastard brother. �You did well,� Jon"
Brandon S (Bran), Jon S (Jon), 26210, "and hooting, Jon silent and intent. The hooves of their horses kicked up showers of snow as they went.  Bran"
Brandon S (Bran), Jon S (Jon), 26840, "says the man died bravely, but Jon says he was afraid.�  �What do you think?� his father asked.  Bran"
Brandon S (Bran), Robb S (Robb), 26840, "says the man died bravely, but Jon says he was afraid.�  �What do you think?� his father asked.  Bran"
Nan (Old Nan), Brandon S (Bran), 27120, "a wildling,� Bran said. �They carry off women and sell them to the Others.�  His lord father smiled. �Old Nan"
Robert B (Robert), Brandon S (Bran), 27499, "why the man had to die, but why I must do it.�  Bran had no answer for that. �King Robert"
Robb S (Robb), Brandon S (Bran), 28008, "bear to do that, then perhaps the man does not deserve to die.  �One day, Bran, you will be Robb"
Brandon S (Bran), Jon S (Jon), 28391, "was when Jon reappeared on the crest of the hill before them. He waved and shouted down at them. �Father, Bran"
