Bronn Encounters:
Bronn (Bronn), Tyrion L (Tyrion), 630792, "of us may,� Tyrion told him. �I am not fond of eating horse. Particularly my horse.�  �Meat is meat,� Bronn"
Tyrion L (Tyrion), Bronn (Bronn), 631520, "in two bites. �Tastes well bred.�  �Better if you fry it up with onions,� Bronn put in.  Wordlessly, Tyrion"
Bronn (Bronn), Catelyn S (Catelyn), 634101, "black brother stepped aside silently when the old knight by Catelyn Stark�s side said, �Take their weapons,� and the sellsword Bronn"
Jyck (Jyck), Bronn (Bronn), 634145, "knight by Catelyn Stark�s side said, �Take their weapons,� and the sellsword Bronn stepped forward to pull the sword from Jyck"
Bronn (Bronn), Willis W (Willis), 642620, "Kurleket would learn that someday, as would his friends Lharys and Mohor, and the good Ser Willis, and the sellswords Bronn"
Chiggen (Chiggen), Bronn (Bronn), 642632, "learn that someday, as would his friends Lharys and Mohor, and the good Ser Willis, and the sellswords Bronn and Chiggen"
Marillion (Marillion), Bronn (Bronn), 642685, "and Mohor, and the good Ser Willis, and the sellswords Bronn and Chiggen. He planned an especially sharp lesson for Marillion"
Tyrion L (Tyrion), Bronn (Bronn), 648949, "went to one knee beside the road. He was a better archer than swordsman. And Bronn rode up to offer Tyrion"
Chiggen (Chiggen), Bronn (Bronn), 649270, "Bronn said, drawing his longsword from the scabbard across his back. He spat, and trotted off to form up beside Chiggen"
Bronn (Bronn), Rodrik C (Ser Rodrik), 650412, "a striped shadowskin cloak, armed with a two-handed greatsword.  Ser Rodrik shouted �Winterfell!� and rode to meet him, with Bronn"
Chiggen (Chiggen), Bronn (Bronn), 650424, "shadowskin cloak, armed with a two-handed greatsword.  Ser Rodrik shouted �Winterfell!� and rode to meet him, with Bronn and Chiggen"
Willis W (Willis), Bronn (Bronn), 650483, "Rodrik shouted �Winterfell!� and rode to meet him, with Bronn and Chiggen beside him, screaming some wordless battle cry. Ser Willis"
Willis W (Willis Wode), Bronn (Bronn), 650488, "shouted �Winterfell!� and rode to meet him, with Bronn and Chiggen beside him, screaming some wordless battle cry. Ser Willis Wode"
Bronn (Bronn), Chiggen (Chiggen), 650874, "horses and the crash of metal on metal. Chiggen�s sword raked across the naked face of a mailed rider, and Bronn"
Rodrik C (Ser Rodrik), Bronn (Bronn), 650966, "of a mailed rider, and Bronn plunged through the clansmen like a whirlwind, cutting down foes right and left. Ser Rodrik"
Tyrion L (Tyrion), Bronn (Bronn), 652829, "hissed past his ear and clattered off the rocks. He saw Bronn unhorsed, fighting with a sword in each hand. Tyrion"
Jyck (Jyck), Bronn (Bronn), 654720, "the sun seemed scarcely to have moved at all.  �Your first battle?� Bronn asked later as he bent over Jyck"
Bronn (Bronn), Tywin L (Tywin), 654867, "They were good boots, as befit one of Lord Tywin�s men; heavy leather, oiled and supple, much finer than what Bronn"
