Brynden T Encounters:
Brynden T (Brynden), Catelyn S (Catelyn), 45551, "uncle waits in the Vale, does he not? Jon named him Knight of the Gate, I�d heard.�  Catelyn nodded. �Brynden"
Brynden T (Brynden), Jon S (Jon), 45551, "uncle waits in the Vale, does he not? Jon named him Knight of the Gate, I�d heard.�  Catelyn nodded. �Brynden"
Catelyn S (Catelyn), Brynden T (Brynden Tully), 706092, "again.�  �The years have not improved it, I fear,� Brynden Tully said, but when he lifted off the helm, Catelyn"
Rodrik C (Ser Rodrik), Brynden T (Brynden), 708700, "�We can be at the mountain by evenfall,� Uncle Brynden said, �but the climb will take another day.�  Ser Rodrik"
Brynden T (Brynden), Bronn (Bronn), 711365, "her uncle as they began the descent to the valley floor. Behind came Bronn, Tyrion Lannister, Marillion, and six of Brynden"
Brynden T (Brynden), Marillion (Marillion), 711365, "her uncle as they began the descent to the valley floor. Behind came Bronn, Tyrion Lannister, Marillion, and six of Brynden"
Brynden T (Brynden), Tyrion L (Tyrion Lannister), 711365, "her uncle as they began the descent to the valley floor. Behind came Bronn, Tyrion Lannister, Marillion, and six of Brynden"
Brynden T (Brynden), Tyrion L (Tyrion Lannister), 711944, "Lannister in the crossroads inn.  Her uncle listened silently, heavy brows shadowing his eyes as his frown grew deeper. Brynden"
Hoster T (Lord Hoster), Brynden T (Brynden Tully), 712028, "frown grew deeper. Brynden Tully had always known how to listen � to anyone but her father. He was Lord Hoster"
Brynden T (Brynden), Catelyn S (Catelyn), 712229, "far back as Catelyn could remember. During one of their louder quarrels, when Catelyn was eight, Lord Hoster had called Brynden"
Brynden T (Brynden), Hoster T (Lord Hoster), 712229, "far back as Catelyn could remember. During one of their louder quarrels, when Catelyn was eight, Lord Hoster had called Brynden"
Brynden T (Brynden), Lysa A (Lysa), 712581, "war had not ended until the day she and Lysa had been wed. It was at their wedding feast that Brynden"
Lysa A (Lysa), Brynden T (Brynden), 712636, "had been wed. It was at their wedding feast that Brynden told his brother he was leaving Riverrun to serve Lysa"
Robert A (Lord of the Eyrie), Brynden T (Brynden), 712679, "that Brynden told his brother he was leaving Riverrun to serve Lysa and her new husband, the Lord of the Eyrie"
Brynden T (Brynden), Catelyn S (Catelyn), 712866, "what Edmure told her in his infrequent letters.  Nonetheless, during all those years of Catelyn�s girlhood, it had been Brynden"
Brynden T (Brynden), Edmure T (Edmure), 712866, "what Edmure told her in his infrequent letters.  Nonetheless, during all those years of Catelyn�s girlhood, it had been Brynden"
Hoster T (Lord Hoster), Brynden T (Brynden the Blackfish), 712900, "infrequent letters.  Nonetheless, during all those years of Catelyn�s girlhood, it had been Brynden the Blackfish to whom Lord Hoster"
Jon S (Jon), Brynden T (Brynden Tully), 713836, "the defenses of the north. �What is the mood in the Vale?� she asked.  �Angry,� Brynden Tully admitted. �Lord Jon"
Jaime L (Jaime), Brynden T (Brynden Tully), 713909, " �Angry,� Brynden Tully admitted. �Lord Jon was much loved, and the insult was keenly felt when the king named Jaime"
