Cohollo Encounters:
Cohollo (Cohollo), Haggo (Haggo), 197556, "the traditional three weapons, and splendid weapons they were. Haggo gave her a great leather whip with a silver handle, Cohollo"
Qotho (Qotho), Cohollo (Cohollo), 197602, "were. Haggo gave her a great leather whip with a silver handle, Cohollo a magnificent arakh chased in gold, and Qotho"
Illyrio M (Magister Illyrio), Cohollo (Cohollo), 197671, "silver handle, Cohollo a magnificent arakh chased in gold, and Qotho a double-curved dragonbone bow taller than she was. Magister Illyrio"
Daenerys T (Dany), Cohollo (Cohollo), 766496, "crones of the dosh khaleen had decreed, all Dothraki were one blood, one khalasar, one herd.  Cohollo came to Dany"
Irri (Irri), Cohollo (Cohollo), 766504, "the dosh khaleen had decreed, all Dothraki were one blood, one khalasar, one herd.  Cohollo came to Dany as Irri"
Jhiqui (Jhiqui), Cohollo (Cohollo), 766515, "khaleen had decreed, all Dothraki were one blood, one khalasar, one herd.  Cohollo came to Dany as Irri and Jhiqui"
Drogo (Drogo), Cohollo (Cohollo), 766580, "Cohollo came to Dany as Irri and Jhiqui were helping her down off her silver. He was the oldest of Drogo"
Cohollo (Cohollo), Drogo (Khal Drogo), 767818, "that Khal Drogo did not hold to those ancient ways. She should not have liked being shared. And while old Cohollo"
Haggo (Haggo), Cohollo (Cohollo), 767878, "ways. She should not have liked being shared. And while old Cohollo treated her kindly enough, the others frightened her; Haggo"
Cohollo (Cohollo), Daenerys T (Khaleesi), 768807, "she would see that he had bloodriders of his own to protect him against treachery in his Kingsguard.  �Khaleesi,� Cohollo"
Drogo (Drogo), Cohollo (Cohollo), 768840, "bloodriders of his own to protect him against treachery in his Kingsguard.  �Khaleesi,� Cohollo said to her, in Dothraki. �Drogo"
Cohollo (Cohollo), Drogo (Khal Drogo), 967469, "to her feet.  Khal Drogo laced himself up and spoke a command, and horses were brought to the lakeshore. Cohollo"
Drogo (Drogo), Cohollo (Cohollo), 967530, "a command, and horses were brought to the lakeshore. Cohollo had the honor of helping the khaleesi onto her silver. Drogo"
Cohollo (Cohollo), Haggo (Haggo), 979826, "had been her brother by the arms. Haggo shattered his wrist with a single, sharp twist of his huge hands. Cohollo"
Viserys T (Viserys), Cohollo (Cohollo), 979883, "wrist with a single, sharp twist of his huge hands. Cohollo pulled the sword from his limp fingers. Even now Viserys"
Cohollo (Cohollo), Drogo (Khal Drogo), 1166773, "air and fire. Living flesh, not dead stone.  The brazier was cold again by the time Khal Drogo returned. Cohollo"
Cohollo (Cohollo), Daenerys T (Khaleesi), 1316820, "needle, and fire. �Why do they not attend the khal?�  �The khal sent the hairless men away, Khaleesi,� old Cohollo"
Daenerys T (Dany), Cohollo (Cohollo), 1316838, "�Why do they not attend the khal?�  �The khal sent the hairless men away, Khaleesi,� old Cohollo assured her. Dany"
Qotho (Qotho), Cohollo (Cohollo), 1322134, "outside,� she told the rest of them.  �We are blood of his blood,� Cohollo said. �Here we wait.�  Qotho"
Mirri M (Mirri), Cohollo (Cohollo), 1322157, "rest of them.  �We are blood of his blood,� Cohollo said. �Here we wait.�  Qotho stepped close to Mirri"
