Doreah Encounters:
Doreah (Doreah), Irri (Irri), 195042, "nothing; Illyrio no doubt had provided the girls. Irri and Jhiqui were copper-skinned Dothraki with black hair and almond-shaped eyes, Doreah"
Doreah (Doreah), Jhiqui (Jhiqui), 195042, "nothing; Illyrio no doubt had provided the girls. Irri and Jhiqui were copper-skinned Dothraki with black hair and almond-shaped eyes, Doreah"
Doreah (Doreah), Illyrio M (Illyrio), 195304, "by one. �Illyrio and I selected them personally for you. Irri will teach you riding, Jhiqui the Dothraki tongue, and Doreah"
Doreah (Doreah), Irri (Irri), 195304, "by one. �Illyrio and I selected them personally for you. Irri will teach you riding, Jhiqui the Dothraki tongue, and Doreah"
Doreah (Doreah), Jhiqui (Jhiqui), 195304, "by one. �Illyrio and I selected them personally for you. Irri will teach you riding, Jhiqui the Dothraki tongue, and Doreah"
Illyrio M (Illyrio), Doreah (Doreah), 195396, "the Dothraki tongue, and Doreah will instruct you in the womanly arts of love.� He smiled thinly. �She�s very good, Illyrio"
Doreah (Doreah), Daenerys T (Dany), 451338, "sun,� Dany whispered. �The sun warmed them as they rode.�  She commanded her handmaids to prepare her a bath. Doreah"
Irri (Irri), Doreah (Doreah), 451380, "they rode.�  She commanded her handmaids to prepare her a bath. Doreah built a fire outside the tent, while Irri"
Jhiqui (Jhiqui), Doreah (Doreah), 451391, " She commanded her handmaids to prepare her a bath. Doreah built a fire outside the tent, while Irri and Jhiqui"
Doreah (Doreah), Jhiqui (Jhiqui), 452967, "�It is known,� agreed Jhiqui.  �A trader from Qarth once told me that dragons came from the moon,� blond Doreah"
Jhiqui (Jhiqui), Doreah (Doreah), 453016, "once told me that dragons came from the moon,� blond Doreah said as she warmed a towel over the fire. Jhiqui"
Irri (Irri), Doreah (Doreah), 453025, "me that dragons came from the moon,� blond Doreah said as she warmed a towel over the fire. Jhiqui and Irri"
Daenerys T (Dany), Doreah (Doreah), 453050, "moon,� blond Doreah said as she warmed a towel over the fire. Jhiqui and Irri were of an age with Dany"
Doreah (Doreah), Daenerys T (Dany), 453135, "Jhiqui and Irri were of an age with Dany, Dothraki girls taken as slaves when Drogo destroyed their father�s khalasar. Doreah"
Doreah (Doreah), Drogo (Drogo), 453135, "Jhiqui and Irri were of an age with Dany, Dothraki girls taken as slaves when Drogo destroyed their father�s khalasar. Doreah"
Doreah (Doreah), Irri (Irri), 453135, "Jhiqui and Irri were of an age with Dany, Dothraki girls taken as slaves when Drogo destroyed their father�s khalasar. Doreah"
Illyrio M (Magister Illyrio), Doreah (Doreah), 453178, "age with Dany, Dothraki girls taken as slaves when Drogo destroyed their father�s khalasar. Doreah was older, almost twenty. Magister Illyrio"
Doreah (Doreah), Irri (Irri), 454082, "to oil her body and scrape the dirt from her pores. Afterward Irri sprinkled her with spiceflower and cinnamon. While Doreah"
Daenerys T (Dany), Doreah (Doreah), 454329, "cheese and fry bread, with a jug of honeyed wine to wash it down. �Doreah, stay and eat with me,� Dany"
Doreah (Doreah), Daenerys T (Dany), 455452, "Dany felt the eyes on her as she undressed him, heard the soft voices as she did the things that Doreah"
Daenerys T (Dany), Doreah (Doreah), 755914, "had done as she bid. It had taken much pleading, and all the pillow tricks Doreah had taught her, before Dany"
Drogo (Drogo), Doreah (Doreah), 755942, "had taken much pleading, and all the pillow tricks Doreah had taught her, before Dany had been able to make Drogo"
Viserys T (Viserys), Doreah (Doreah), 755967, "and all the pillow tricks Doreah had taught her, before Dany had been able to make Drogo relent and allow Viserys"
Doreah (Doreah), Qotho (Qotho), 768034, "forgotten who she was, and Qotho had cruel eyes and quick hands that liked to hurt. He left bruises on Doreah"
Irri (Irri), Doreah (Doreah), 768101, "hands that liked to hurt. He left bruises on Doreah�s soft white skin whenever he touched her, and sometimes made Irri"
Doreah (Doreah), Drogo (Drogo), 769440, "Her pregnancy only seemed to have inflamed Drogo�s desire for her, and of late his embraces left her exhausted.  Doreah"
