Edmure T Encounters:
Edmure T (Edmure), Lysa A (Lysa), 109752, "her walls warm to the touch. The warmth reminded her of Riverrun, of days in the sun with Lysa and Edmure"
Eddard S (Ned), Edmure T (Edmure), 109761, "warm to the touch. The warmth reminded her of Riverrun, of days in the sun with Lysa and Edmure, but Ned"
Edmure T (Edmure), Petyr B (Lord Baelish), 317499, "father had died several years before, so he was Lord Baelish now, yet still they called him Littlefinger. Her brother Edmure"
Edmure T (Edmure), Catelyn S (Catelyn), 560950, "airily. �They keep a chamber for me, and the young lord is like a brother.�  Catelyn smiled, wondering what Edmure"
Edmure T (Edmure), Hoster T (Lord Hoster), 712750, "and her new husband, the Lord of the Eyrie. Lord Hoster had not spoken his brother�s name since, from what Edmure"
Edmure T (Edmure), Robert A (Lord of the Eyrie), 712750, "and her new husband, the Lord of the Eyrie. Lord Hoster had not spoken his brother�s name since, from what Edmure"
Catelyn S (Catelyn), Edmure T (Edmure), 712834, "his brother�s name since, from what Edmure told her in his infrequent letters.  Nonetheless, during all those years of Catelyn"
Brynden T (Brynden), Edmure T (Edmure), 712866, "what Edmure told her in his infrequent letters.  Nonetheless, during all those years of Catelyn�s girlhood, it had been Brynden"
Edmure T (Edmure), Catelyn S (Catelyn), 713020, "children had run with their tears and their tales, when Father was too busy and Mother too ill. Catelyn, Lysa, Edmure"
Edmure T (Edmure), Lysa A (Lysa), 713020, "children had run with their tears and their tales, when Father was too busy and Mother too ill. Catelyn, Lysa, Edmure"
Petyr B (Petyr), Edmure T (Edmure), 713042, "tears and their tales, when Father was too busy and Mother too ill. Catelyn, Lysa, Edmure � and yes, even Petyr"
Petyr B (Petyr Baelish), Edmure T (Edmure), 713050, "and their tales, when Father was too busy and Mother too ill. Catelyn, Lysa, Edmure � and yes, even Petyr Baelish"
Edmure T (Edmure), Tywin L (Tywin), 844732, "he has sent riders to the Rock, demanding that Lord Tywin proclaim his intent, but he has had no answer. Edmure"
Karyl V (Lord Vance), Edmure T (Edmure), 844757, "to the Rock, demanding that Lord Tywin proclaim his intent, but he has had no answer. Edmure has commanded Lord Vance"
Marq P (Lord Piper), Edmure T (Edmure), 844772, "demanding that Lord Tywin proclaim his intent, but he has had no answer. Edmure has commanded Lord Vance and Lord Piper"
Hoster T (Lord of Riverrun), Edmure T (Edmure), 845174, "this one promised to. �Edmure has sent riders and made vows,� she said, �but Edmure is not the Lord of Riverrun"
Hoster T (Lord Hoster), Edmure T (Edmure), 845245, "Edmure is not the Lord of Riverrun. What of my lord father?�  �The message made no mention of Lord Hoster"
Edmure T (Edmure), Catelyn S (Catelyn), 847599, "any good, but you�d only bruise your hand.�  �There was a bird from Riverrun,� Catelyn began, �a letter from Edmure"
Brynden T (Brynden), Edmure T (Edmure), 847671, "Riverrun,� Catelyn began, �a letter from Edmure ��  �I know, child.� The black fish that fastened his cloak was Brynden"
Edmure T (Edmure), Lysa A (Lysa), 863368, "tower where he lay abed. Lysa helped their maester nurse him; she had been softer and shyer in those days. Edmure"
Petyr B (Petyr), Edmure T (Edmure), 863405, "maester nurse him; she had been softer and shyer in those days. Edmure had called on him as well, but Petyr"
Brandon S (Brandon), Edmure T (Edmure), 863457, "those days. Edmure had called on him as well, but Petyr had sent him away. Her brother had acted as Brandon"
