Harwin Encounters:
Hullen (Hullen), Harwin (Harwin), 32980, "lord he would someday be. �We will keep these pups.�  �You cannot do that, boy,� said Harwin, who was Hullen"
Hullen (Hullen), Harwin (Harwin), 33025, " �You cannot do that, boy,� said Harwin, who was Hullen�s son.  �It be a mercy to kill them,� Hullen"
Brandon S (Bran), Harwin (Harwin), 33037, "do that, boy,� said Harwin, who was Hullen�s son.  �It be a mercy to kill them,� Hullen said.  Bran"
Harwin (Harwin), Desmond (Desmond), 416110, "thing, oh, no, not the same at all.� The men had heard it all before; Desmond, Jacks, and Hullen�s son Harwin"
Harwin (Harwin), Hullen (Hullen), 416110, "thing, oh, no, not the same at all.� The men had heard it all before; Desmond, Jacks, and Hullen�s son Harwin"
Arya S (Arya), Harwin (Harwin), 416194, "Jacks, and Hullen�s son Harwin shouted him down together, and Porther called for more wine.  No one talked to Arya"
Alyn (Alyn), Harwin (Harwin), 419029, "no one had raised a voice or drawn a blade or anything, not Harwin who always talked so bold, or Alyn"
Jory C (Jory), Harwin (Harwin), 419067, "blade or anything, not Harwin who always talked so bold, or Alyn who was going to be a knight, or Jory"
Harwin (Harwin), Hullen (Hullen), 460243, "had died, and they had forgotten him. Jory and Ser Rodrik and Vayon Poole had gone too, and Hullen and Harwin"
Harwin (Harwin), Jory C (Jory), 460243, "had died, and they had forgotten him. Jory and Ser Rodrik and Vayon Poole had gone too, and Hullen and Harwin"
Harwin (Harwin), Rodrik C (Ser Rodrik), 460243, "had died, and they had forgotten him. Jory and Ser Rodrik and Vayon Poole had gone too, and Hullen and Harwin"
Harwin (Harwin), Vayon P (Vayon), 460243, "had died, and they had forgotten him. Jory and Ser Rodrik and Vayon Poole had gone too, and Hullen and Harwin"
Tom (Fat Tom), Harwin (Harwin), 460255, "they had forgotten him. Jory and Ser Rodrik and Vayon Poole had gone too, and Hullen and Harwin and Fat Tom"
Robb S (Robb), Harwin (Harwin), 460294, "Vayon Poole had gone too, and Hullen and Harwin and Fat Tom and a quarter of the guard.  Only Robb"
Rickon S (Rickon), Harwin (Harwin), 460310, "gone too, and Hullen and Harwin and Fat Tom and a quarter of the guard.  Only Robb and baby Rickon"
Robb S (Robb), Harwin (Harwin), 460336, "Harwin and Fat Tom and a quarter of the guard.  Only Robb and baby Rickon were still here, and Robb"
Harwin (Harwin), Eddard S (Ned), 528228, "more laughter.  �I have heard quite enough about whores for one day,� Ned said, rising. �Until the morrow.�  Harwin"
Eddard S (Ned), Harwin (Harwin), 528250, "heard quite enough about whores for one day,� Ned said, rising. �Until the morrow.�  Harwin had the door when Ned"
Jory C (Jory), Harwin (Harwin), 528298, "said, rising. �Until the morrow.�  Harwin had the door when Ned returned to the Tower of the Hand. �Summon Jory"
Harwin (Harwin), Alyn (Alyn), 569747, "entered the lists as well, and so too the king�s brother, handsome Lord Renly of Storm�s End. Jory, Alyn, and Harwin"
Harwin (Harwin), Jory C (Jory), 569747, "entered the lists as well, and so too the king�s brother, handsome Lord Renly of Storm�s End. Jory, Alyn, and Harwin"
Harwin (Harwin), Renly B (Renly), 569747, "entered the lists as well, and so too the king�s brother, handsome Lord Renly of Storm�s End. Jory, Alyn, and Harwin"
Jory C (Jory), Harwin (Harwin), 569788, "too the king�s brother, handsome Lord Renly of Storm�s End. Jory, Alyn, and Harwin rode for Winterfell and the north. �Jory"
Septa M (Septa), Harwin (Harwin), 569830, "of Storm�s End. Jory, Alyn, and Harwin rode for Winterfell and the north. �Jory looks a beggar among these others,� Septa"
Septa M (Septa Mordane), Harwin (Harwin), 569838, "Storm�s End. Jory, Alyn, and Harwin rode for Winterfell and the north. �Jory looks a beggar among these others,� Septa Mordane"
Sansa S (Sansa), Harwin (Harwin), 569870, "Harwin rode for Winterfell and the north. �Jory looks a beggar among these others,� Septa Mordane sniffed when he appeared. Sansa"
Harwin (Harwin), Alyn (Alyn), 570373, "seat, but Brune�s lance was steadier and his blows better placed, and the king gave him the victory. Alyn and Harwin"
Harwin (Harwin), Lothor B (Brune), 570373, "seat, but Brune�s lance was steadier and his blows better placed, and the king gave him the victory. Alyn and Harwin"
Harwin (Harwin), Alyn (Alyn), 570397, "was steadier and his blows better placed, and the king gave him the victory. Alyn and Harwin fared less well; Harwin"
Meryn T (Meryn), Harwin (Harwin), 570441, "king gave him the victory. Alyn and Harwin fared less well; Harwin was unhorsed in his first tilt by Ser Meryn"
Alyn (Alyn), Harwin (Harwin), 570471, "Alyn and Harwin fared less well; Harwin was unhorsed in his first tilt by Ser Meryn of the Kingsguard, while Alyn"
Balon S (Ser Balon), Harwin (Harwin), 570489, "less well; Harwin was unhorsed in his first tilt by Ser Meryn of the Kingsguard, while Alyn fell to Ser Balon"
Balon S (Balon Swann), Harwin (Harwin), 570495, "well; Harwin was unhorsed in his first tilt by Ser Meryn of the Kingsguard, while Alyn fell to Ser Balon Swann"
Eddard S (Ned), Harwin (Harwin), 621640, "door. �A man to see you, my lord,� Harwin called. �He will not give his name.�  �Send him in,� Ned"
Tom (Fat Tom), Harwin (Harwin), 678271, "clout on the ear to help your hearing?�  Her father was alone in the solar when Harwin and Fat Tom"
Harwin (Harwin), Alyn (Alyn), 924339, "�I think it was because of his leg.�  Lord Eddard had taken his supper in his bedchamber with Alyn, Harwin"
Harwin (Harwin), Eddard S (Eddard), 924339, "�I think it was because of his leg.�  Lord Eddard had taken his supper in his bedchamber with Alyn, Harwin"
Vayon P (Vayon), Harwin (Harwin), 924350, "it was because of his leg.�  Lord Eddard had taken his supper in his bedchamber with Alyn, Harwin, and Vayon"
Vayon P (Vayon Poole), Harwin (Harwin), 924356, "was because of his leg.�  Lord Eddard had taken his supper in his bedchamber with Alyn, Harwin, and Vayon Poole"
Septa M (Septa), Harwin (Harwin), 924402, "taken his supper in his bedchamber with Alyn, Harwin, and Vayon Poole, the better to rest his broken leg, and Septa"
Septa M (Septa Mordane), Harwin (Harwin), 924410, "his supper in his bedchamber with Alyn, Harwin, and Vayon Poole, the better to rest his broken leg, and Septa Mordane"
Harwin (Harwin), Alyn (Alyn), 1234191, "hope in the dark. Robert�s brothers were out in the world, raising armies at Dragonstone and Storm�s End. Alyn and Harwin"
Harwin (Harwin), Robert B (Robert), 1234191, "hope in the dark. Robert�s brothers were out in the world, raising armies at Dragonstone and Storm�s End. Alyn and Harwin"
Gregor C (Gregor), Harwin (Harwin), 1234295, "and Harwin would return to King�s Landing with the rest of his household guard once they had dealt with Ser Gregor"
