Helman T Encounters:
Helman T (Helman), Eddard S (Ned), 387815, "When the door had closed behind him, Ned turned back to his wife. �Once you are home, send word to Helman"
Helman T (Helman Tallhart), Eddard S (Ned), 387824, "the door had closed behind him, Ned turned back to his wife. �Once you are home, send word to Helman Tallhart"
Galbart G (Galbart), Helman T (Helman), 387836, "had closed behind him, Ned turned back to his wife. �Once you are home, send word to Helman Tallhart and Galbart"
Galbart G (Galbart Glover), Helman T (Helman), 387843, "closed behind him, Ned turned back to his wife. �Once you are home, send word to Helman Tallhart and Galbart Glover"
Helman T (Helman), Edmure T (Edmure), 1176402, "brother Edmure.� Grey Wind nipped at her fingers, playful, and trotted back to his place by the fire.  Ser Helman"
Helman T (Helman Tallhart), Edmure T (Edmure), 1176411, "Edmure.� Grey Wind nipped at her fingers, playful, and trotted back to his place by the fire.  Ser Helman Tallhart"
Helman T (Helman), Galbart G (Galbart), 1179830, "who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman"
Helman T (Helman), Greatjon U (Greatjon), 1179830, "who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman"
Helman T (Helman), Rickard K (Rickard Karstark), 1179830, "who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman"
Helman T (Helman), Robett G (Robett), 1179830, "who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman"
Helman T (Helman), Roose B (Roose), 1179830, "who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman"
Helman T (Helman Tallhart), Galbart G (Galbart), 1179839, "were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman Tallhart"
Helman T (Helman Tallhart), Greatjon U (Greatjon), 1179839, "were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman Tallhart"
Helman T (Helman Tallhart), Rickard K (Rickard Karstark), 1179839, "were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman Tallhart"
Helman T (Helman Tallhart), Robett G (Robett), 1179839, "were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman Tallhart"
Helman T (Helman Tallhart), Roose B (Roose), 1179839, "were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman Tallhart"
Theon G (Theon), Helman T (Helman), 1179935, "Tallhart � you might have given the command to any of them. Gods be good, you might even have sent Theon"
Helman T (Helman), Robb S (Robb), 1275470, "need help keeping faith.�  �As you say, Mother,� Robb answered, gazing at the ranks of pikemen. �Perhaps � Ser Helman"
Helman T (Helman), Walder F (Walder), 1275470, "need help keeping faith.�  �As you say, Mother,� Robb answered, gazing at the ranks of pikemen. �Perhaps � Ser Helman"
Helman T (Helman Tallhart), Robb S (Robb), 1275479, "help keeping faith.�  �As you say, Mother,� Robb answered, gazing at the ranks of pikemen. �Perhaps � Ser Helman Tallhart"
Helman T (Helman), Roose B (Roose), 1561118, "all.  Roose Bolton had re-formed the battered remnants of their other host at the mouth of the causeway. Ser Helman"
Helman T (Helman Tallhart), Roose B (Roose), 1561127, " Roose Bolton had re-formed the battered remnants of their other host at the mouth of the causeway. Ser Helman Tallhart"
Walder F (Walder), Helman T (Helman), 1561138, "Bolton had re-formed the battered remnants of their other host at the mouth of the causeway. Ser Helman Tallhart and Walder"
Walder F (Walder Frey), Helman T (Helman), 1561143, "had re-formed the battered remnants of their other host at the mouth of the causeway. Ser Helman Tallhart and Walder Frey"
Tywin L (Tywin), Helman T (Helman), 1561176, "their other host at the mouth of the causeway. Ser Helman Tallhart and Walder Frey still held the Twins. Lord Tywin"
