Howland R Encounters:
Eddard S (Ned), Howland R (Howland), 81322, "found him still holding her body, silent with grief. The little crannogman, Howland Reed, had taken her hand from his. Ned"
Howland R (Howland), Brandon S (Brandon), 830495, "Wull; Ethan Glover, who had been Brandon�s squire; Ser Mark Ryswell, soft of speech and gentle of heart; the crannogman, Howland"
Howland R (Howland), Ethan G (Ethan), 830495, "Wull; Ethan Glover, who had been Brandon�s squire; Ser Mark Ryswell, soft of speech and gentle of heart; the crannogman, Howland"
Howland R (Howland), Mark R (Mark), 830495, "Wull; Ethan Glover, who had been Brandon�s squire; Ser Mark Ryswell, soft of speech and gentle of heart; the crannogman, Howland"
Howland R (Howland Reed), Brandon S (Brandon), 830500, "Ethan Glover, who had been Brandon�s squire; Ser Mark Ryswell, soft of speech and gentle of heart; the crannogman, Howland Reed"
Howland R (Howland Reed), Ethan G (Ethan Glover), 830500, "Ethan Glover, who had been Brandon�s squire; Ser Mark Ryswell, soft of speech and gentle of heart; the crannogman, Howland Reed"
Howland R (Howland Reed), Mark R (Mark), 830500, "Ethan Glover, who had been Brandon�s squire; Ser Mark Ryswell, soft of speech and gentle of heart; the crannogman, Howland Reed"
Dustin (Lord Dustin), Howland R (Howland), 830513, "who had been Brandon�s squire; Ser Mark Ryswell, soft of speech and gentle of heart; the crannogman, Howland Reed; Lord Dustin"
Eddard S (Ned), Howland R (Howland), 830544, "Mark Ryswell, soft of speech and gentle of heart; the crannogman, Howland Reed; Lord Dustin on his great red stallion. Ned"
Howland R (Howland), Eddard S (Eddard), 835769, "had been seven against three, yet only two had lived to ride away; Eddard Stark himself and the little crannogman, Howland"
Howland R (Howland Reed), Eddard S (Eddard), 835774, "been seven against three, yet only two had lived to ride away; Eddard Stark himself and the little crannogman, Howland Reed"
Howland R (Howland), Robb S (Robb), 1186310, "she asked.  �If he comes so far, but no one thinks he will,� Robb said. �I�ve sent word to Howland"
Howland R (Howland Reed), Robb S (Robb), 1186315, "asked.  �If he comes so far, but no one thinks he will,� Robb said. �I�ve sent word to Howland Reed"
