Janos S Encounters:
Janos S (Janos), Renly B (Renly), 525754, "dreadful,� Varys said with a shudder.  Lord Renly Baratheon was less sympathetic. �If you cannot keep the king�s peace, Janos"
Janos S (Janos), Varys (Varys), 525754, "dreadful,� Varys said with a shudder.  Lord Renly Baratheon was less sympathetic. �If you cannot keep the king�s peace, Janos"
Janos S (Janos), Eddard S (Ned), 526471, "a champion�s purse, surely you can scrape together a few coppers to keep the king�s peace.� Ned turned back to Janos"
Janos S (Slynt), Eddard S (Ned), 526477, "champion�s purse, surely you can scrape together a few coppers to keep the king�s peace.� Ned turned back to Janos Slynt"
Eddard S (Eddard), Janos S (Slynt), 526743, "said, bowing. �I promise you, they shall be put to good use.�  When the Commander had taken his leave, Eddard"
Janos S (Janos), Catelyn S (Catelyn), 1008300, "have no fear, my good lord. For the sake of the love I bear for Catelyn, I will go to Janos"
Janos S (Slynt), Catelyn S (Catelyn), 1008306, "no fear, my good lord. For the sake of the love I bear for Catelyn, I will go to Janos Slynt"
Janos S (Janos), Eddard S (Ned), 1031243, "seen, but Ned was reassured by the number of gold cloaks visible on the ramparts and at the gates.  Janos"
Janos S (Slynt), Eddard S (Ned), 1031249, "but Ned was reassured by the number of gold cloaks visible on the ramparts and at the gates.  Janos Slynt"
Janos S (Janos), Cersei L (Cersei), 1035778, "all of them, I command it!�  �You leave me no choice,� Ned told Cersei Lannister. He called out to Janos"
Janos S (Janos), Eddard S (Ned), 1035778, "all of them, I command it!�  �You leave me no choice,� Ned told Cersei Lannister. He called out to Janos"
Janos S (Slynt), Cersei L (Cersei), 1035784, "of them, I command it!�  �You leave me no choice,� Ned told Cersei Lannister. He called out to Janos Slynt"
Janos S (Slynt), Eddard S (Ned), 1035784, "of them, I command it!�  �You leave me no choice,� Ned told Cersei Lannister. He called out to Janos Slynt"
Eddard S (Ned), Janos S (Janos), 1036083, "Janos Slynt shouted, donning his helm. A hundred gold cloaks leveled their spears and closed.  �I want no bloodshed,� Ned"
Janos S (Janos), Eddard S (Ned), 1036451, "piercing leather and mail. He was dead before his sword hit the floor.  Ned�s shout came far too late. Janos"
Janos S (Slynt), Eddard S (Ned), 1036457, "leather and mail. He was dead before his sword hit the floor.  Ned�s shout came far too late. Janos Slynt"
Cayn (Cayn), Janos S (Janos), 1036499, "before his sword hit the floor.  Ned�s shout came far too late. Janos Slynt himself slashed open Varly�s throat. Cayn"
Janos S (Janos), Pycelle (Pycelle), 1219087, "but it was quickly stilled. Pycelle continued.  �It is also the wish of His Grace that his loyal servant, Janos"
Janos S (Slynt), Pycelle (Pycelle), 1219093, "it was quickly stilled. Pycelle continued.  �It is also the wish of His Grace that his loyal servant, Janos Slynt"
Janos S (Janos), Sansa S (Sansa), 1219596, "So the king has decreed. The small council consents.�  Sansa glimpsed motion from the corner of her eye as Janos"
Janos S (Slynt), Sansa S (Sansa), 1219602, "the king has decreed. The small council consents.�  Sansa glimpsed motion from the corner of her eye as Janos Slynt"
Janos S (Slynt), Sansa S (Sansa), 1220234, "gold on a night-black field. The sight of it raised goose prickles up and down Sansa�s arms.  As Lord Slynt"
Pycelle (Grand Maester), Janos S (Slynt), 1220264, "The sight of it raised goose prickles up and down Sansa�s arms.  As Lord Slynt took his place, Grand Maester"
Pycelle (Maester Pycelle), Janos S (Slynt), 1220272, "sight of it raised goose prickles up and down Sansa�s arms.  As Lord Slynt took his place, Grand Maester Pycelle"
Robert B (Robert), Janos S (Slynt), 1220353, "Lord Slynt took his place, Grand Maester Pycelle resumed. �Lastly, in these times of treason and turmoil, with our beloved Robert"
Janos S (Janos), Joffrey B (Joffrey), 1224096, "knight, it would seem,� quipped Littlefinger.  They all laughed then, Joffrey on his throne, and the lords standing attendance, Janos"
Janos S (Janos), Petyr B (Littlefinger), 1224096, "knight, it would seem,� quipped Littlefinger.  They all laughed then, Joffrey on his throne, and the lords standing attendance, Janos"
Janos S (Slynt), Joffrey B (Joffrey), 1224102, "it would seem,� quipped Littlefinger.  They all laughed then, Joffrey on his throne, and the lords standing attendance, Janos Slynt"
Janos S (Slynt), Petyr B (Littlefinger), 1224102, "it would seem,� quipped Littlefinger.  They all laughed then, Joffrey on his throne, and the lords standing attendance, Janos Slynt"
Cersei L (Cersei), Janos S (Janos), 1224119, "quipped Littlefinger.  They all laughed then, Joffrey on his throne, and the lords standing attendance, Janos Slynt and Queen Cersei"
Sandor C (Sandor), Janos S (Janos), 1224130, " They all laughed then, Joffrey on his throne, and the lords standing attendance, Janos Slynt and Queen Cersei and Sandor"
Sandor C (Sandor Clegane), Janos S (Janos), 1224138, "They all laughed then, Joffrey on his throne, and the lords standing attendance, Janos Slynt and Queen Cersei and Sandor Clegane"
Janos S (Janos), Joffrey B (Joffrey), 1225700, "I want him seized and questioned.� No one moved. Joffrey raised his voice. �I said, I want him seized!�  Janos"
Janos S (Slynt), Joffrey B (Joffrey), 1225706, "want him seized and questioned.� No one moved. Joffrey raised his voice. �I said, I want him seized!�  Janos Slynt"
Joffrey B (King Joffrey), Janos S (Janos), 1225807, "Janos Slynt rose from the council table. �My gold cloaks will see to it, Your Grace.�  �Good,� said King Joffrey"
Janos S (Janos), Joffrey B (King Joffrey), 1225819, "rose from the council table. �My gold cloaks will see to it, Your Grace.�  �Good,� said King Joffrey. Lord Janos"
Petyr B (Littlefinger), Janos S (Slynt), 1225978, "double-stepping to keep up as they lugged the great metal shield with the arms of House Slynt.  �Your Grace,� Littlefinger"
Janos S (Janos), Petyr B (Littlefinger), 1232315, "the masons who labored on his castle, so they might never reveal its secrets.  He damned them all: Littlefinger, Janos"
Janos S (Slynt), Petyr B (Littlefinger), 1232321, "masons who labored on his castle, so they might never reveal its secrets.  He damned them all: Littlefinger, Janos Slynt"
Jaime L (Kingslayer), Janos S (Janos), 1232368, "might never reveal its secrets.  He damned them all: Littlefinger, Janos Slynt and his gold cloaks, the queen, the Kingslayer"
Pycelle (Pycelle), Janos S (Janos), 1232377, "never reveal its secrets.  He damned them all: Littlefinger, Janos Slynt and his gold cloaks, the queen, the Kingslayer, Pycelle"
Varys (Varys), Janos S (Janos), 1232387, "its secrets.  He damned them all: Littlefinger, Janos Slynt and his gold cloaks, the queen, the Kingslayer, Pycelle and Varys"
Barristan S (Barristan), Janos S (Janos), 1232405, "He damned them all: Littlefinger, Janos Slynt and his gold cloaks, the queen, the Kingslayer, Pycelle and Varys and Ser Barristan"
Renly B (Renly), Janos S (Janos), 1232422, "all: Littlefinger, Janos Slynt and his gold cloaks, the queen, the Kingslayer, Pycelle and Varys and Ser Barristan, even Lord Renly"
