Jared F Encounters:
Jared F (Jared), Jason M (Lord Jason), 569112, "grape cluster sigil of the Redwynes, burgundy on blue. Patrek Mallister, Lord Jason�s son. Six Freys of the Crossing: Ser Jared"
Jared F (Jared), Patrek M (Patrek), 569112, "grape cluster sigil of the Redwynes, burgundy on blue. Patrek Mallister, Lord Jason�s son. Six Freys of the Crossing: Ser Jared"
Hosteen F (Ser Hosteen), Jared F (Jared), 569125, "sigil of the Redwynes, burgundy on blue. Patrek Mallister, Lord Jason�s son. Six Freys of the Crossing: Ser Jared, Ser Hosteen"
Danwell F (Danwell), Jared F (Jared), 569138, "the Redwynes, burgundy on blue. Patrek Mallister, Lord Jason�s son. Six Freys of the Crossing: Ser Jared, Ser Hosteen, Ser Danwell"
Emmon (Emmon), Jared F (Jared), 569149, "burgundy on blue. Patrek Mallister, Lord Jason�s son. Six Freys of the Crossing: Ser Jared, Ser Hosteen, Ser Danwell, Ser Emmon"
Theo W (Ser Theo), Jared F (Jared), 569159, "blue. Patrek Mallister, Lord Jason�s son. Six Freys of the Crossing: Ser Jared, Ser Hosteen, Ser Danwell, Ser Emmon, Ser Theo"
Perwyn (Ser Perwyn), Jared F (Jared), 569171, "Mallister, Lord Jason�s son. Six Freys of the Crossing: Ser Jared, Ser Hosteen, Ser Danwell, Ser Emmon, Ser Theo, Ser Perwyn"
Walder F (Walder), Jared F (Jared), 569210, "the Crossing: Ser Jared, Ser Hosteen, Ser Danwell, Ser Emmon, Ser Theo, Ser Perwyn, sons and grandsons of old Lord Walder"
Walder F (Walder Frey), Jared F (Jared), 569215, "Crossing: Ser Jared, Ser Hosteen, Ser Danwell, Ser Emmon, Ser Theo, Ser Perwyn, sons and grandsons of old Lord Walder Frey"
Jared F (Jared), Catelyn S (Catelyn), 1266869, "Lady Catelyn.� He looked around for likely confirmation and pointed to a tall, stooped man of fifty years. �Tell her, Jared"
Jared F (Jared), Stevron F (Stevron), 1271621, "still the King�s Hand, and I went to the city to see my sons ride in the tourney. Stevron and Jared"
Danwell F (Danwell), Jared F (Jared), 1271664, "city to see my sons ride in the tourney. Stevron and Jared are too old for the lists now, but Danwell"
Hosteen F (Hosteen), Jared F (Jared), 1271676, "see my sons ride in the tourney. Stevron and Jared are too old for the lists now, but Danwell and Hosteen"
Perwyn (Perwyn), Jared F (Jared), 1271689, "sons ride in the tourney. Stevron and Jared are too old for the lists now, but Danwell and Hosteen rode, Perwyn"
Jared F (Jared), Catelyn S (Catelyn), 1274690, "winched up, and Lady Catelyn Stark rode forth to rejoin her son and his lords bannermen. Behind her came Ser Jared"
Jared F (Jared Frey), Catelyn S (Catelyn), 1274695, "up, and Lady Catelyn Stark rode forth to rejoin her son and his lords bannermen. Behind her came Ser Jared Frey"
Hosteen F (Ser Hosteen), Jared F (Jared), 1274708, "Lady Catelyn Stark rode forth to rejoin her son and his lords bannermen. Behind her came Ser Jared Frey, Ser Hosteen"
Hosteen F (Hosteen Frey), Jared F (Jared), 1274713, "Catelyn Stark rode forth to rejoin her son and his lords bannermen. Behind her came Ser Jared Frey, Ser Hosteen Frey"
Danwell F (Danwell), Jared F (Jared), 1274726, "rode forth to rejoin her son and his lords bannermen. Behind her came Ser Jared Frey, Ser Hosteen Frey, Ser Danwell"
Danwell F (Danwell Frey), Jared F (Jared), 1274731, "forth to rejoin her son and his lords bannermen. Behind her came Ser Jared Frey, Ser Hosteen Frey, Ser Danwell Frey"
Walder F (Walder), Jared F (Jared), 1274748, "her son and his lords bannermen. Behind her came Ser Jared Frey, Ser Hosteen Frey, Ser Danwell Frey, and Lord Walder"
Ronel R (Ronel), Jared F (Jared), 1274768, "his lords bannermen. Behind her came Ser Jared Frey, Ser Hosteen Frey, Ser Danwell Frey, and Lord Walder�s bastard son Ronel"
Ronel R (Ronel Rivers), Jared F (Jared), 1274775, "lords bannermen. Behind her came Ser Jared Frey, Ser Hosteen Frey, Ser Danwell Frey, and Lord Walder�s bastard son Ronel Rivers"
