Jhiqui Encounters:
Jhiqui (Jhiqui), Daenerys T (Dany), 194966, "her with three handmaids. Dany knew they had cost him nothing; Illyrio no doubt had provided the girls. Irri and Jhiqui"
Jhiqui (Jhiqui), Illyrio M (Illyrio), 194966, "her with three handmaids. Dany knew they had cost him nothing; Illyrio no doubt had provided the girls. Irri and Jhiqui"
Jhiqui (Jhiqui), Irri (Irri), 194966, "her with three handmaids. Dany knew they had cost him nothing; Illyrio no doubt had provided the girls. Irri and Jhiqui"
Doreah (Doreah), Jhiqui (Jhiqui), 195042, "nothing; Illyrio no doubt had provided the girls. Irri and Jhiqui were copper-skinned Dothraki with black hair and almond-shaped eyes, Doreah"
Jhiqui (Jhiqui), Illyrio M (Illyrio), 195272, "they were brought forward one by one. �Illyrio and I selected them personally for you. Irri will teach you riding, Jhiqui"
Jhiqui (Jhiqui), Irri (Irri), 195272, "they were brought forward one by one. �Illyrio and I selected them personally for you. Irri will teach you riding, Jhiqui"
Doreah (Doreah), Jhiqui (Jhiqui), 195304, "by one. �Illyrio and I selected them personally for you. Irri will teach you riding, Jhiqui the Dothraki tongue, and Doreah"
Jhiqui (Jhiqui), Daenerys T (Khaleesi), 438961, "much. It was as if the gods had heard her and taken pity. Even her handmaids noticed the change. �Khaleesi,� Jhiqui"
Illyrio M (Illyrio), Jhiqui (Jhiqui), 439067, "�Khaleesi,� Jhiqui said, �what is wrong? Are you sick?�  �I was,� she answered, standing over the dragon�s eggs that Illyrio"
Jhiqui (Jhiqui), Doreah (Doreah), 451391, " She commanded her handmaids to prepare her a bath. Doreah built a fire outside the tent, while Irri and Jhiqui"
Jhiqui (Jhiqui), Irri (Irri), 451391, " She commanded her handmaids to prepare her a bath. Doreah built a fire outside the tent, while Irri and Jhiqui"
Jhiqui (Jhiqui), Irri (Irri), 451647, "and climbed in after her.  �Have you ever seen a dragon?� she asked as Irri scrubbed her back and Jhiqui"
Jhiqui (Jhiqui), Daenerys T (Khaleesi), 451936, "some were still living there, in realms strange and wild.  �Dragons are gone, Khaleesi,� Irri said.  �Dead,� agreed Jhiqui"
Jhiqui (Jhiqui), Irri (Irri), 451936, "some were still living there, in realms strange and wild.  �Dragons are gone, Khaleesi,� Irri said.  �Dead,� agreed Jhiqui"
