Mace T Encounters:
Randyll T (Lord Randyll), Mace T (Mace), 516948, "old in honor, bannermen to Mace Tyrell, Lord of Highgarden and Warden of the South. The eldest son of Lord Randyll"
Randyll T (Randyll Tarly), Mace T (Mace), 516954, "in honor, bannermen to Mace Tyrell, Lord of Highgarden and Warden of the South. The eldest son of Lord Randyll Tarly"
Samwell T (Samwell), Mace T (Mace), 516963, "honor, bannermen to Mace Tyrell, Lord of Highgarden and Warden of the South. The eldest son of Lord Randyll Tarly, Samwell"
Mace T (Mace), Jaime L (Jaime Lannister the Kingslayer), 574603, "and Ser Loras Tyrell, the youth they called the Knight of Flowers.  Ser Loras was the youngest son of Mace"
Mace T (Mace), Loras T (Loras), 574603, "and Ser Loras Tyrell, the youth they called the Knight of Flowers.  Ser Loras was the youngest son of Mace"
Mace T (Mace Tyrell), Loras T (Loras), 574610, "Ser Loras Tyrell, the youth they called the Knight of Flowers.  Ser Loras was the youngest son of Mace Tyrell"
Loras T (Knight of Flowers), Mace T (Mace), 602564, "smell bacon. Who do you think our champion will be today? Have you seen Mace Tyrell�s boy? The Knight of Flowers"
Mace T (Mace), Loras T (Loras), 1217265, "Stannis Baratheon, his lady wife, his daughter. Lord Renly Baratheon. Both Lord Royces and their sons. Ser Loras Tyrell. Lord Mace"
Mace T (Mace), Renly B (Renly), 1217265, "Stannis Baratheon, his lady wife, his daughter. Lord Renly Baratheon. Both Lord Royces and their sons. Ser Loras Tyrell. Lord Mace"
Mace T (Mace), Stannis B (Lord Stannis), 1217265, "Stannis Baratheon, his lady wife, his daughter. Lord Renly Baratheon. Both Lord Royces and their sons. Ser Loras Tyrell. Lord Mace"
Mace T (Mace Tyrell), Loras T (Loras), 1217272, "Baratheon, his lady wife, his daughter. Lord Renly Baratheon. Both Lord Royces and their sons. Ser Loras Tyrell. Lord Mace Tyrell"
Mace T (Mace Tyrell), Renly B (Renly), 1217272, "Baratheon, his lady wife, his daughter. Lord Renly Baratheon. Both Lord Royces and their sons. Ser Loras Tyrell. Lord Mace Tyrell"
Mace T (Mace Tyrell), Stannis B (Stannis Baratheon), 1217272, "Baratheon, his lady wife, his daughter. Lord Renly Baratheon. Both Lord Royces and their sons. Ser Loras Tyrell. Lord Mace Tyrell"
Beric D (Lord Beric), Mace T (Mace), 1217343, "and their sons. Ser Loras Tyrell. Lord Mace Tyrell, his brothers, uncles, sons. The red priest, Thoros of Myr. Lord Beric"
Beric D (Beric Dondarrion), Mace T (Mace), 1217354, "their sons. Ser Loras Tyrell. Lord Mace Tyrell, his brothers, uncles, sons. The red priest, Thoros of Myr. Lord Beric Dondarrion"
Lysa A (Lady Lysa), Mace T (Mace), 1217365, "Ser Loras Tyrell. Lord Mace Tyrell, his brothers, uncles, sons. The red priest, Thoros of Myr. Lord Beric Dondarrion. Lady Lysa"
Lysa A (Lysa Arryn), Mace T (Mace), 1217371, "Loras Tyrell. Lord Mace Tyrell, his brothers, uncles, sons. The red priest, Thoros of Myr. Lord Beric Dondarrion. Lady Lysa Arryn"
