Sandor C Encounters:
Sandor C (Sandor), Eddard S (Ned), 71580, "Ned knew many of the riders. There came Ser Jaime Lannister with hair as bright as beaten gold, and there Sandor"
Sandor C (Sandor), Jaime L (Jaime Lannister), 71580, "Ned knew many of the riders. There came Ser Jaime Lannister with hair as bright as beaten gold, and there Sandor"
Sandor C (Hound), Tyrion L (Tyrion), 165022, "is a long time dying. I wish he would be quicker about it.�  Tyrion glanced down and saw the Hound"
Joffrey B (Joffrey), Sandor C (Hound), 165050, "dying. I wish he would be quicker about it.�  Tyrion glanced down and saw the Hound standing with young Joffrey"
Sandor C (Sandor), Joffrey B (Joffrey), 165936, "Unlike some princes I might name.�  Joffrey had the grace at least to blush.  �A voice from nowhere,� Sandor"
Tyrion L (Tyrion), Sandor C (Hound), 168011, "little lord,� the Hound warned him. The helm turned his laugh into a hollow rumble.  �I pray he does,� Tyrion"
Sandor C (Sandor), Tyrion L (Tyrion), 168223, "you know where I might find my brother?�  �Breaking fast with the queen.�  �Ah,� Tyrion said. He gave Sandor"
Sandor C (Sandor), Sansa S (Sansa), 276873, "and for a moment Sansa thought it was her father, but when she turned, it was the burned face of Sandor"
Sandor C (Hound), Sansa S (Sansa), 277255, "her now that he was not half so terrifying as the other. Still, Sansa wrenched away from him, and the Hound"
Sansa S (Sansa), Sandor C (Hound), 277319, "the other. Still, Sansa wrenched away from him, and the Hound laughed, and Lady moved between them, rumbling a warning. Sansa"
Sansa S (Sansa), Sandor C (Hound), 277736, "said, �What�s it doing in camp?� and the Hound�s rasping voice replied, �The Starks use them for wet nurses,� and Sansa"
Sansa S (Sansa), Sandor C (Hound), 278479, "away with you, you�re scaring my betrothed.�  The Hound, ever faithful, bowed and slid away quietly through the press. Sansa"
Sandor C (Hound), Ilyn P (Ilyn), 282403, "at Joffrey worshipfully. He was so gallant, she thought. The way he had rescued her from Ser Ilyn and the Hound"
Sandor C (Hound), Joffrey B (Joffrey), 282403, "at Joffrey worshipfully. He was so gallant, she thought. The way he had rescued her from Ser Ilyn and the Hound"
Daeryssa (Daeryssa), Sandor C (Hound), 282509, "the Hound, why, it was almost like the songs, like the time Serwyn of the Mirror Shield saved the Princess Daeryssa"
Sandor C (Sandor), Barristan S (Barristan), 295195, "Barristan was grave; the rest were Lannister men, and hostile. Their only good fortune was that both Jaime Lannister and Sandor"
Sandor C (Sandor), Jaime L (Jaime Lannister), 295195, "Barristan was grave; the rest were Lannister men, and hostile. Their only good fortune was that both Jaime Lannister and Sandor"
Eddard S (Ned), Sandor C (Sandor Clegane), 295314, "Clegane were missing, leading searches north of the Trident. �Why was I not told that my daughter had been found?� Ned"
Sandor C (Hound), Eddard S (Ned), 304232, "from shoulder to waist by some terrible blow struck from above.  �You rode him down,� Ned said.  The Hound"
Mycah (Mycah), Sandor C (Hound), 418734, "knew that was a lie. They�d let the queen kill Lady, that was horrible enough, but then the Hound found Mycah"
Jeyne P (Jeyne), Sandor C (Hound), 418741, "that was a lie. They�d let the queen kill Lady, that was horrible enough, but then the Hound found Mycah. Jeyne"
Arya S (Arya), Sandor C (Hound), 418761, "They�d let the queen kill Lady, that was horrible enough, but then the Hound found Mycah. Jeyne Poole had told Arya"
Sandor C (Hound), Jory C (Jory), 420548, "heavy crossbar, nobody could get into her room, not Septa Mordane or Fat Tom or Sansa or Jory or the Hound"
Sandor C (Hound), Sansa S (Sansa), 420548, "heavy crossbar, nobody could get into her room, not Septa Mordane or Fat Tom or Sansa or Jory or the Hound"
Sandor C (Hound), Septa M (Septa Mordane), 420548, "heavy crossbar, nobody could get into her room, not Septa Mordane or Fat Tom or Sansa or Jory or the Hound"
Sandor C (Hound), Tom (Fat Tom), 420548, "heavy crossbar, nobody could get into her room, not Septa Mordane or Fat Tom or Sansa or Jory or the Hound"
Arya S (Arya), Sandor C (Hound), 420606, "Fat Tom or Sansa or Jory or the Hound, nobody! She slammed it now.  When the bar was down, Arya"
Arya S (Arya), Sandor C (Hound), 426300, "butcher�s boy. That murder lies at the Hound�s door, him and the cruel woman he serves.�  �I hate them,� Arya"
Sandor C (Hound), Arya S (Arya), 426343, "at the Hound�s door, him and the cruel woman he serves.�  �I hate them,� Arya confided, red-faced, sniffling. �The Hound"
Joffrey B (Prince Joffrey), Sandor C (Hound), 426389, "he serves.�  �I hate them,� Arya confided, red-faced, sniffling. �The Hound and the queen and the king and Prince Joffrey"
Sandor C (Hound), Petyr B (Littlefinger), 494930, "�And as tiresome,� Littlefinger added, �though I daresay he should do well in the tourney. Last year he unhorsed the Hound"
Renly B (Renly), Sandor C (Hound), 569708, "him on the instant.  The Hound entered the lists as well, and so too the king�s brother, handsome Lord Renly"
Jory C (Jory), Sandor C (Hound), 569729, " The Hound entered the lists as well, and so too the king�s brother, handsome Lord Renly of Storm�s End. Jory"
Sandor C (Sandor), Barristan S (Barristan Selmy), 571328, "from white-haired Barristan Selmy, who had won his first two tilts against men thirty and forty years his junior.  Sandor"
Gregor C (Gregor), Sandor C (Sandor Clegane), 571372, "his first two tilts against men thirty and forty years his junior.  Sandor Clegane and his immense brother, Ser Gregor"
Sandor C (Hound), Balon S (Balon Swann), 573189, "up the blood. Then the jousts resumed.  Ser Balon Swann also fell to Gregor, and Lord Renly to the Hound"
Sandor C (Hound), Gregor C (Gregor), 573189, "up the blood. Then the jousts resumed.  Ser Balon Swann also fell to Gregor, and Lord Renly to the Hound"
Sandor C (Hound), Renly B (Renly), 573189, "up the blood. Then the jousts resumed.  Ser Balon Swann also fell to Gregor, and Lord Renly to the Hound"
Renly B (Renly), Sandor C (Hound), 573196, "the blood. Then the jousts resumed.  Ser Balon Swann also fell to Gregor, and Lord Renly to the Hound. Renly"
Sandor C (Hound), Jason M (Jason Mallister), 574430, "Jason Mallister, and Brune to Yohn Royce�s younger son, Robar.  In the end it came down to four; the Hound"
Sandor C (Hound), Lothor B (Brune), 574430, "Jason Mallister, and Brune to Yohn Royce�s younger son, Robar.  In the end it came down to four; the Hound"
