Stannis B Encounters:
Stannis B (Stannis), Robert B (Robert), 155942, "said. �Robert loves the man like a brother.�  �Robert can barely stomach his brothers. Not that I blame him. Stannis"
Renly B (Renly), Stannis B (Stannis), 156028, "Not that I blame him. Stannis would be enough to give anyone indigestion.�  �Don�t play the fool. Stannis and Renly"
Eddard S (Eddard), Stannis B (Stannis), 156054, "Stannis would be enough to give anyone indigestion.�  �Don�t play the fool. Stannis and Renly are one thing, and Eddard"
Eddard S (Eddard Stark), Stannis B (Stannis), 156060, "would be enough to give anyone indigestion.�  �Don�t play the fool. Stannis and Renly are one thing, and Eddard Stark"
Robert B (Robert), Stannis B (Stannis), 156085, "give anyone indigestion.�  �Don�t play the fool. Stannis and Renly are one thing, and Eddard Stark is quite another. Robert"
Stannis B (Stannis), Robert A (Robert Arryn), 216299, "we still must have a Warden of the East. If Robert Arryn will not do, name one of your brothers. Stannis"
Stannis B (Stannis), Robert B (Robert), 216299, "we still must have a Warden of the East. If Robert Arryn will not do, name one of your brothers. Stannis"
Stannis B (Lord Stannis), Renly B (Renly), 329462, "I am master of coin, the king�s own councillor. Selmy and Lord Renly rode north to meet Robert, and Lord Stannis"
Stannis B (Lord Stannis), Robert B (Robert), 329462, "I am master of coin, the king�s own councillor. Selmy and Lord Renly rode north to meet Robert, and Lord Stannis"
Pycelle (Maester Pycelle), Stannis B (Lord Stannis), 329515, "councillor. Selmy and Lord Renly rode north to meet Robert, and Lord Stannis is gone to Dragonstone, leaving only Maester Pycelle"
Varys (Varys), Stannis B (Lord Stannis), 369365, "are but five,� he pointed out.  �Lord Stannis took himself to Dragonstone not long after the king went north,� Varys"
Barristan S (Barristan), Stannis B (Lord Stannis), 369402, " �Lord Stannis took himself to Dragonstone not long after the king went north,� Varys said, �and our gallant Ser Barristan"
Stannis B (Stannis), Renly B (Renly), 527452, "full, and the whores are walking bowlegged and jingling with each step.�  Lord Renly laughed. �We�re fortunate my brother Stannis"
Stannis B (Stannis), Eddard S (Ned), 527907, "eyes and a determination to do his duty.�  Ned had not joined the laughter. �I wonder about your brother Stannis"
Stannis B (Lord Stannis), Renly B (Renly), 532110, "had gone with him to help choose the design, the potboy said. No, not Lord Renly, the other one, Lord Stannis"
Jon S (Jon), Stannis B (Lord Stannis), 532187, "Renly, the other one, Lord Stannis.  �Did our watchman recall anything else of note?�  �The lad swears Lord Jon"
Stannis B (Lord Stannis), Jon S (Jon), 532260, " �The lad swears Lord Jon was as strong as a man half his age. Often went riding with Lord Stannis"
Stannis B (Stannis), Jon S (Jon), 532280, "Lord Jon was as strong as a man half his age. Often went riding with Lord Stannis, he says.�  Stannis"
Eddard S (Ned), Stannis B (Lord Stannis), 532291, "was as strong as a man half his age. Often went riding with Lord Stannis, he says.�  Stannis again, Ned"
Jon S (Jon), Stannis B (Lord Stannis), 532327, "half his age. Often went riding with Lord Stannis, he says.�  Stannis again, Ned thought. He found that curious. Jon"
Jon A (Jon Arryn), Stannis B (Lord Stannis), 532333, "his age. Often went riding with Lord Stannis, he says.�  Stannis again, Ned thought. He found that curious. Jon Arryn"
Robert B (Robert), Stannis B (Stannis), 532395, "Stannis again, Ned thought. He found that curious. Jon Arryn and he had been cordial, but never friendly. And while Robert"
Stannis B (Stannis), Jon A (Jon Arryn), 532440, "curious. Jon Arryn and he had been cordial, but never friendly. And while Robert had been riding north to Winterfell, Stannis"
Stannis B (Stannis), Jon S (Jon), 532440, "curious. Jon Arryn and he had been cordial, but never friendly. And while Robert had been riding north to Winterfell, Stannis"
