Stevron F Encounters:
Stevron F (Stevron), Bryce C (Bryce), 1217591, "Edmure. Lord Jason Mallister. Lord Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron"
Stevron F (Stevron), Edmure T (Ser Edmure), 1217591, "Edmure. Lord Jason Mallister. Lord Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron"
Stevron F (Stevron), Jason M (Lord Jason), 1217591, "Edmure. Lord Jason Mallister. Lord Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron"
Stevron F (Stevron), Tytos B (Lord Tytos), 1217591, "Edmure. Lord Jason Mallister. Lord Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron"
Stevron F (Stevron), Walder F (Walder), 1217591, "Edmure. Lord Jason Mallister. Lord Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron"
Karyl V (Karyl), Stevron F (Stevron), 1217603, "Jason Mallister. Lord Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron. Lord Karyl"
Karyl V (Karyl Vance), Stevron F (Stevron), 1217609, "Mallister. Lord Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron. Lord Karyl Vance"
Jonos B (Jonos), Stevron F (Stevron), 1217621, "Bryce Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron. Lord Karyl Vance. Lord Jonos"
Jonos B (Jonos Bracken), Stevron F (Stevron), 1217629, "Caron of the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron. Lord Karyl Vance. Lord Jonos Bracken"
Shella W (Shella), Stevron F (Stevron), 1217642, "the Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron. Lord Karyl Vance. Lord Jonos Bracken. Lady Shella"
Shella W (Shella Whent), Stevron F (Stevron), 1217648, "Marches. Lord Tytos Blackwood. Lord Walder Frey and his heir Ser Stevron. Lord Karyl Vance. Lord Jonos Bracken. Lady Shella Whent"
Stevron F (Stevron), Walder F (Walder), 1260814, "four of Lord Walder�s many sons. Their banner bore twin towers, dark blue on a field of pale silver-grey. Ser Stevron"
Stevron F (Stevron Frey), Walder F (Walder), 1260819, "of Lord Walder�s many sons. Their banner bore twin towers, dark blue on a field of pale silver-grey. Ser Stevron Frey"
Walder F (Walder), Stevron F (Stevron), 1260832, "Walder�s many sons. Their banner bore twin towers, dark blue on a field of pale silver-grey. Ser Stevron Frey, Lord Walder"
Stevron F (Stevron), Walder F (Walder), 1260903, "field of pale silver-grey. Ser Stevron Frey, Lord Walder�s heir, spoke for them. The Freys all looked like weasels; Ser Stevron"
Stevron F (Stevron), Catelyn S (Catelyn), 1262294, "suggested his brother, Ser Wylis.  Catelyn Stark shared all their doubts, but she had only to glance at Ser Stevron"
Stevron F (Stevron), Wylis M (Wylis), 1262294, "suggested his brother, Ser Wylis.  Catelyn Stark shared all their doubts, but she had only to glance at Ser Stevron"
Stevron F (Stevron), Catelyn S (Catelyn), 1262912, "lies were necessary.  �I am certain my lord father would be pleased to speak to the Lady Catelyn,� Ser Stevron"
Perwyn (Ser Perwyn), Stevron F (Stevron), 1262979, "be pleased to speak to the Lady Catelyn,� Ser Stevron said. �To vouchsafe for our good intentions, my brother Ser Perwyn"
Robb S (Robb), Stevron F (Stevron), 1263262, "and handed the reins of his horse to a brother. �I require my lady mother�s return by evenfall, Ser Stevron,� Robb"
Stevron F (Stevron), Robb S (Robb), 1263327, "mother�s return by evenfall, Ser Stevron,� Robb went on. �It is not my intent to linger here long.�  Ser Stevron"
Stevron F (Stevron Frey), Robb S (Robb), 1263332, "return by evenfall, Ser Stevron,� Robb went on. �It is not my intent to linger here long.�  Ser Stevron Frey"
Catelyn S (Catelyn), Stevron F (Stevron), 1263382, "not my intent to linger here long.�  Ser Stevron Frey gave a polite nod. �As you say, my lord.� Catelyn"
Catelyn S (Lady Stark), Stevron F (Stevron), 1264846, "and do her best to take no offense from his.  �Father,� Ser Stevron said reproachfully, �you forget yourself. Lady Stark"
Stevron F (Stevron), Catelyn S (Catelyn), 1268114, "and nephews streamed from the hall, he leaned close to Catelyn and confessed, �They�re all waiting for me to die. Stevron"
Jared F (Jared), Stevron F (Stevron), 1271621, "still the King�s Hand, and I went to the city to see my sons ride in the tourney. Stevron and Jared"
Danwell F (Danwell), Stevron F (Stevron), 1271664, "city to see my sons ride in the tourney. Stevron and Jared are too old for the lists now, but Danwell"
Hosteen F (Hosteen), Stevron F (Stevron), 1271676, "see my sons ride in the tourney. Stevron and Jared are too old for the lists now, but Danwell and Hosteen"
Perwyn (Perwyn), Stevron F (Stevron), 1271689, "sons ride in the tourney. Stevron and Jared are too old for the lists now, but Danwell and Hosteen rode, Perwyn"
Stevron F (Stevron), Brynden T (Brynden), 1277317, "bank.  Catelyn rode at the head of the serpent, with her son and her uncle Ser Brynden and Ser Stevron"
Stevron F (Stevron), Catelyn S (Catelyn), 1277317, "bank.  Catelyn rode at the head of the serpent, with her son and her uncle Ser Brynden and Ser Stevron"
Stevron F (Stevron Frey), Brynden T (Brynden), 1277322, " Catelyn rode at the head of the serpent, with her son and her uncle Ser Brynden and Ser Stevron Frey"
Stevron F (Stevron Frey), Catelyn S (Catelyn), 1277322, " Catelyn rode at the head of the serpent, with her son and her uncle Ser Brynden and Ser Stevron Frey"
