Tommen Encounters:
Brandon S (Bran), Tommen (Tommen), 47735, "him. He must be, what, five by now?�  �Prince Tommen is seven,� she told him. �The same age as Bran"
Eddard S (Ned), Tommen (Tommen), 47748, "must be, what, five by now?�  �Prince Tommen is seven,� she told him. �The same age as Bran. Please, Ned"
Tommen (Tommen), Arya S (Arya), 94792, "he was grinning like a fool.  His half sisters escorted the royal princes. Arya was paired with plump young Tommen"
Sansa S (Sansa), Tommen (Tommen), 94844, "half sisters escorted the royal princes. Arya was paired with plump young Tommen, whose white-blond hair was longer than hers. Sansa"
Joffrey B (Joffrey), Tommen (Tommen), 94893, "paired with plump young Tommen, whose white-blond hair was longer than hers. Sansa, two years older, drew the crown prince, Joffrey"
Tommen (Tommen), Brandon S (Bran), 135364, "younger boys drilling. Bran was so heavily padded he looked as though he had belted on a featherbed, and Prince Tommen"
Tommen (Tommen), Arya S (Arya), 136900, "For the second time today, Arya reflected that life was not fair.  She watched her little brother whack at Tommen"
Brandon S (Bran), Tommen (Tommen), 136934, "life was not fair.  She watched her little brother whack at Tommen. �I could do just as good as Bran"
Jon S (Jon), Tommen (Tommen), 136980, "brother whack at Tommen. �I could do just as good as Bran,� she said. �He�s only seven. I�m nine.�  Jon"
Tommen (Tommen), Arya S (Arya), 137322, " Arya snatched back her arm and glared at him. Jon messed up her hair again. They watched Bran and Tommen"
Tommen (Tommen), Brandon S (Bran), 137322, " Arya snatched back her arm and glared at him. Jon messed up her hair again. They watched Bran and Tommen"
Tommen (Tommen), Jon S (Jon), 137322, " Arya snatched back her arm and glared at him. Jon messed up her hair again. They watched Bran and Tommen"
Joffrey B (Prince Joffrey), Tommen (Tommen), 137366, "at him. Jon messed up her hair again. They watched Bran and Tommen circle each other.  �You see Prince Joffrey"
Jon S (Jon), Tommen (Tommen), 137372, "him. Jon messed up her hair again. They watched Bran and Tommen circle each other.  �You see Prince Joffrey?� Jon"
Tommen (Tommen), Joffrey B (Joffrey), 141372, "Ser Rodrik tugged at his whiskers in dismay.  Joffrey feigned a yawn and turned to his younger brother. �Come, Tommen"
Tommen (Tommen), Rodrik C (Ser Rodrik), 141372, "Ser Rodrik tugged at his whiskers in dismay.  Joffrey feigned a yawn and turned to his younger brother. �Come, Tommen"
