Vardis E Encounters:
Jon S (Jon), Vardis E (Ser Vardis), 734497, "silver-haired man in a sky-blue cloak and hammered moon-and-falcon breastplate helped her from the basket; Ser Vardis Egen, captain of Jon"
Jon A (Jon Arryn), Vardis E (Ser Vardis), 734503, "man in a sky-blue cloak and hammered moon-and-falcon breastplate helped her from the basket; Ser Vardis Egen, captain of Jon Arryn"
Colemon (Maester Colemon), Vardis E (Ser Vardis), 734555, "moon-and-falcon breastplate helped her from the basket; Ser Vardis Egen, captain of Jon Arryn�s household guard. Beside him stood Maester Colemon"
Vardis E (Ser Vardis), Catelyn S (Lady Stark), 734639, "guard. Beside him stood Maester Colemon, thin and nervous, with too little hair and too much neck. �Lady Stark,� Ser Vardis"
Vardis E (Ser Vardis), Colemon (Maester Colemon), 734639, "guard. Beside him stood Maester Colemon, thin and nervous, with too little hair and too much neck. �Lady Stark,� Ser Vardis"
Colemon (Maester Colemon), Vardis E (Ser Vardis), 734712, "hair and too much neck. �Lady Stark,� Ser Vardis said, �the pleasure is as great as it is unanticipated.� Maester Colemon"
Vardis E (Ser Vardis), Colemon (Maester Colemon), 736765, "sister broke the embrace. �Tired. Yes. Oh, yes.� She seemed to notice the others then; her maid, Maester Colemon, Ser Vardis"
Catelyn S (Catelyn), Vardis E (Ser Vardis), 736848, "maid, Maester Colemon, Ser Vardis. �Leave us,� she told them. �I wish to speak to my sister alone.� She held Catelyn"
Vardis E (Ser Vardis), Lysa A (Lady Lysa), 811722, "the High Hall of the Arryns.  �My sister�s little guest is too weary to stand,� Lady Lysa announced. �Ser Vardis"
Vardis E (Ser Vardis), Mord (Mord), 819712, "in his sleep when they came for him, late that night. Mord opened the door but kept his silence. Ser Vardis"
Vardis E (Vardis Egen), Mord (Mord), 819717, "his sleep when they came for him, late that night. Mord opened the door but kept his silence. Ser Vardis Egen"
Tyrion L (Tyrion), Vardis E (Ser Vardis), 819729, "when they came for him, late that night. Mord opened the door but kept his silence. Ser Vardis Egen woke Tyrion"
Tyrion L (Imp), Vardis E (Ser Vardis), 819776, "the door but kept his silence. Ser Vardis Egen woke Tyrion with the point of his boot. �On your feet, Imp"
Tyrion L (Tyrion), Vardis E (Ser Vardis), 819812, "Egen woke Tyrion with the point of his boot. �On your feet, Imp. My lady wants to see you.�  Tyrion"
Tyrion L (Tyrion), Vardis E (Ser Vardis), 819975, "scarcely felt. �No doubt she does, but what makes you think I wish to see her?�  Ser Vardis frowned. Tyrion"
Vardis E (Ser Vardis), Tyrion L (Tyrion), 820613, "cloak,� Tyrion repeated. �The shadowskin you took from me for safekeeping. You recall.�  �Get him the damnable cloak,� Ser Vardis"
Mord (Mord), Vardis E (Ser Vardis), 820625, "�The shadowskin you took from me for safekeeping. You recall.�  �Get him the damnable cloak,� Ser Vardis said.  Mord"
Tyrion L (Tyrion), Vardis E (Ser Vardis), 820662, "safekeeping. You recall.�  �Get him the damnable cloak,� Ser Vardis said.  Mord did not dare grumble. He gave Tyrion"
Vardis E (Ser Vardis), Tyrion L (Imp), 824356, "�I will not be made mock of. You have had your little jape, Imp. I trust you enjoyed it. Ser Vardis"
Vardis E (Ser Vardis), Tyrion L (Tyrion), 824547, "floor more sharply sloped.�  �Is this how justice is done in the Vale?� Tyrion roared, so loudly that Ser Vardis"
Vardis E (Ser Vardis), Tyrion L (Tyrion), 825273, "of the queen. He could not be denied a trial. Guardsmen in sky-blue cloaks had started toward Tyrion, but Ser Vardis"
Lysa A (Lady Lysa), Vardis E (Ser Vardis), 825311, "a trial. Guardsmen in sky-blue cloaks had started toward Tyrion, but Ser Vardis bid them halt and looked to Lady Lysa"
Vardis E (Ser Vardis), Lysa A (Lysa), 829423, "snapped Lysa Arryn.  �Send a bird for him. I will gladly await his arrival.�  �You will face Ser Vardis"
Tyrion L (Tyrion), Vardis E (Ser Vardis), 829457, "bird for him. I will gladly await his arrival.�  �You will face Ser Vardis on the morrow.�  �Singer,� Tyrion"
Marillion (Marillion), Vardis E (Ser Vardis), 829484, "will gladly await his arrival.�  �You will face Ser Vardis on the morrow.�  �Singer,� Tyrion said, turning to Marillion"
Vardis E (Ser Vardis), Hunter (Lord Hunter), 851654, "here��  �Small chance of that, my lady,� Lord Hunter assured her, patting her shoulder with a liver-spotted hand. �Ser Vardis"
Catelyn S (Catelyn), Vardis E (Ser Vardis), 851748, "hand. �Ser Vardis is a doughty fighter. He will make short work of the sellsword.�  �Will he, my lord?� Catelyn"
Vardis E (Ser Vardis), Morton W (Ser Morton), 852123, "were gathering around them like bees round a blossom. �Women understand little of these things,� Ser Morton Waynwood said. �Ser Vardis"
Vardis E (Ser Vardis), Jon S (Jon), 859271, "wings. �I had that sword crafted for Jon in King�s Landing,� Lysa told her guests proudly as they watched Ser Vardis"
Vardis E (Ser Vardis), Lysa A (Lysa), 859271, "wings. �I had that sword crafted for Jon in King�s Landing,� Lysa told her guests proudly as they watched Ser Vardis"
Robert B (Robert), Vardis E (Ser Vardis), 859350, "as they watched Ser Vardis try a practice cut. �He wore it whenever he sat the Iron Throne in King Robert"
Vardis E (Ser Vardis), Catelyn S (Catelyn), 859558, "his own blade.�  The engraved silver blade was beautiful beyond a doubt, but it seemed to Catelyn that Ser Vardis"
Vardis E (Ser Vardis), Robert B (Robert), 859740, "nothing; she was weary of futile arguments with her sister.  �Make them fight!� Lord Robert called out.  Ser Vardis"
Robert A (Lord of the Eyrie), Vardis E (Ser Vardis), 859768, "arguments with her sister.  �Make them fight!� Lord Robert called out.  Ser Vardis faced the Lord of the Eyrie"
Tyrion L (Tyrion), Vardis E (Ser Vardis), 859838, "Vardis faced the Lord of the Eyrie and lifted his sword in salute. �For the Eyrie and the Vale!�  Tyrion"
Tyrion L (Tyrion Lannister), Vardis E (Ser Vardis), 859848, "faced the Lord of the Eyrie and lifted his sword in salute. �For the Eyrie and the Vale!�  Tyrion Lannister"
Vardis E (Ser Vardis), Lysa A (Lady Lysa), 860124, "to her lord son.  �Fight!� the boy screamed, his arms trembling as they clutched at his chair.  Ser Vardis"
Bronn (Bronn), Vardis E (Ser Vardis), 860170, "boy screamed, his arms trembling as they clutched at his chair.  Ser Vardis swiveled, bringing up his heavy shield. Bronn"
Vardis E (Ser Vardis), Bronn (Bronn), 860463, "Bronn jerked back, just out of reach, and the silver blade cut only air. Bronn circled to his right. Ser Vardis"
Bronn (Bronn), Vardis E (Ser Vardis), 860694, "on the uneven ground. The sellsword gave way, a faint smile playing over his lips. Ser Vardis attacked, slashing, but Bronn"
Bronn (Bronn), Vardis E (Ser Vardis), 860929, "toward the knight�s unprotected side. Ser Vardis tried a hack at his legs, but he did not have the reach. Bronn"
Vardis E (Ser Vardis), Bronn (Bronn), 860968, "tried a hack at his legs, but he did not have the reach. Bronn danced farther to his left. Ser Vardis"
Hunter (Lord Hunter), Vardis E (Ser Vardis), 861019, "have the reach. Bronn danced farther to his left. Ser Vardis turned in place.  �The man is craven,� Lord Hunter"
Catelyn S (Catelyn), Vardis E (Ser Vardis), 861100, "in place.  �The man is craven,� Lord Hunter declared. �Stand and fight, coward!� Other voices echoed the sentiment.  Catelyn"
Vardis E (Ser Vardis), Rodrik C (Ser Rodrik), 861201, " Catelyn looked to Ser Rodrik. Her master-at-arms gave a curt shake of his head. �He wants to make Ser Vardis"
Vardis E (Ser Vardis), Catelyn S (Catelyn), 863802, "rock where he�d been born.  The ringing clash of steel on steel jarred Catelyn back to the present. Ser Vardis"
Bronn (Bronn), Vardis E (Ser Vardis), 863827, " The ringing clash of steel on steel jarred Catelyn back to the present. Ser Vardis was coming hard at Bronn"
Bronn (Bronn), Vardis E (Ser Vardis), 864232, "notch from Ser Vardis�s shoulder plate.  The brief flurry of fighting ended as swiftly as it had begun when Bronn"
Vardis E (Ser Vardis), Bronn (Bronn), 864304, "ended as swiftly as it had begun when Bronn sidestepped and slid behind the statue of the weeping woman. Ser Vardis"
Alyssa A (Alyssa), Vardis E (Ser Vardis), 864380, "of the weeping woman. Ser Vardis lunged at where he had been, striking a spark off the pale marble of Alyssa"
Bronn (Bronn), Vardis E (Ser Vardis), 865168, "with a crunch. Ser Vardis took a half step back to brace himself, raised his shield. Oak chips flew as Bronn"
Vardis E (Ser Vardis), Bronn (Bronn), 865281, "as Bronn�s sword hacked at the wooden wall. The sellsword stepped left again, away from the shield, and caught Ser Vardis"
Bronn (Bronn), Vardis E (Ser Vardis), 865488, "knight�s plate.  Ser Vardis drove forward off his back foot, his own silver blade descending in a savage arc. Bronn"
Vardis E (Ser Vardis), Bronn (Bronn), 865852, "vision.  �Behind you, ser!� Lord Hunter shouted, too late. Bronn brought his sword down with both hands, catching Ser Vardis"
Vardis E (Ser Vardis), Hunter (Lord Hunter), 865852, "vision.  �Behind you, ser!� Lord Hunter shouted, too late. Bronn brought his sword down with both hands, catching Ser Vardis"
Rodrik C (Ser Rodrik), Vardis E (Ser Vardis), 866179, "steel song filled the garden and rang off the white towers of the Eyrie.  �Ser Vardis is hurt,� Ser Rodrik"
Catelyn S (Catelyn), Vardis E (Ser Vardis), 866211, "rang off the white towers of the Eyrie.  �Ser Vardis is hurt,� Ser Rodrik said, his voice grave.  Catelyn"
Bronn (Bronn), Vardis E (Ser Vardis), 866527, "the one before. Ser Vardis turned his side to his foe, trying to use his shield to block instead, but Bronn"
Lysa A (Lady Lysa), Vardis E (Ser Vardis), 867167, "lords of the Vale could see what was happening below them, yet her sister could not. �Enough, Ser Vardis!� Lady Lysa"
Vardis E (Ser Vardis), Lysa A (Lady Lysa), 867259, "Lady Lysa called down. �Finish him now, my baby is growing tired.�  And it must be said of Ser Vardis"
Vardis E (Vardis Egen), Lysa A (Lady Lysa), 867264, "Lysa called down. �Finish him now, my baby is growing tired.�  And it must be said of Ser Vardis Egen"
Vardis E (Ser Vardis), Bronn (Bronn), 867478, "reeling backward, half-crouched behind his scarred shield; the next he charged. The sudden bull rush caught Bronn off balance. Ser Vardis"
Bronn (Bronn), Vardis E (Ser Vardis), 867578, "off balance. Ser Vardis crashed into him and slammed the lip of his shield into the sellsword�s face. Almost, almost, Bronn"
Vardis E (Ser Vardis), Alyssa A (Alyssa), 868260, "shoulder into the statue�s back. The weathered likeness of Alyssa Arryn tottered and fell with a great crash, and Ser Vardis"
Vardis E (Vardis Egen), Alyssa A (Alyssa), 868265, "into the statue�s back. The weathered likeness of Alyssa Arryn tottered and fell with a great crash, and Ser Vardis Egen"
Bronn (Bronn), Vardis E (Ser Vardis), 868295, "likeness of Alyssa Arryn tottered and fell with a great crash, and Ser Vardis Egen went down beneath her.  Bronn"
Catelyn S (Catelyn), Vardis E (Ser Vardis), 868523, "between arm and breastplate. Ser Vardis was lying on his side, pinned beneath the broken torso of the weeping woman. Catelyn"
Bronn (Bronn), Vardis E (Ser Vardis), 868765, "under the arm and through the ribs. Ser Vardis Egen shuddered and lay still.  Silence hung over the Eyrie. Bronn"
Tyrion L (Tyrion), Vardis E (Ser Vardis), 887546, "dark gap in his smile where the edge of Ser Vardis Egen�s shield had cracked a tooth in half.  Tyrion"
Vardis E (Ser Vardis), Tyrion L (Tyrion), 896426, "singer to champion you.�  Tyrion grinned. �That would have been amusing. I can just see him fending off Ser Vardis"
