Walder F Encounters:
Walder F (Walder), Brandon S (Bran), 466485, "name. Old Nan had cackled like a hen when Bran told her that, and confessed that Hodor�s real name was Walder"
Walder F (Walder), Hodor (Hodor), 466485, "name. Old Nan had cackled like a hen when Bran told her that, and confessed that Hodor�s real name was Walder"
Walder F (Walder), Nan (Old Nan), 466485, "name. Old Nan had cackled like a hen when Bran told her that, and confessed that Hodor�s real name was Walder"
Hodor (Hodor), Walder F (Walder), 466511, "like a hen when Bran told her that, and confessed that Hodor�s real name was Walder. No one knew where �Hodor"
Walder F (Lord Frey), Shella W (Lady Whent), 555148, "settle; Lady Whent, last of her line, who dwelt with her ghosts in the cavernous vaults of Harrenhal; irascible Lord Frey"
Walder F (Lord Frey), Rhaegar T (Rhaegar Targaryen), 555731, "Mootons had sworn oaths to Riverrun as well, yet they had fought with Rhaegar Targaryen on the Trident, while Lord Frey"
Catelyn S (Catelyn), Walder F (Lord Frey), 556008, "the aftermath, but ever after her father had called him the Late Lord Frey). It must not come to war, Catelyn"
Rodrik C (Ser Rodrik), Walder F (Lord Frey), 556061, "the Late Lord Frey). It must not come to war, Catelyn thought fervently. They must not let it.  Ser Rodrik"
Walder F (Walder), Danwell F (Danwell), 569210, "the Crossing: Ser Jared, Ser Hosteen, Ser Danwell, Ser Emmon, Ser Theo, Ser Perwyn, sons and grandsons of old Lord Walder"
Walder F (Walder), Emmon (Emmon), 569210, "the Crossing: Ser Jared, Ser Hosteen, Ser Danwell, Ser Emmon, Ser Theo, Ser Perwyn, sons and grandsons of old Lord Walder"
Walder F (Walder), Hosteen F (Ser Hosteen), 569210, "the Crossing: Ser Jared, Ser Hosteen, Ser Danwell, Ser Emmon, Ser Theo, Ser Perwyn, sons and grandsons of old Lord Walder"
Walder F (Walder), Jared F (Jared), 569210, "the Crossing: Ser Jared, Ser Hosteen, Ser Danwell, Ser Emmon, Ser Theo, Ser Perwyn, sons and grandsons of old Lord Walder"
