Wendel M Encounters:
Wendel M (Wendel), Catelyn S (Catelyn), 1169569, "to his horse and trotted briskly toward the banners. Catelyn rode beside him.  Ser Wylis and his brother Ser Wendel"
Wendel M (Wendel), Wylis M (Wylis), 1169569, "to his horse and trotted briskly toward the banners. Catelyn rode beside him.  Ser Wylis and his brother Ser Wendel"
Wendel M (Wendel), Wylis M (Wylis), 1170595, "fattest man she�d ever known, had she only neglected to meet his father and brother. Wylis was quiet and formal, Wendel"
Catelyn S (Catelyn), Wendel M (Wendel), 1171658, "behind with his men to see the fires laid and the horses tended, while his brother Wendel rode on with Catelyn"
Wendel M (Wendel), Brynden T (Brynden), 1174863, "banner flew alone. That was where Robb had made his seat. Catelyn made for it, with Ser Brynden and Ser Wendel"
Wendel M (Wendel), Catelyn S (Catelyn), 1174863, "banner flew alone. That was where Robb had made his seat. Catelyn made for it, with Ser Brynden and Ser Wendel"
Wendel M (Wendel), Robb S (Robb), 1174863, "banner flew alone. That was where Robb had made his seat. Catelyn made for it, with Ser Brynden and Ser Wendel"
Wendel M (Wendel), Robb S (Robb), 1176977, "ashore at White Harbor, and Lord Wyman told me that Robb had called the banners. You know his son, Ser Wendel"
Wendel M (Wendel), Wyman (Wyman), 1176977, "ashore at White Harbor, and Lord Wyman told me that Robb had called the banners. You know his son, Ser Wendel"
Brynden T (Brynden), Wendel M (Wendel Manderly), 1177081, "son, Ser Wendel,� Wendel Manderly stepped forward and bowed as low as his girth would allow. �And my uncle, Ser Brynden"
Wendel M (Wendel), Brynden T (Blackfish), 1177242, " �The Blackfish,� Robb said. �Thank you for joining us, ser. We need men of your courage. And you, Ser Wendel"
Wendel M (Wendel), Robb S (Robb), 1177242, " �The Blackfish,� Robb said. �Thank you for joining us, ser. We need men of your courage. And you, Ser Wendel"
Rodrik C (Ser Rodrik), Wendel M (Wendel), 1177285, "ser. We need men of your courage. And you, Ser Wendel, I am glad to have you here. Is Ser Rodrik"
Robb S (Robb), Wendel M (Wendel Manderly), 1262135, "will all share his meat and mead,� declared Ser Wendel Manderly.  �Or let him come out and treat with Robb"
Wendel M (Wendel), Daryn H (Daryn Hornwood), 1370631, "Umber, Daryn Hornwood, Theon Greyjoy, no less than five of Walder Frey�s vast brood, along with older men like Ser Wendel"
Wendel M (Wendel), Theon G (Theon Greyjoy), 1370631, "Umber, Daryn Hornwood, Theon Greyjoy, no less than five of Walder Frey�s vast brood, along with older men like Ser Wendel"
Wendel M (Wendel), Walder F (Walder Frey), 1370631, "Umber, Daryn Hornwood, Theon Greyjoy, no less than five of Walder Frey�s vast brood, along with older men like Ser Wendel"
Dacey M (Dacey), Wendel M (Wendel Manderly), 1370703, "brood, along with older men like Ser Wendel Manderly and Robin Flint. One of his companions was even a woman: Dacey"
Maege M (Maege), Wendel M (Wendel Manderly), 1370723, "older men like Ser Wendel Manderly and Robin Flint. One of his companions was even a woman: Dacey Mormont, Lady Maege"
