Greatjon U Encounters:
Hodor (Hodor), Greatjon U (Greatjon), 1128250, "Lord Umber, who was called the Greatjon by his men and stood as tall as Hodor"
Robb S (Robb), Greatjon U (Greatjon), 1128682, "oathbreaker.� Cursing, the Greatjon flung a flagon of ale into the fire and bellowed that Robb"
Greatjon U (Greatjon), Brandon S (Bran), 1129395, "doubtless you only meant to cut my meat.� Bran�s bowels went to water as the Greatjon"
Robb S (Robb), Greatjon U (Greatjon), 1129592, "�Your meat,� he roared, �is bloody tough.�  And somehow after that the Greatjon became Robb"
Greatjon U (Greatjon), Hal M (Hal), 1130087, "Hal, like he was no bigger than Rickon? Gods, I was so scared. And the Greatjon"
Greatjon U (Greatjon), Rickon S (Rickon), 1130087, "Hal, like he was no bigger than Rickon? Gods, I was so scared. And the Greatjon"
Roose B (Roose), Greatjon U (Greatjon), 1130141, "was so scared. And the Greatjon�s not the worst of them, only the loudest. Lord Roose"
Greatjon U (Lord Umber), Hal M (Hal), 1133679, "red eyes, �and watch over his men, Hal and Quent and the rest, and Lord Umber"
Maege M (Lady Mormont), Greatjon U (Lord Umber), 1133696, "watch over his men, Hal and Quent and the rest, and Lord Umber and Lady Mormont"
Theon G (Theon), Greatjon U (Lord Umber), 1133727, "Quent and the rest, and Lord Umber and Lady Mormont and the other lords. And Theon"
Greatjon U (Greatjon), Rickard K (Lord Rickard), 1139723, "with them. He took his meal in the solar instead, with Lord Rickard and the Greatjon"
Greatjon U (Greatjon), Theon G (Theon Greyjoy), 1143822, "banner of House Stark atop a high standard of grey ash. Theon Greyjoy and the Greatjon"
Robb S (Robb), Greatjon U (Greatjon), 1143853, "standard of grey ash. Theon Greyjoy and the Greatjon fell in on either side of Robb"
Greatjon U (Greatjon), Roose B (Roose Bolton), 1175252, "of maps and papers in front of him, talking intently with Roose Bolton and the Greatjon"
Greatjon U (Greatjon), Galbart G (Galbart), 1176679, "as ever, a welcome sight in troubled times.� The Glovers followed, Galbart and Robett, and Greatjon"
