Rickard K Encounters:
Rickard S (Rickard Stark), Rickard K (Lord Rickard), 79378, "knelt, and bowed his head.  There were three tombs, side by side. Lord Rickard Stark"
Eddard S (Ned), Rickard K (Lord Rickard), 79383, "and bowed his head.  There were three tombs, side by side. Lord Rickard Stark, Ned"
Rickard K (Lord Rickard), Brandon S (Brandon Stark), 458164, "Stark whose mother had died birthing him. He had been an older brother of Lord Rickard"
Brandon S (Bran), Rickard K (Lord Rickard), 458170, "whose mother had died birthing him. He had been an older brother of Lord Rickard, Bran"
Rickard K (Lord Rickard), Brandon S (Bran), 458244, "of Lord Rickard, Bran�s grandfather, or perhaps a younger brother, or a brother to Lord Rickard"
Nan (Old Nan), Rickard K (Lord Rickard), 458272, "grandfather, or perhaps a younger brother, or a brother to Lord Rickard�s father. Sometimes Old Nan"
Rickard K (Lord Rickard), Hodor (Hodor), 1115369, "the outer wall, peering through Maester Luwin�s bronze far-eye while perched on Hodor�s shoulders. Lord Rickard"
Rickard K (Lord Rickard), Luwin (Maester Luwin), 1115369, "the outer wall, peering through Maester Luwin�s bronze far-eye while perched on Hodor�s shoulders. Lord Rickard"
Harrion K (Harrion), Rickard K (Lord Rickard), 1115404, "Luwin�s bronze far-eye while perched on Hodor�s shoulders. Lord Rickard himself led them, his sons Harrion"
Eddard S (Eddard), Rickard K (Lord Rickard), 1115415, "far-eye while perched on Hodor�s shoulders. Lord Rickard himself led them, his sons Harrion and Eddard"
Torrhen K (Torrhen), Rickard K (Lord Rickard), 1115427, "perched on Hodor�s shoulders. Lord Rickard himself led them, his sons Harrion and Eddard and Torrhen"
Brandon S (Brandon), Rickard K (Lord Rickard), 1132989, "had returned.  Their grandfather, old Lord Rickard, had gone as well, with his son Brandon"
Rickard K (Lord Rickard), Robb S (Robb), 1139706, "Robb was not with them. He took his meal in the solar instead, with Lord Rickard"
Greatjon U (Greatjon), Rickard K (Lord Rickard), 1139723, "with them. He took his meal in the solar instead, with Lord Rickard and the Greatjon"
Rickard K (Lord Rickard), Harrion K (Harrion Karstark), 1140404, "meat and mead in honor of our friendship.�  Harrion Karstark, the oldest of Lord Rickard"
Rickard K (Rickard Karstark), Roose B (Roose Bolton), 1179781, "said. �Pray, who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark"
Galbart G (Galbart), Rickard K (Rickard Karstark), 1179790, "�Pray, who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart"
Robett G (Robett), Rickard K (Rickard Karstark), 1179801, "were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett"
Greatjon U (Greatjon), Rickard K (Rickard Karstark), 1179822, "I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon"
Helman T (Helman), Rickard K (Rickard Karstark), 1179830, "saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman"
Rickard K (Rickard Karstark), Roose B (Roose Bolton), 1188595, "You cannot afford to seem indecisive in front of men like Roose Bolton and Rickard Karstark"
Robb S (Robb), Rickard K (Rickard Karstark), 1188618, "seem indecisive in front of men like Roose Bolton and Rickard Karstark. Make no mistake, Robb"
Rickard K (Lord Rickard), Greatjon U (Greatjon), 1260164, "Greatjon began to curse and swear as soon as he saw what awaited them. Lord Rickard"
Roose B (Roose), Rickard K (Rickard Karstark), 1260238, "what awaited them. Lord Rickard Karstark glowered in silence. �That cannot be assaulted, my lords,� Roose"
Rickard K (Lord Rickard), Brandon S (Bran), 1443967, "end now, and Bran felt a sadness creeping over him. �And there�s my grandfather, Lord Rickard"
Aerys T (Mad), Rickard K (Lord Rickard), 1443992, "a sadness creeping over him. �And there�s my grandfather, Lord Rickard, who was beheaded by Mad"
Lyanna (Lyanna), Rickard K (Lord Rickard), 1444024, "�And there�s my grandfather, Lord Rickard, who was beheaded by Mad King Aerys. His daughter Lyanna"
Brandon S (Brandon), Rickard K (Lord Rickard), 1444044, "Lord Rickard, who was beheaded by Mad King Aerys. His daughter Lyanna and his son Brandon"
Rickard K (Lord Rickard), Brandon S (Bran), 1446012, "struggled to his knees, his arm torn and bloody. Osha propped Bran up against Lord Rickard"
Rickard K (Lord Rickard), Osha (Osha), 1446012, "struggled to his knees, his arm torn and bloody. Osha propped Bran up against Lord Rickard"
Rickard K (Rickard Karstark), Greatjon U (Greatjon Umber), 1556960, "earth, his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber, Rickard Karstark"
Maege M (Maege), Rickard K (Rickard Karstark), 1556967, "his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber, Rickard Karstark, Maege"
Galbart G (Galbart), Rickard K (Rickard Karstark), 1556984, "hands clasped around the hilt. Around him others knelt: Greatjon Umber, Rickard Karstark, Maege Mormont, Galbart"
Tytos B (Tytos Blackwood), Rickard K (Rickard Karstark), 1557023, "him others knelt: Greatjon Umber, Rickard Karstark, Maege Mormont, Galbart Glover, and more. Even Tytos Blackwood"
Rickard K (Lord Rickard), Catelyn S (Catelyn), 1560418, "then Theon Greyjoy; Galbart Glover and Lady Mormont were to the right of Catelyn. Lord Rickard"
Rickard K (Lord Rickard), Galbart G (Galbart Glover), 1560418, "then Theon Greyjoy; Galbart Glover and Lady Mormont were to the right of Catelyn. Lord Rickard"
Rickard K (Lord Rickard), Maege M (Lady Mormont), 1560418, "then Theon Greyjoy; Galbart Glover and Lady Mormont were to the right of Catelyn. Lord Rickard"
Rickard K (Lord Rickard), Theon G (Theon Greyjoy), 1560418, "then Theon Greyjoy; Galbart Glover and Lady Mormont were to the right of Catelyn. Lord Rickard"
Rickard K (Rickard Karstark), Jaime L (Kingslayer), 1564590, "declared Lady Mormont. �Ransoms be damned, we must not give up the Kingslayer,� shouted Rickard Karstark"
Rickard K (Rickard Karstark), Maege M (Lady Mormont), 1564590, "declared Lady Mormont. �Ransoms be damned, we must not give up the Kingslayer,� shouted Rickard Karstark"
Catelyn S (Catelyn), Rickard K (Rickard Karstark), 1564619, "we must not give up the Kingslayer,� shouted Rickard Karstark.  �Why not a peace?� Catelyn"
Robb S (Robb), Rickard K (Rickard Karstark), 1564668, "�Why not a peace?� Catelyn asked.  The lords looked at her, but it was Robb"
Jonos B (Lord Bracken), Rickard K (Rickard Karstark), 1567215, "return to Karhold with nothing but their bones?� asked Rickard Karstark.  �Aye,� said Lord Bracken"
Gregor C (Gregor), Rickard K (Rickard Karstark), 1567224, "to Karhold with nothing but their bones?� asked Rickard Karstark.  �Aye,� said Lord Bracken. �Gregor"
