changes,Aemon T Encounters:,,,
,Gared (Gared), Aemon T (Aemon),20279," ""it; and if not him; then surely that old bear Mormont or Maester Aemon. Would Gared"""
delete,Aemon T (Aemon), Ryam R (Ryam Redwyne),144493," ""names were like music to him. Serwyn of the Mirror Shield. Ser Ryam Redwyne. Prince Aemon"""
delete,Dragonknight (Dragonknight), Aemon T (Aemon),144510," ""like music to him. Serwyn of the Mirror Shield. Ser Ryam Redwyne. Prince Aemon the Dragonknight"""
delete,Erryk (Erryk), Aemon T (Aemon),144531," ""Serwyn of the Mirror Shield. Ser Ryam Redwyne. Prince Aemon the Dragonknight. The twins Ser Erryk"""
delete,Arryk (Ser Arryk), Aemon T (Aemon),144545," ""Mirror Shield. Ser Ryam Redwyne. Prince Aemon the Dragonknight. The twins Ser Erryk and Ser Arryk"""
delete,Aemon T (Aemon), Daeryssa (Daeryssa),282519," ""time Serwyn of the Mirror Shield saved the Princess Daeryssa from the giants; or Prince Aemon"""
delete,Dragonknight (Dragonknight), Aemon T (Aemon),282536," ""of the Mirror Shield saved the Princess Daeryssa from the giants; or Prince Aemon the Dragonknight"""
delete,Naerys (Queen Naerys), Aemon T (Aemon),282561," ""Shield saved the Princess Daeryssa from the giants; or Prince Aemon the Dragonknight championing Queen Naerys"""
delete,Morgil (Morgil), Aemon T (Aemon),282593," ""from the giants; or Prince Aemon the Dragonknight championing Queen Naerys's honor against evil Ser Morgil"""
,Aemon T (Aemon), Benjen S (First Ranger),339876," ""First Ranger; and he spent his days and nights with Lord Commander Mormont and Maester Aemon"""
,Aemon T (Aemon), Jeor M (Commander Mormont),339876," ""First Ranger; and he spent his days and nights with Lord Commander Mormont and Maester Aemon"""
,Jon S (Jon), Aemon T (Aemon),339915," ""and nights with Lord Commander Mormont and Maester Aemon and the other high officers; while Jon"""
,Aemon T (Aemon), Tyrion L (Lord Tyrion),393235," ""small man.""  ""Oh; I think that Lord Tyrion is quite a large man;"" Maester Aemon"""
,Tyrion L (Tyrion), Aemon T (Aemon),393646," ""one of them.""  ""Nonetheless;"" Maester Aemon said as his clouded; milk-white eyes moved to Tyrion"""
,Aemon T (Aemon), Alliser T (Alliser Thorne),397390," ""it up? Alliser Thorne? Bowen Marsh? I would have to be as blind as Maester Aemon"""
,Aemon T (Aemon), Bowen M (Bowen Marsh),397390," ""it up? Alliser Thorne? Bowen Marsh? I would have to be as blind as Maester Aemon"""
,Bowen M (Bowen), Aemon T (Aemon),508668," ""stood at guard; mucked out stables; fletched arrows; assisted Maester Aemon with his birds or Bowen"""
,Jon S (Jon), Aemon T (Aemon),520952," ""When Maester Aemon heard him sing; he said his voice was honey poured over thunder."" Jon"""
delete,Aemon T (Aemon), Ryam R (Ryam Redwyne),627288," ""know what his oath is worth. The days when men like Ryam Redwyne and Prince Aemon"""
delete,Dragonknight (Dragonknight), Aemon T (Aemon),627305," ""his oath is worth. The days when men like Ryam Redwyne and Prince Aemon the Dragonknight"""
,Aemon T (Aemon), Chett (Chett),879720," ""angry.  It was Chett who answered Jon's knock. ""I need to speak to Maester Aemon"""
,Aemon T (Aemon), Jon S (Jon),879720," ""angry.  It was Chett who answered Jon's knock. ""I need to speak to Maester Aemon"""
,Jon S (Jon), Aemon T (Aemon),879726," "" It was Chett who answered Jon's knock. ""I need to speak to Maester Aemon;"" Jon"""
,Aemon T (Aemon), Chett (Chett),880571," ""you.""  Jon had the logs crackling merrily by the time Chett led in Maester Aemon"""
,Aemon T (Aemon), Jon S (Jon),880571," ""you.""  Jon had the logs crackling merrily by the time Chett led in Maester Aemon"""
,Aemon T (Aemon), Jon S (Jon Snow),880995," ""to have woken you; Maester;"" Jon Snow said.  ""You did not wake me;"" Maester Aemon"""
,Chett (Chett), Aemon T (Aemon),881451," ""as a brother of the Night's Watch.""  ""This is no concern of Maester Aemon;"" Chett"""
,Chett (Chett), Aemon T (Aemon),882050," ""Ghost at Rast's throat. Maester Aemon listened silently; blind eyes fixed on the fire; but Chett"""
,Chett (Chett), Aemon T (Aemon),882537," ""what you say is true.""  ""Maybe it is so;"" Maester Aemon said. ""Tell me; Chett"""
,Aemon T (Aemon), Luwin (Maester Luwin),882962," ""once I asked Maester Luwin why he wore a chain around his throat.""  Maester Aemon"""
,Jon S (Jon), Aemon T (Aemon),884640," ""stewards.""  Maester Aemon was gentler. ""Is your friend a hunter?""  ""He hates hunting;"" Jon"""
,Aemon T (Aemon), Samwell T (Sam),885066," ""foot.""  ""I know one thing Sam could do better than anyone.""  ""Yes?"" Maester Aemon"""
,Jon S (Jon), Aemon T (Aemon),885081," ""know one thing Sam could do better than anyone.""  ""Yes?"" Maester Aemon prompted.  Jon"""
,Chett (Chett), Aemon T (Aemon),885105," ""could do better than anyone.""  ""Yes?"" Maester Aemon prompted.  Jon glanced warily at Chett"""
,Jon S (Jon), Aemon T (Aemon),885626," ""use of him instead.""  Maester Aemon closed his eyes; and for a brief moment Jon"""
delete,Aemon T (Aemon), Naerys (Queen Naerys),937782," ""Father; I truly truly do; I love him as much as Queen Naerys loved Prince Aemon"""
delete,Dragonknight (Dragonknight), Aemon T (Aemon),937799," ""truly truly do; I love him as much as Queen Naerys loved Prince Aemon the Dragonknight"""
delete,Florian (Ser Florian), Aemon T (Aemon),937837," ""much as Queen Naerys loved Prince Aemon the Dragonknight; as much as Jonquil loved Ser Florian"""
delete,Aemon T (Aemon), Joffrey B (Joffrey),938135," ""and strong. This match with Joffrey was a terrible mistake. That boy is no Prince Aemon"""
delete,Sansa S (Sansa), Aemon T (Aemon),938174," ""terrible mistake. That boy is no Prince Aemon; you must believe me.""  ""He is!"" Sansa"""
,Alliser T (Ser Alliser), Aemon T (Aemon),1009822," ""sober.  The high officers arrived in a body; Maester Aemon leaning on Clydas; Ser Alliser"""
,Jeor M (Commander Mormont), Aemon T (Aemon),1009865," ""in a body; Maester Aemon leaning on Clydas; Ser Alliser cold-eyed and grim; Lord Commander Mormont"""
,Aemon T (Aemon), Halder (Halder),1015107," ""and Albett trailed out after him.  Jon looked around him in sick disbelief. Maester Aemon"""
,Aemon T (Aemon), Jon S (Jon),1015107," ""and Albett trailed out after him.  Jon looked around him in sick disbelief. Maester Aemon"""
,Aemon T (Aemon), Bowen M (Bowen Marsh),1015390," "" Lord Steward Bowen Marsh rubbed his plump hands together. ""Samwell; you will assist Maester Aemon"""
,Aemon T (Aemon), Samwell T (Samwell),1015390," "" Lord Steward Bowen Marsh rubbed his plump hands together. ""Samwell; you will assist Maester Aemon"""
,Chett (Chett), Aemon T (Aemon),1015424," ""his plump hands together. ""Samwell; you will assist Maester Aemon in the rookery and library. Chett"""
delete,Aemon T (Aemon), Florian (Florian),1082105," ""stories of Florian and Jonquil; of Lady Shella and the Rainbow Knight; of valiant Prince Aemon"""
delete,Aemon T (Aemon), Shella W (Shella),1082105," ""stories of Florian and Jonquil; of Lady Shella and the Rainbow Knight; of valiant Prince Aemon"""
,Aemon T (Aemon), Jon S (Jon),1085013," ""look;"" Jon told him; keeping his voice low so the others would not hear. ""Maester Aemon"""
,Aemon T (Aemon), Jeor M (Old Bear),1092960," ""The Old Bear gave a stubborn shake of his head. ""Not yet. I want Maester Aemon"""
,Aemon T (Aemon), Jon S (Jon),1097154," ""it; man?"" Mormont said gruffly.  Curiously; Marsh glanced at Jon before he answered. ""Maester Aemon"""
,Jon S (Jon), Aemon T (Aemon),1097216," ""he answered. ""Maester Aemon has the letter. He's waiting in your solar.""  ""Very well. Jon"""
,Pyp (Pyp), Aemon T (Aemon),1098435," ""you know?""  ""One of the guards overheard Clydas reading the letter to Maester Aemon."" Pyp"""
,Jon S (Jon), Aemon T (Aemon),1098454," """"One of the guards overheard Clydas reading the letter to Maester Aemon."" Pyp leaned close. ""Jon"""
,Aemon T (Aemon), Jon S (Jon),1110816," ""raven was flapping overhead; screaming; ""Corn; corn; corn; corn."" Jon felt as blind as Maester Aemon"""
,Aemon T (Aemon), Jon S (Jon),1279057," ""not the thought of scars that troubled Jon; it was the rest of it. Maester Aemon"""
,Aemon T (Aemon), Eddard S (Eddard),1282037," ""Eddard or the girls."" He gave an irritated shrug. ""Perhaps they never got my letter. Aemon"""
,Pycelle (Pycelle), Aemon T (Aemon),1282111," ""letter. Aemon sent two copies; with his best birds; but who can say? More like; Pycelle"""
,Aemon T (Aemon), Samwell T (Samwell Tarly),1282564," ""been breathed to him •À_ save by Samwell Tarly; who'd read the letter to Maester Aemon"""
,Jon S (Jon), Aemon T (Aemon),1282598," ""by Samwell Tarly; who'd read the letter to Maester Aemon and whispered its contents to Jon"""
,Aemon T (Aemon), Jeor M (Old Bear),1283040," ""corn.""  ""Oh; be quiet;"" the Old Bear told it. ""Snow; how soon does Maester Aemon"""
,Aemon T (Aemon), Jon S (Snow),1283040," ""corn.""  ""Oh; be quiet;"" the Old Bear told it. ""Snow; how soon does Maester Aemon"""
,Jon S (Jon), Aemon T (Aemon),1283093," ""how soon does Maester Aemon say you'll have use of that hand back?""  ""Soon;"" Jon"""
