Desmond Encounters:
Desmond (Desmond), Jory C (Jory), 35686, ""They won't die;" Robb said. "We won't let them die."  "Keep them; then. Jory; Desmond"
Desmond (Desmond), Robb S (Robb), 35686, ""They won't die;" Robb said. "We won't let them die."  "Keep them; then. Jory; Desmond"
Desmond (Desmond), Eddard S (Ned), 113268, "knock came at the door; loud and unexpected. Ned turned; frowning. "What is it?"  Desmond"
Luwin (Maester Luwin), Desmond (Desmond), 113323, "turned; frowning. "What is it?"  Desmond's voice came through the door. "My lord; Maester Luwin"
Hullen (Hullen), Desmond (Desmond), 416062, "not the same at all." The men had heard it all before; Desmond; Jacks; and Hullen"
Harwin (Harwin), Desmond (Desmond), 416075, "same at all." The men had heard it all before; Desmond; Jacks; and Hullen's son Harwin"
Desmond (Desmond), Tom (Tomard), 536897, "behind him frequently as they made their way through the crowded city streets. Tomard and Desmond"
Desmond (Desmond), Eddard S (Eddard), 681426, "word with him�"  He was interrupted by a short; sudden knock. "Lord Eddard; pardons;" Desmond"
Desmond (Desmond), Arya S (Arya), 683786, "eyed Arya. "One best spoken in private; m'lord; begging your pardons."  "As you say. Desmond"
Arya S (Arya), Desmond (Desmond), 684192, "me."  Desmond took her hand. "Come along; milady. You heard your lord father."  Arya"
Desmond (Desmond), Yoren (Yoren), 684371, "to linger at the door on some excuse and hear what Yoren was saying; but Desmond"
Eddard S (Eddard), Desmond (Desmond), 684653, "would you?" she asked.  Desmond laughed. "No fear on that count; little lady. Lord Eddard"
Desmond (Desmond), Cayn (Cayn), 1001627, "Cayn returned as he was pressing the direwolf seal down into the soft white wax. Desmond"
Petyr B (Littlefinger), Desmond (Desmond), 1001671, "direwolf seal down into the soft white wax. Desmond was with him; and between them Littlefinger"
Eddard S (Ned), Desmond (Desmond), 1001676, "seal down into the soft white wax. Desmond was with him; and between them Littlefinger. Ned"
Desmond (Desmond), Arya S (Arya), 1051584, "to the docks when they were attacked. Arya snuck closer. One of the corpses was Desmond"
Tom (Fat Tom), Desmond (Desmond), 1526013, "a vow; before your brothers; before the old gods and the new." Desmond and Fat Tom"
Brandon S (Bran), Desmond (Desmond), 1526052, "gods and the new." Desmond and Fat Tom had dragged the man to the stump. Bran"
