Doreah Encounters:
Doreah (Doreah), Irri (Irri), 195025, "provided the girls. Irri and Jhiqui were copper-skinned Dothraki with black hair and almond-shaped eyes; Doreah"
Doreah (Doreah), Jhiqui (Jhiqui), 195025, "provided the girls. Irri and Jhiqui were copper-skinned Dothraki with black hair and almond-shaped eyes; Doreah"
Doreah (Doreah), Irri (Irri), 195287, "selected them personally for you. Irri will teach you riding; Jhiqui the Dothraki tongue; and Doreah"
Doreah (Doreah), Jhiqui (Jhiqui), 195287, "selected them personally for you. Irri will teach you riding; Jhiqui the Dothraki tongue; and Doreah"
Irri (Irri), Doreah (Doreah), 451342, "her handmaids to prepare her a bath. Doreah built a fire outside the tent; while Irri"
Jhiqui (Jhiqui), Doreah (Doreah), 451353, "to prepare her a bath. Doreah built a fire outside the tent; while Irri and Jhiqui"
Doreah (Doreah), Jhiqui (Jhiqui), 452929, " "A trader from Qarth once told me that dragons came from the moon;" blond Doreah"
Jhiqui (Jhiqui), Doreah (Doreah), 452978, "came from the moon;" blond Doreah said as she warmed a towel over the fire. Jhiqui"
Irri (Irri), Doreah (Doreah), 452987, "the moon;" blond Doreah said as she warmed a towel over the fire. Jhiqui and Irri"
Doreah (Doreah), Daenerys T (Dany), 453097, "an age with Dany; Dothraki girls taken as slaves when Drogo destroyed their father's khalasar. Doreah"
Doreah (Doreah), Drogo (Drogo), 453097, "an age with Dany; Dothraki girls taken as slaves when Drogo destroyed their father's khalasar. Doreah"
Illyrio M (Magister Illyrio), Doreah (Doreah), 453140, "taken as slaves when Drogo destroyed their father's khalasar. Doreah was older; almost twenty. Magister Illyrio"
Doreah (Doreah), Irri (Irri), 454044, "scrape the dirt from her pores. Afterward Irri sprinkled her with spiceflower and cinnamon. While Doreah"
Daenerys T (Dany), Doreah (Doreah), 454291, "a jug of honeyed wine to wash it down. "Doreah; stay and eat with me;" Dany"
Daenerys T (Dany), Doreah (Doreah), 755845, "It had taken much pleading; and all the pillow tricks Doreah had taught her; before Dany"
Drogo (Drogo), Doreah (Doreah), 755873, "all the pillow tricks Doreah had taught her; before Dany had been able to make Drogo"
Viserys T (Viserys), Doreah (Doreah), 755898, "Doreah had taught her; before Dany had been able to make Drogo relent and allow Viserys"
Doreah (Doreah), Qotho (Qotho), 767965, "Qotho had cruel eyes and quick hands that liked to hurt. He left bruises on Doreah"
Irri (Irri), Doreah (Doreah), 768032, "He left bruises on Doreah's soft white skin whenever he touched her; and sometimes made Irri"
Doreah (Doreah), Drogo (Drogo), 769371, "have inflamed Drogo's desire for her; and of late his embraces left her exhausted.  Doreah"
Doreah (Doreah), Jhiqui (Jhiqui), 769922, "as Jhiqui was washing her hair. "He should look a king in the sacred city. Doreah"
Viserys T (Viserys), Doreah (Doreah), 769980, "the sacred city. Doreah; run and find him and invite him to sup with me." Viserys"
Doreah (Doreah), Viserys T (Viserys), 771240, "pale grey border that would bring out the silver in his hair�when Viserys arrived; dragging Doreah"
Doreah (Doreah), Daenerys T (Dany), 771461, "to the carpet.  The anger took Dany utterly by surprise. "I only wanted � Doreah"
Daenerys T (Khaleesi), Doreah (Doreah), 771492, "took Dany utterly by surprise. "I only wanted � Doreah; what did you say?"  "Khaleesi"
