Drogo Encounters:
Viserys T (Viserys), Drogo (Drogo), 60242, "Grace; a vision;" he told her brother. "Drogo will be enraptured."  "She's too skinny;" Viserys"
Drogo (Khal Drogo), Illyrio M (Illyrio), 60556, "of the sword that Illyrio had lent him; and said; "Are you sure that Khal Drogo"
Daenerys T (Daenerys), Drogo (Drogo), 60931, "to the new; she cannot fail to entrance our Drogo." When he released her hand; Daenerys"
Illyrio M (Illyrio), Drogo (Khal Drogo), 61102, "have queer tastes. Boys; horses; sheep �"  "Best not suggest this to Khal Drogo;" Illyrio"
Drogo (Drogo), Illyrio M (Illyrio), 66662, "that she was the only woman there.  Illyrio whispered to them. "Those three are Drogo"
Moro (Moro), Drogo (Drogo), 66722, "to them. "Those three are Drogo's bloodriders; there;" he said. "By the pillar is Khal Moro"
Drogo (Khal Drogo), Daenerys T (Dany), 69206, "the Dragonlord come again; and you will be his queen."  Dany looked at Khal Drogo"
Illyrio M (Illyrio), Drogo (Drogo), 70670, "only Drogo. In time you may even learn to like him. Now dry your eyes. Illyrio"
Drogo (Khal Drogo), Illyrio M (Magister Illyrio), 70828, "and saw that it was true. Magister Illyrio; all smiles and bows; was escorting Khal Drogo"
Drogo (Khal Drogo), Daenerys T (Daenerys Targaryen), 185404, "long ride north.      DAENERYS   Daenerys Targaryen wed Khal Drogo"
Daenerys T (Daenerys), Drogo (Drogo), 186171, "that had been Drogo's. The khal had joined his khalasar; his estate given over to Daenerys"
Drogo (Khal Drogo), Daenerys T (Dany), 186441, "exile had offered her brother his sword the night Dany had been sold to Khal Drogo"
Viserys T (Viserys), Drogo (Khal Drogo), 186450, "had offered her brother his sword the night Dany had been sold to Khal Drogo; Viserys"
Illyrio M (Magister Illyrio), Drogo (Khal Drogo), 186544, "Drogo; Viserys had accepted eagerly. Mormont had been their constant companion ever since.  Magister Illyrio"
Drogo (Khal Drogo), Daenerys T (Dany), 189204, "ramp had been raised amid the grass palaces; and there Dany was seated beside Khal Drogo"
Drogo (Khal Drogo), Viserys T (Viserys), 190793, "knowing how angry Viserys would be if he saw her crying; terrified of how Khal Drogo"
Daenerys T (Dany), Drogo (Drogo), 194496, "drums and the shouting and feasting came to a sudden halt. Drogo stood and pulled Dany"
Illyrio M (Magister Illyrio), Drogo (Khal Drogo), 199159, "fingers through the silver of her mane. Khal Drogo said something in Dothraki and Magister Illyrio"
Drogo (Khal Drogo), Illyrio M (Magister Illyrio), 201105, "she had wings.  When she pulled up before Magister Illyrio; she said; "Tell Khal Drogo"
Drogo (Khal Drogo), Daenerys T (Dany), 201404, "of Pentos to the west just then. Dany had lost all track of time. Khal Drogo"
Drogo (Drogo), Daenerys T (Dany), 204005, "one by one. After a moment Dany leaned forward to help. When they were done; Drogo"
Drogo (Khal Drogo), Robert B (Robert), 214965, "Robert snorted. The anger was leaving him as suddenly as it had come. "This Khal Drogo"
Jon S (Jon), Drogo (Khal Drogo), 215033, "Khal Drogo is said to have a hundred thousand men in his horde. What would Jon"
Drogo (Drogo), Viserys T (Viserys), 435219, "hospitality of his manse; but Viserys would have none of it. He would stay with Drogo"
Drogo (Drogo), Daenerys T (Dany), 453055, "Jhiqui and Irri were of an age with Dany; Dothraki girls taken as slaves when Drogo"
Drogo (Drogo), Irri (Irri), 453055, "Jhiqui and Irri were of an age with Dany; Dothraki girls taken as slaves when Drogo"
Drogo (Drogo), Jhiqui (Jhiqui), 453055, "Jhiqui and Irri were of an age with Dany; Dothraki girls taken as slaves when Drogo"
Doreah (Doreah), Drogo (Drogo), 453097, "an age with Dany; Dothraki girls taken as slaves when Drogo destroyed their father's khalasar. Doreah"
