Hallis M Encounters:
Hallis M (Hallis), Rodrik C (Rodrik Cassel), 255454, "her food. Rodrik Cassel came with him; and her husband's ward Theon Greyjoy; and lastly Hallis"
Hallis M (Hallis), Theon G (Theon Greyjoy), 255454, "her food. Rodrik Cassel came with him; and her husband's ward Theon Greyjoy; and lastly Hallis"
Hallis M (Hallis), Catelyn S (Catelyn), 255718, "his waist.  "Who was he?" Catelyn asked them.  "No one knows his name;" Hallis"
Eddard S (Eddard), Hallis M (Hallis Mollen), 256289, "he go unnoticed?" she said sharply.  Hallis Mollen looked abashed. "Between the horses Lord Eddard"
Hallis M (Hallis), Catelyn S (Catelyn), 256745, ""It's good to know my son's life was not sold cheaply;" Catelyn said bitterly.  Hallis"
Hallis M (Hallis), Catelyn S (Catelyn), 258853, "the room with him;" Robb added.  "Yes;" Catelyn said. And then again: "Yes."  Hallis"
Hallis M (Hallis), Robb S (Robb), 258853, "the room with him;" Robb added.  "Yes;" Catelyn said. And then again: "Yes."  Hallis"
Catelyn S (Lady Stark), Hallis M (Hallis Mollen), 258898, "said. And then again: "Yes."  Hallis Mollen bowed and left the room.  "Lady Stark"
Rodrik C (Ser Rodrik), Hallis M (Hallis Mollen), 258911, "then again: "Yes."  Hallis Mollen bowed and left the room.  "Lady Stark;" Ser Rodrik"
Hallis M (Hallis), Luwin (Maester Luwin), 460676, "with Maester Luwin; talking or going over account books. Sometimes he would ride out with Hallis"
Hallis M (Hallis), Robb S (Robb the Lord), 460928, "when he was home at Winterfell; Robb the Lord seemed to have more time for Hallis"
Theon G (Theon), Hallis M (Hallis Mollen), 460945, "home at Winterfell; Robb the Lord seemed to have more time for Hallis Mollen and Theon"
Hallis M (Hallis), Robb S (Robb the Lord), 466976, "ringmail and boiled leather and the stern face of Robb the Lord. Theon Greyjoy and Hallis"
Hallis M (Hallis), Theon G (Theon Greyjoy), 466976, "ringmail and boiled leather and the stern face of Robb the Lord. Theon Greyjoy and Hallis"
Hallis M (Hallis), Luwin (Maester Luwin), 781865, "spent most of that day locked behind closed doors with Maester Luwin; Theon Greyjoy; and Hallis"
Hallis M (Hallis), Theon G (Theon Greyjoy), 781865, "spent most of that day locked behind closed doors with Maester Luwin; Theon Greyjoy; and Hallis"
Robb S (Robb), Hallis M (Hallis Mollen), 781935, "Luwin; Theon Greyjoy; and Hallis Mollen. Afterward; riders were sent out on fast horses; carrying Robb"
Hallis M (Hallis), Robb S (Robb), 1128624, "into the fire and bellowed that Robb was so green he must piss grass. When Hallis"
Brandon S (Brandon), Hallis M (Hallis Mollen), 1140124, "of every stranger in the hall. It had grown quiet. "My lords;" Hallis Mollen announced; "Brandon"
