Hoster T Encounters:
Jon S (Jon), Hoster T (Hoster Tully), 44652, "the sept at Riverrun to wed two sisters; the daughters of Lord Hoster Tully.  "Jon"
Robert B (the king), Hoster T (Hoster Tully), 44706, "Hoster Tully.  "Jon �" he said. "Is this news certain?"  "It was the king"
Catelyn S (Catelyn), Hoster T (Hoster Tully), 552932, "might have chanced it; but Hoster Tully had been bedridden these past two years; and Catelyn"
Hoster T (Lord Hoster), Shella W (Lady Whent), 564811, "lady."  "And is Lady Whent a true and honest friend to my father; Lord Hoster"
Rodrik C (Ser Rodrik), Hoster T (Hoster Tully), 564879, "father; Lord Hoster Tully of Riverrun?"  "She is;" the man replied stoutly.  Ser Rodrik"
Hoster T (Lord Hoster), Brynden T (Brynden Tully), 711969, "had always known how to listen � to anyone but her father. He was Lord Hoster"
Hoster T (Lord Hoster), Catelyn S (Catelyn), 712151, "as Catelyn could remember. During one of their louder quarrels; when Catelyn was eight; Lord Hoster"
Brynden T (Brynden), Hoster T (Lord Hoster), 712170, "remember. During one of their louder quarrels; when Catelyn was eight; Lord Hoster had called Brynden"
Hoster T (Lord Hoster), Lysa A (Lysa), 712633, "leaving Riverrun to serve Lysa and her new husband; the Lord of the Eyrie. Lord Hoster"
Hoster T (Lord Hoster), Robert A (Lord of the Eyrie), 712633, "leaving Riverrun to serve Lysa and her new husband; the Lord of the Eyrie. Lord Hoster"
Edmure T (Edmure), Hoster T (Lord Hoster), 712691, "Lord of the Eyrie. Lord Hoster had not spoken his brother's name since; from what Edmure"
Hoster T (Lord Hoster), Brynden T (Brynden the Blackfish), 712841, "all those years of Catelyn's girlhood; it had been Brynden the Blackfish to whom Lord Hoster"
Hoster T (Lord Hoster), Catelyn S (Catelyn), 712841, "all those years of Catelyn's girlhood; it had been Brynden the Blackfish to whom Lord Hoster"
Hoster T (Lord of Riverrun), Edmure T (Edmure), 845096, "has sent riders and made vows;" she said; "but Edmure is not the Lord of Riverrun"
Rodrik C (Ser Rodrik), Hoster T (Lord Hoster), 845189, "my lord father?"  "The message made no mention of Lord Hoster; my lady." Ser Rodrik"
Petyr B (Petyr), Hoster T (Hoster Tully), 863513, "that. As soon as he was strong enough to be moved; Lord Hoster Tully sent Petyr"
Hoster T (Lord Hoster), Gregor C (Gregor Clegane), 917488, "we must pay Gregor Clegane back his bloody coin;" Ser Marq declared; "but old Lord Hoster"
Hoster T (Lord Hoster), Marq P (Ser Marq), 917488, "we must pay Gregor Clegane back his bloody coin;" Ser Marq declared; "but old Lord Hoster"
Robert B (the king), Hoster T (Lord Hoster), 917531, "Ser Marq declared; "but old Lord Hoster commanded us to come here and beg the king"
Hoster T (Lord Hoster), Robert B (the king), 917594, "and beg the king's leave before we strike."  Thank the gods for old Lord Hoster"
Tywin L (Tywin), Hoster T (Lord Hoster), 917607, "the king's leave before we strike."  Thank the gods for old Lord Hoster; then. Tywin"
Hoster T (Lord Hoster), Lysa A (Lysa Arryn), 1081391, "her aunt and her grandfather as well; Lady Lysa Arryn of the Eyrie; and Lord Hoster"
Hoster T (Lord Hoster), Beric D (Beric Dondarrion), 1217314, "Myr. Lord Beric Dondarrion. Lady Lysa Arryn and her son; the little Lord Robert. Lord Hoster"
Hoster T (Lord Hoster), Lysa A (Lysa Arryn), 1217314, "Myr. Lord Beric Dondarrion. Lady Lysa Arryn and her son; the little Lord Robert. Lord Hoster"
Hoster T (Lord Hoster), Robert B (Robert), 1217314, "Myr. Lord Beric Dondarrion. Lady Lysa Arryn and her son; the little Lord Robert. Lord Hoster"
Brynden T (Brynden), Hoster T (Hoster Tully), 1217345, "Lysa Arryn and her son; the little Lord Robert. Lord Hoster Tully; his brother Ser Brynden"
Edmure T (Ser Edmure), Hoster T (Hoster Tully), 1217365, "son; the little Lord Robert. Lord Hoster Tully; his brother Ser Brynden; his son Ser Edmure"
Jason M (Lord Jason), Hoster T (Hoster Tully), 1217377, "little Lord Robert. Lord Hoster Tully; his brother Ser Brynden; his son Ser Edmure. Lord Jason"
Bryce C (Bryce), Hoster T (Hoster Tully), 1217399, "Lord Hoster Tully; his brother Ser Brynden; his son Ser Edmure. Lord Jason Mallister. Lord Bryce"
Hoster T (Lord Hoster), Edmure T (Edmure), 1548943, "I must see Father."  "He awaits you in his solar;" Edmure said.  "Lord Hoster"
Hoster T (Hoster), Edmure T (Edmure), 1550744, "Edmure explained. "Father; see who I've brought. Cat has come to see you �"  Hoster"
Hoster T (Lord Hoster), Jaime L (Jaime Lannister), 1552373, "And we've brought you Jaime Lannister; in irons. Riverrun is free again; Father."  Lord Hoster"
Robert B (Robert), Hoster T (Lord Hoster), 1553395, ""She's with her son; in the Eyrie."  Lord Hoster gave a weary nod. "Lord Robert"
Hoster T (Lord Hoster), Catelyn S (Catelyn), 1554294, "years ago;" Catelyn reminded him. "She has three children by him."  "Even so;" Lord Hoster"
Hoster T (Hoster), Brynden T (Brynden Blackfish), 1555524, "to fight."  Brynden Blackfish chuckled. "I am too old a soldier to believe that. Hoster"
Hoster T (Lord Hoster), Edmure T (Ser Edmure), 1559004, "he's very sick."  "Ser Edmure told me. I am sorry; Mother � for Lord Hoster"
Hoster T (Lord Hoster), Robb S (Robb), 1559004, "he's very sick."  "Ser Edmure told me. I am sorry; Mother � for Lord Hoster"
