Janos S Encounters:
Janos S (Janos), Renly B (Renly Baratheon), 525714, "shudder.  Lord Renly Baratheon was less sympathetic. "If you cannot keep the king's peace; Janos"
Janos S (Janos), Robert B (the king), 525714, "shudder.  Lord Renly Baratheon was less sympathetic. "If you cannot keep the king's peace; Janos"
Janos S (Janos), Eddard S (Ned), 526431, "can scrape together a few coppers to keep the king's peace." Ned turned back to Janos"
Janos S (Janos), Robert B (the king), 526431, "can scrape together a few coppers to keep the king's peace." Ned turned back to Janos"
Janos S (Janos), Catelyn S (Catelyn), 1008203, "lord. For the sake of the love I bear for Catelyn; I will go to Janos"
Janos S (Janos), Cersei L (Cersei Lannister), 1035681, "it!"  "You leave me no choice;" Ned told Cersei Lannister. He called out to Janos"
Janos S (Janos), Eddard S (Ned), 1035681, "it!"  "You leave me no choice;" Ned told Cersei Lannister. He called out to Janos"
Cersei L (the queen), Janos S (Slynt), 1035715, "no choice;" Ned told Cersei Lannister. He called out to Janos Slynt. "Commander; take the queen"
Janos S (Janos), Eddard S (Ned), 1036354, "was dead before his sword hit the floor.  Ned's shout came far too late. Janos"
Cayn (Cayn), Janos S (Slynt), 1036402, "floor.  Ned's shout came far too late. Janos Slynt himself slashed open Varly's throat. Cayn"
Janos S (Janos), Pycelle (Pycelle), 1218978, "Pycelle continued.  "It is also the wish of His Grace that his loyal servant; Janos"
Janos S (Janos), Sansa S (Sansa), 1219487, "The small council consents."  Sansa glimpsed motion from the corner of her eye as Janos"
Janos S (Slynt), Sansa S (Sansa), 1220125, "The sight of it raised goose prickles up and down Sansa's arms.  As Lord Slynt"
Pycelle (Grand Maester), Janos S (Slynt), 1220155, "goose prickles up and down Sansa's arms.  As Lord Slynt took his place; Grand Maester"
Janos S (Janos), Joffrey B (Joffrey), 1223987, "Littlefinger.  They all laughed then; Joffrey on his throne; and the lords standing attendance; Janos"
Janos S (Janos), Petyr B (Littlefinger), 1223987, "Littlefinger.  They all laughed then; Joffrey on his throne; and the lords standing attendance; Janos"
Cersei L (Cersei), Janos S (Slynt), 1224010, "laughed then; Joffrey on his throne; and the lords standing attendance; Janos Slynt and Queen Cersei"
Sandor C (Sandor), Janos S (Slynt), 1224021, "Joffrey on his throne; and the lords standing attendance; Janos Slynt and Queen Cersei and Sandor"
Janos S (Janos), Joffrey B (Joffrey), 1225591, "questioned." No one moved. Joffrey raised his voice. "I said; I want him seized!"  Janos"
Janos S (Janos), Joffrey B (King Joffrey), 1225710, ""My gold cloaks will see to it; Your Grace."  "Good;" said King Joffrey. Lord Janos"
Petyr B (Littlefinger), Janos S (Slynt), 1225869, "they lugged the great metal shield with the arms of House Slynt.  "Your Grace;" Littlefinger"
Robert B (the king), Janos S (Slynt), 1225887, "great metal shield with the arms of House Slynt.  "Your Grace;" Littlefinger reminded the king"
Janos S (Janos), Petyr B (Littlefinger), 1232203, "his castle; so they might never reveal its secrets.  He damned them all: Littlefinger; Janos"
Cersei L (the queen), Janos S (Slynt), 1232240, "its secrets.  He damned them all: Littlefinger; Janos Slynt and his gold cloaks; the queen"
Jaime L (Kingslayer), Janos S (Slynt), 1232256, " He damned them all: Littlefinger; Janos Slynt and his gold cloaks; the queen; the Kingslayer"
Pycelle (Pycelle), Janos S (Slynt), 1232265, "He damned them all: Littlefinger; Janos Slynt and his gold cloaks; the queen; the Kingslayer; Pycelle"
Varys (Varys), Janos S (Slynt), 1232275, "them all: Littlefinger; Janos Slynt and his gold cloaks; the queen; the Kingslayer; Pycelle and Varys"
Barristan S (Barristan), Janos S (Slynt), 1232293, "Janos Slynt and his gold cloaks; the queen; the Kingslayer; Pycelle and Varys and Ser Barristan"
Janos S (Slynt), Joffrey B (Joffrey), 1468357, "too;" Joffrey said. Two gold cloaks dragged her off to the dungeons.  Frog-faced Lord Slynt"
Sansa S (Sansa), Janos S (Slynt), 1469846, "make his choice. Janos Slynt nodded.  That was the final business of the afternoon; Sansa"
