Maege M Encounters:
Roose B (Roose), Maege M (Lady Mormont), 1117366, "Glovers; silver on scarlet; Lady Mormont's black bear; the hideous flayed man that went before Roose"
Robb S (Robb), Maege M (Maege Mormont), 1127238, "smile and a jest. Stout; grey-haired Maege Mormont; dressed in mail like a man; told Robb"
Maege M (Lady Mormont), Greatjon U (Lord Umber), 1133593, "watch over his men; Hal and Quent and the rest; and Lord Umber and Lady Mormont"
Maege M (Lady Mormont), Hal M (Hal), 1133593, "watch over his men; Hal and Quent and the rest; and Lord Umber and Lady Mormont"
Theon G (Theon), Maege M (Lady Mormont), 1133624, "Quent and the rest; and Lord Umber and Lady Mormont and the other lords. And Theon"
Maege M (Maege), Dacey M (Dacey Mormont), 1370606, "Manderly and Robin Flint. One of his companions was even a woman: Dacey Mormont; Lady Maege"
Maege M (Maege), Wendel M (Wendel Manderly), 1370606, "Manderly and Robin Flint. One of his companions was even a woman: Dacey Mormont; Lady Maege"
Maege M (Maege), Greatjon U (Greatjon Umber), 1556845, "his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber; Rickard Karstark; Maege"
Maege M (Maege), Rickard K (Rickard Karstark), 1556845, "his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber; Rickard Karstark; Maege"
Galbart G (Galbart), Maege M (Maege Mormont), 1556862, "hands clasped around the hilt. Around him others knelt: Greatjon Umber; Rickard Karstark; Maege Mormont; Galbart"
Tytos B (Tytos Blackwood), Maege M (Maege Mormont), 1556901, "him others knelt: Greatjon Umber; Rickard Karstark; Maege Mormont; Galbart Glover; and more. Even Tytos Blackwood"
Maege M (Lady Mormont), Galbart G (Galbart Glover), 1560253, "The Greatjon sat at Robb's left hand; and then Theon Greyjoy; Galbart Glover and Lady Mormont"
Maege M (Lady Mormont), Greatjon U (Greatjon), 1560253, "The Greatjon sat at Robb's left hand; and then Theon Greyjoy; Galbart Glover and Lady Mormont"
Maege M (Lady Mormont), Robb S (Robb), 1560253, "The Greatjon sat at Robb's left hand; and then Theon Greyjoy; Galbart Glover and Lady Mormont"
Maege M (Lady Mormont), Theon G (Theon Greyjoy), 1560253, "The Greatjon sat at Robb's left hand; and then Theon Greyjoy; Galbart Glover and Lady Mormont"
Catelyn S (Catelyn), Maege M (Lady Mormont), 1560282, "hand; and then Theon Greyjoy; Galbart Glover and Lady Mormont were to the right of Catelyn"
Rickard K (Lord Rickard), Maege M (Lady Mormont), 1560296, "then Theon Greyjoy; Galbart Glover and Lady Mormont were to the right of Catelyn. Lord Rickard"
Maege M (Lady Mormont), Renly B (Renly), 1562787, "Lord of Winterfell before me; and Renly can't be king before Lord Stannis."  Lady Mormont"
Maege M (Lady Mormont), Stannis B (Lord Stannis), 1562787, "Lord of Winterfell before me; and Renly can't be king before Lord Stannis."  Lady Mormont"
Stannis B (Lord Stannis), Maege M (Lady Mormont), 1562809, "before me; and Renly can't be king before Lord Stannis."  Lady Mormont agreed. "Lord Stannis"
Renly B (Renly), Maege M (Lady Mormont), 1562840, "king before Lord Stannis."  Lady Mormont agreed. "Lord Stannis has the better claim."  "Renly"
Marq P (Marq), Maege M (Lady Mormont), 1562863, " Lady Mormont agreed. "Lord Stannis has the better claim."  "Renly is crowned;" said Marq"
Maege M (Lady Mormont), Greatjon U (Greatjon), 1564385, ""Craven!" the Greatjon thundered. "Begging for a truce will make us seem weak;" declared Lady Mormont"
Jaime L (Kingslayer), Maege M (Lady Mormont), 1564441, "us seem weak;" declared Lady Mormont. "Ransoms be damned; we must not give up the Kingslayer"
Rickard K (Rickard Karstark), Maege M (Lady Mormont), 1564468, "declared Lady Mormont. "Ransoms be damned; we must not give up the Kingslayer;" shouted Rickard Karstark"
Maege M (Maege), Greatjon U (Greatjon), 1569303, "from its scabbard. "The King in the North!" he said; kneeling beside the Greatjon.  Maege"
