Mord Encounters:
Tyrion L (Tyrion), Mord (Mord), 803066, "be overly particular."  "Is beans;" Mord said. "Here." He held out the plate.  Tyrion"
Mord (Mord), Tyrion L (Tyrion), 803367, "as he was ugly; but Tyrion was hungry. He reached up for the plate.  Mord"
Tyrion L (Tyrion), Mord (Mord), 803442, "plate.  Mord jerked it away; grinning. "Is here;" he said; holding it out beyond Tyrion"
Tyrion L (Tyrion), Mord (Mord), 804634, "flux."  For that; Mord gave him a kick; driving a steel-toed boot hard into Tyrion"
Mord (Mord), Tyrion L (Tyrion), 815439, "Tyrion stepped back an instant before the door opened with a crash.  "Making noise;" Mord"
Mord (Mord), Tyrion L (Tyrion), 815670, "you're afraid; Tyrion reminded himself. "How would you like to be rich?" he asked.  Mord"
Tyrion L (Tyrion), Mord (Mord), 815746, "asked.  Mord hit him. He swung the strap backhand; lazily; but the leather caught Tyrion"
Tyrion L (Tyrion), Mord (Mord), 815888, "pain made him grit his teeth. "No mouth; dwarf man;" Mord warned him.  "Gold;" Tyrion"
Tyrion L (Tyrion), Mord (Mord), 816321, "what they say; Mord�"  Mord grunted. The strap whistled through the air and smashed Tyrion"
Tyrion L (Tyrion), Mord (Mord), 817563, "lifetime. Enough to buy land; women; horses � you could be a lord. Lord Mord." Tyrion"
Tyrion L (Tyrion), Mord (Mord), 817680, "spat it out into the sky.  "Is no gold;" Mord said.  He's listening! Tyrion"
Tyrion L (Tyrion), Mord (Mord), 818008, "yours." Mord's strap licked out; but it was a halfhearted; desultory swing; slow and contemptuous. Tyrion"
Mord (Mord), Tyrion L (Tyrion Lannister), 818519, "to Tyrion Lannister suddenly. "� tell her that I wish to confess my crimes."  Mord"
Tyrion L (Tyrion), Mord (Mord), 818545, "tell her that I wish to confess my crimes."  Mord raised his arm and Tyrion"
Mord (Mord), Jaime L (Jaime), 819312, "truth; Jaime's armor was gilded steel; but this oaf would never know the difference.  Mord"
Vardis E (Ser Vardis), Mord (Mord), 819640, "came for him; late that night. Mord opened the door but kept his silence. Ser Vardis"
Tyrion L (Tyrion), Mord (Mord), 819657, "late that night. Mord opened the door but kept his silence. Ser Vardis Egen woke Tyrion"
Mord (Mord), Vardis E (Ser Vardis), 820553, "me for safekeeping. You recall."  "Get him the damnable cloak;" Ser Vardis said.  Mord"
Tyrion L (Tyrion), Mord (Mord), 820590, "him the damnable cloak;" Ser Vardis said.  Mord did not dare grumble. He gave Tyrion"
Robert B (the king), Mord (Mord), 824736, "a good look at the bruises Mord had left on his face. "Where is the king"
Mord (Mord), Bronn (Bronn), 894236, "a purse of gold;" Bronn said.  "A Lannister always pays his debts."  Even Mord"
Tyrion L (Tyrion), Mord (Mord), 894273, " "A Lannister always pays his debts."  Even Mord had scarcely believed it when Tyrion"
Bronn (Bronn), Mord (Mord), 894917, "Mord had fallen to his knees and promised that he would do just that.  Bronn"
