Rickard K Encounters:
Rickard S (Rickard Stark), Rickard K (Lord Rickard), 79378, "knelt; and bowed his head.  There were three tombs; side by side. Lord Rickard Stark"
Eddard S (Ned), Rickard K (Lord Rickard), 79383, "and bowed his head.  There were three tombs; side by side. Lord Rickard Stark; Ned"
Rickard K (Lord Rickard), Brandon S (Brandon Stark), 458126, "Stark whose mother had died birthing him. He had been an older brother of Lord Rickard"
Brandon S (Bran), Rickard K (Lord Rickard), 458132, "whose mother had died birthing him. He had been an older brother of Lord Rickard; Bran"
Rickard K (Lord Rickard), Brandon S (Bran), 458206, "of Lord Rickard; Bran's grandfather; or perhaps a younger brother; or a brother to Lord Rickard"
Nan (Old Nan), Rickard K (Lord Rickard), 458234, "grandfather; or perhaps a younger brother; or a brother to Lord Rickard's father. Sometimes Old Nan"
Rickard K (Lord Rickard), Hodor (Hodor), 1115266, "the outer wall; peering through Maester Luwin's bronze far-eye while perched on Hodor's shoulders. Lord Rickard"
Rickard K (Lord Rickard), Luwin (Maester Luwin), 1115266, "the outer wall; peering through Maester Luwin's bronze far-eye while perched on Hodor's shoulders. Lord Rickard"
Harrion K (Harrion), Rickard K (Lord Rickard), 1115301, "Luwin's bronze far-eye while perched on Hodor's shoulders. Lord Rickard himself led them; his sons Harrion"
Eddard S (Eddard), Rickard K (Lord Rickard), 1115312, "far-eye while perched on Hodor's shoulders. Lord Rickard himself led them; his sons Harrion and Eddard"
Torrhen K (Torrhen), Rickard K (Lord Rickard), 1115324, "perched on Hodor's shoulders. Lord Rickard himself led them; his sons Harrion and Eddard and Torrhen"
Brandon S (Brandon), Rickard K (Lord Rickard), 1132886, "had returned.  Their grandfather; old Lord Rickard; had gone as well; with his son Brandon"
Rickard K (Lord Rickard), Robb S (Robb), 1139603, "Robb was not with them. He took his meal in the solar instead; with Lord Rickard"
Greatjon U (Greatjon), Rickard K (Lord Rickard), 1139620, "with them. He took his meal in the solar instead; with Lord Rickard and the Greatjon"
Rickard K (Lord Rickard), Harrion K (Harrion Karstark), 1140301, "meat and mead in honor of our friendship."  Harrion Karstark; the oldest of Lord Rickard"
Rickard K (Rickard Karstark), Roose B (Roose Bolton), 1179678, "said. "Pray; who were those men I saw here a moment ago? Roose Bolton; Rickard Karstark"
Galbart G (Galbart), Rickard K (Rickard Karstark), 1179687, ""Pray; who were those men I saw here a moment ago? Roose Bolton; Rickard Karstark; Galbart"
Robett G (Robett), Rickard K (Rickard Karstark), 1179698, "were those men I saw here a moment ago? Roose Bolton; Rickard Karstark; Galbart and Robett"
Greatjon U (Greatjon), Rickard K (Rickard Karstark), 1179719, "I saw here a moment ago? Roose Bolton; Rickard Karstark; Galbart and Robett Glover; the Greatjon"
Helman T (Helman), Rickard K (Rickard Karstark), 1179727, "saw here a moment ago? Roose Bolton; Rickard Karstark; Galbart and Robett Glover; the Greatjon; Helman"
Rickard K (Rickard Karstark), Roose B (Roose Bolton), 1188492, "You cannot afford to seem indecisive in front of men like Roose Bolton and Rickard Karstark"
Robb S (Robb), Rickard K (Rickard Karstark), 1188515, "seem indecisive in front of men like Roose Bolton and Rickard Karstark. Make no mistake; Robb"
Rickard K (Lord Rickard), Greatjon U (Greatjon), 1260052, "Greatjon began to curse and swear as soon as he saw what awaited them. Lord Rickard"
Roose B (Roose), Rickard K (Rickard Karstark), 1260126, "what awaited them. Lord Rickard Karstark glowered in silence. "That cannot be assaulted; my lords;" Roose"
Rickard K ( Lord Karstark), Robb S (Robb), 1378432, "lady mother says;" Robb commanded; "and make certain there's a strong guard around him. Lord Karstark"
Greatjon U (Greatjon), Rickard K ( Lord Karstark), 1378493, "him. Lord Karstark will want his head on a pike."  "That he will;" the Greatjon"
Rickard K (Lord Rickard), Brandon S (Bran), 1443845, "end now; and Bran felt a sadness creeping over him. "And there's my grandfather; Lord Rickard"
Aerys T (Mad), Rickard K (Lord Rickard), 1443870, "a sadness creeping over him. "And there's my grandfather; Lord Rickard; who was beheaded by Mad"
Lyanna (Lyanna), Rickard K (Lord Rickard), 1443902, ""And there's my grandfather; Lord Rickard; who was beheaded by Mad King Aerys. His daughter Lyanna"
Brandon S (Brandon), Rickard K (Lord Rickard), 1443922, "Lord Rickard; who was beheaded by Mad King Aerys. His daughter Lyanna and his son Brandon"
Rickard K (Lord Rickard), Brandon S (Bran), 1445890, "struggled to his knees; his arm torn and bloody. Osha propped Bran up against Lord Rickard"
Rickard K (Lord Rickard), Osha (Osha), 1445890, "struggled to his knees; his arm torn and bloody. Osha propped Bran up against Lord Rickard"
Rickard K (Rickard Karstark), Greatjon U (Greatjon Umber), 1556838, "earth; his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber; Rickard Karstark"
Maege M (Maege), Rickard K (Rickard Karstark), 1556845, "his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber; Rickard Karstark; Maege"
Galbart G (Galbart), Rickard K (Rickard Karstark), 1556862, "hands clasped around the hilt. Around him others knelt: Greatjon Umber; Rickard Karstark; Maege Mormont; Galbart"
Tytos B (Tytos Blackwood), Rickard K (Rickard Karstark), 1556901, "him others knelt: Greatjon Umber; Rickard Karstark; Maege Mormont; Galbart Glover; and more. Even Tytos Blackwood"
Rickard K (Lord Rickard), Catelyn S (Catelyn), 1560296, "then Theon Greyjoy; Galbart Glover and Lady Mormont were to the right of Catelyn. Lord Rickard"
Rickard K (Lord Rickard), Galbart G (Galbart Glover), 1560296, "then Theon Greyjoy; Galbart Glover and Lady Mormont were to the right of Catelyn. Lord Rickard"
Rickard K (Lord Rickard), Maege M (Lady Mormont), 1560296, "then Theon Greyjoy; Galbart Glover and Lady Mormont were to the right of Catelyn. Lord Rickard"
Rickard K (Lord Rickard), Theon G (Theon Greyjoy), 1560296, "then Theon Greyjoy; Galbart Glover and Lady Mormont were to the right of Catelyn. Lord Rickard"
Rickard K (Rickard Karstark), Jaime L (Kingslayer), 1564468, "declared Lady Mormont. "Ransoms be damned; we must not give up the Kingslayer;" shouted Rickard Karstark"
Rickard K (Rickard Karstark), Maege M (Lady Mormont), 1564468, "declared Lady Mormont. "Ransoms be damned; we must not give up the Kingslayer;" shouted Rickard Karstark"
Catelyn S (Catelyn), Rickard K (Rickard Karstark), 1564497, "we must not give up the Kingslayer;" shouted Rickard Karstark.  "Why not a peace?" Catelyn"
Robb S (Robb), Rickard K (Rickard Karstark), 1564546, ""Why not a peace?" Catelyn asked.  The lords looked at her; but it was Robb"
