Theon G Encounters:
Theon G (Theon), Eddard S (Eddard Stark), 23371, "his head down onto the hard black wood. Lord Eddard Stark dismounted and his ward Theon"
Theon G (Theon), Jory C (Jory Cassel), 29124, "through the drifts; groping for solid footing on the hidden; uneven ground. Jory Cassel and Theon"
Theon G (Theon), Brandon S (Bran), 29752, "and approach on foot. Bran jumped off and ran.  By then Jon; Jory; and Theon"
Theon G (Theon), Jon S (Jon), 29752, "and approach on foot. Bran jumped off and ran.  By then Jon; Jory; and Theon"
Theon G (Theon), Jory C (Jory), 29752, "and approach on foot. Bran jumped off and ran.  By then Jon; Jory; and Theon"
Theon G (Theon), Jon S (Jon), 30523, "freak;" Jon said calmly. "That's a direwolf. They grow larger than the other kind."  Theon"
Theon G (Theon), Brandon S (Bran), 32584, "enough too."  Bran gave a wordless cry of dismay.  "The sooner the better;" Theon"
Brandon S (Bran), Theon G (Theon Greyjoy), 32646, ""The sooner the better;" Theon Greyjoy agreed. He drew his sword. "Give the beast here; Bran"
Jon S (Jon), Theon G (Theon Greyjoy), 36983, "Greyjoy said with wry amusement. "This one will die even faster than the others."  Jon"
Theon G (Theon), Eddard S (Ned), 73146, "stronghold; where Robert had accepted the rebel lord's surrender and Ned had taken his son Theon"
Theon G (Theon), Robert B (Robert), 73146, "stronghold; where Robert had accepted the rebel lord's surrender and Ned had taken his son Theon"
Robert B (the king), Theon G (Theon), 73176, "rebel lord's surrender and Ned had taken his son Theon as hostage and ward; the king"
Theon G (Theon), Benjen S (Benjen Stark), 96648, "enter were his uncle; Benjen Stark of the Night's Watch; and his father's ward; young Theon"
Benjen S (Benjen), Theon G (Theon Greyjoy), 96664, "his uncle; Benjen Stark of the Night's Watch; and his father's ward; young Theon Greyjoy. Benjen"
Jon S (Jon), Theon G (Theon Greyjoy), 96673, "Benjen Stark of the Night's Watch; and his father's ward; young Theon Greyjoy. Benjen gave Jon"
Theon G (Theon), Benjen S (Benjen), 96707, "father's ward; young Theon Greyjoy. Benjen gave Jon a warm smile as he went by. Theon"
Theon G (Theon), Jon S (Jon), 96707, "father's ward; young Theon Greyjoy. Benjen gave Jon a warm smile as he went by. Theon"
Theon G (Theon), Robb S (Robb), 135742, "man and boy; were calling out encouragement; Robb's voice the loudest among them. She spotted Theon"
Theon G (Theon), Rodrik C (Ser Rodrik), 139335, "like spun gold. He looked bored. "This is a game for children; Ser Rodrik."  Theon"
Robb S (Robb), Theon G (Theon Greyjoy), 139422, "Theon Greyjoy gave a sudden bark of laughter. "You are children;" he said derisively.  "Robb"
