Aeron G Encounters:
Aeron G (Damphair), Theon G (Theon), 312740, "the horses along the shoreline. As the man approached, the smallfolk bent the knee, and Theon heard the innkeeper murmur, �Damphair"
Theon G (Theon), Aeron G (Aeron), 313287, "in a storm, and turning holy when he washed up safe on shore. �Uncle Aeron?� he said doubtfully.  �Nephew Theon"
Aeron G (Aeron), Balon G (Lord Reaper), 314283, "question the commands of the Lord Reaper of Pyke.� The priest�s manner was chilly, most unlike the man Theon remembered. Aeron"
Aeron G (Aeron), Theon G (Theon), 314283, "question the commands of the Lord Reaper of Pyke.� The priest�s manner was chilly, most unlike the man Theon remembered. Aeron"
Aeron G (Aeron), Theon G (Theon), 315148, "a lordling of the green lands come among us?�  Theon knelt. He had a purpose here, and might need Aeron"
Aeron G (Aeron), Theon G (Theon), 315745, "could taste the ocean on his lips. �Let Theon your servant be born again from the sea, as you were,� Aeron"
Aeron G (Aeron), Theon G (Theon), 317810, "saw clearly.�  He is as mad as he is sour. Theon had liked what he remembered of the old Aeron"
Theon G (Theon), Aeron G (Aeron Greyjoy), 322308, "a mine. This new, holy Aeron Greyjoy was not much for talk. They rode in a gloom of silence. Finally Theon"
Robb S (Robb), Aeron G (Aeron Greyjoy), 322341, "Greyjoy was not much for talk. They rode in a gloom of silence. Finally Theon could suffer it no longer. �Robb"
Aeron G (Aeron), Robb S (Robb Stark), 322391, "gloom of silence. Finally Theon could suffer it no longer. �Robb Stark is Lord of Winterfell now,� he said.  Aeron"
Aeron G (Aeron), Theon G (Theon), 322391, "gloom of silence. Finally Theon could suffer it no longer. �Robb Stark is Lord of Winterfell now,� he said.  Aeron"
Robb S (Robb), Aeron G (Aeron), 322442, "Stark is Lord of Winterfell now,� he said.  Aeron rode on. �One wolf is much like the other.�  �Robb"
Theon G (Theon), Aeron G (Aeron), 683090, "so new that she still smelled of pitch and resin. His uncle Aeron would bless her on the morrow, but Theon"
Aeron G (Aeron), Esgred (Esgred), 684688, "sweet Esgred. The wind is cold. Come aboard my ship and let me warm you. On the morrow my uncle Aeron"
Theon G (Theon), Aeron G (Aeron), 694321, "He thought of his father and his uncle Aeron.  �Are you smiling now, my lord prince?�  �Oh, yes.� Theon"
Dagmer C (Dagmer), Aeron G (Aeron), 712272, "that you will draw some of the northern lords out from behind their stone walls. Aeron will accompany you, and Dagmer"
Theon G (Theon), Aeron G (Aeron), 712348, "walls. Aeron will accompany you, and Dagmer Cleftjaw.�  �May the Drowned God bless our swords,� the priest said.  Theon"
Aeron G (Damphair), Balon G (Lord Balon), 712612, "seemed Lord Balon did not trust him sufficiently to do even that much. Bad enough to have to suffer the Damphair"
Dagmer C (Dagmer), Aeron G (Damphair), 712647, "trust him sufficiently to do even that much. Bad enough to have to suffer the Damphair�s scowls and chidings. With Dagmer"
Aeron G (Aeron), Benfred T (Benfred Tallhart), 958052, "gut you, Greyjoy,� Benfred Tallhart screamed. �He�ll feed your turncloak�s heart to his wolf, you piece of sheep dung.�  Aeron"
Aeron G (Aeron), Theon G (Turncloak), 958370, "helpless between Stygg and Werlag. �You�ll choke on them before you get any answers from me, craven. Turncloak.�  Uncle Aeron"
Benfred T (Benfred), Aeron G (Aeron Damphair), 959788, "Aeron Damphair gave his nephew a reproachful look, then followed. Down to the pebbled beach they would go, to drown Benfred"
Aeron G (Aeron), Dagmer C (Cleftjaw), 968420, "Without the Cleftjaw he could not hope to succeed. Command or no, the men would never follow him if both Aeron"
Dagmer C (Dagmer), Aeron G (Aeron), 968431, "Cleftjaw he could not hope to succeed. Command or no, the men would never follow him if both Aeron and Dagmer"
