Axell F Encounters:
Axell F (Axell), Bar E (Bar Emmon), 47481, "fair hair. Lord Bar Emmon, that plump boy of fourteen, was swathed in purple velvet trimmed with white seal, Ser Axell"
Guncer S (Lord Sunglass), Axell F (Axell Florent), 47553, "in purple velvet trimmed with white seal, Ser Axell Florent remained homely even in russet and fox fur, pious Lord Sunglass"
Axell F (Axell), Selyse F (Selyse), 267003, "to beat out the cinders that clung to the king�s clothing.  �A sword of fire!� shouted Queen Selyse. Ser Axell"
Axell F (Axell), Celtigar (Celtigar), 282577, "Celtigar and Velaryon each gave him a curt nod and walked on while the others ignored him utterly, but Ser Axell"
Axell F (Axell), Velaryon (Velaryon), 282577, "Celtigar and Velaryon each gave him a curt nod and walked on while the others ignored him utterly, but Ser Axell"
Selyse F (Selyse), Axell F (Axell Florent), 282619, "nod and walked on while the others ignored him utterly, but Ser Axell Florent stopped for a word.  Queen Selyse"
Stannis B (Stannis), Axell F (Axell), 282930, "most of what went on in the castle. For ten years Ser Axell had served as castellan of Dragonstone while Stannis"
Robert B (Robert), Axell F (Axell), 282944, "went on in the castle. For ten years Ser Axell had served as castellan of Dragonstone while Stannis sat on Robert"
Stannis B (Stannis), Axell F (Axell), 284086, "pushed past, wondering why Ser Axell had troubled himself. He is a queen�s man and I am the king�s.  Stannis"
Tyrion L (Tyrion), Axell F (Axell Florent), 415705, "uncles has been with her on Dragonstone all this time ��  �Ser Axell Florent is her castellan.� Loath as Tyrion"
Petyr B (Littlefinger), Axell F (Axell Florent), 415735, "on Dragonstone all this time ��  �Ser Axell Florent is her castellan.� Loath as Tyrion was to admit it, Littlefinger"
Stannis B (Stannis), Axell F (Axell Florent), 415765, "time ��  �Ser Axell Florent is her castellan.� Loath as Tyrion was to admit it, Littlefinger�s scheme had promise. Stannis"
Shireen (Shireen), Axell F (Axell), 416340, "of Dragonstone. �My lord,� I had to tell him, �those are gargoyles.� � He chuckled. �Ser Axell might serve for Shireen"
Axell F (Axell), Stannis B (Stannis), 1080808, "old gods and take up the Lord of Light. Stannis had left his queen on Dragonstone along with her uncle Axell"
Alester F (Alester), Axell F (Axell), 1080884, "queen on Dragonstone along with her uncle Axell, but the queen�s men were more numerous and powerful than ever, and Alester"
Cortnay P (Ser Cortnay), Axell F (Axell), 1080923, "Axell, but the queen�s men were more numerous and powerful than ever, and Alester Florent was the foremost.  Ser Cortnay"
